tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970493739186761916',"This is delusional but you don’t have to read the whole thing. 

Boils down to: he’s shutting down the government because he thinks he’s a king. https://t.co/HKe7V3VISg",en,Tweet,3328,28772,7714,7711,2035555,2025-09-23 15:21:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iZnHEWUAAyTFO.jpg
'1970256152903426311',"This is good news. After being stripped for parts by private equity, the best path forward for these hospitals is non-profit ownership that will prioritize taking care of patients and hospital staff over extracting profit from care.",en,Tweet,11,339,78,44,37305,2025-09-22 23:37:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970255881641275764',"The latest example of Trump’s relentless assault on free speech.

He's rewriting visa rules to make it harder for foreign reporters to cover his presidency - so he can just kick them out if they write stories he doesn't like.
https://t.co/r2jtFQyzai",en,Tweet,16,374,193,154,20414,2025-09-22 23:36:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.straitstimes.com/world/united-states/dozens-of-news-organisations-urge-us-not-to-slash-journalist-visas,,
'1970102933606871310',"There is no more fundamental right in America than the right to protest your government. 

The question this week for Republicans: when is it enough? Stop the false equivalencies and the rationalizations and the attempts to minimize the moment. Stand up and do the right thing. https://t.co/zKRxV3wrYW",en,Tweet,41,2011,487,609,46217,2025-09-22 13:28:36,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1969757837065601024/vid/avc1/1920x1080/hXHHpaL3WygFNkNM.mp4?tag=21
'1969809068916461853',People on the right and left are sick of big corporations - like media companies - having become such a dominant force in our economy and our culture. Whichever party offers a vision to break up concentrated economic power has the potential to capture a new alignment of voters. https://t.co/mcltPIIEEA,en,Tweet,33,893,240,242,36979,2025-09-21 18:00:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969757837069778944/vid/avc1/1920x1080/vCltEtsGs-WLa0iO.mp4?tag=21
'1969760929492484578',"We are fast becoming a banana republic, with two standards of justice. If you oppose the leader, you go to jail just for speech. If you're a loyalist, you get immunity for your crimes.

That's what happens in Iran - not the United States. This is a decision moment for America. https://t.co/Ea7A0w14jP",en,Tweet,1001,30181,7874,5701,1197601,2025-09-21 14:49:36,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1969757837107593216/vid/avc1/1920x1080/leD5-ROtckWHa_VZ.mp4?tag=21
'1969747817993212110',Just finished the interview. Tune in later this morning.,en,Tweet,5,325,62,158,37544,2025-09-21 13:57:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969543272914636820',See you tomorrow.,en,Tweet,9,268,46,135,38273,2025-09-21 00:24:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969489723048525982',"Just leaving East Granby where we had a big crowd at the barn to support Jason Hayes, the Democratic candidate for First Selectman. He’s already knocked on 2,000 doors! https://t.co/KhdmK0Bf0s",en,Tweet,6,457,75,263,25662,2025-09-20 20:51:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1UIdAAXIAAyBQE.jpg
'1969473683551879573',Big crowd in South Windsor today to raise money for the local Dems. Thanks for including me! https://t.co/SjfLtu2ikB,en,Tweet,5,345,51,209,28323,2025-09-20 19:48:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1T52VDW0AAnk0E.jpg,https://pbs.twimg.com/media/G1T52U5XUAEszil.jpg,https://pbs.twimg.com/media/G1T52U6X0AAPbxp.jpg"
