tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1968759973736755261',Thanks for stopping by! Glad to have you in the office!,en,Tweet,0,2,0,2,442,2025-09-18 20:32:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968698568987779395',Happy Birthday to the @usairforce! Thank you for 78 years of dedicated service and sacrifice to our great Nation! https://t.co/MaPQNClgF2,en,Tweet,0,30,4,0,1427,2025-09-18 16:28:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1I46jQXgAIy9Yb.jpg
'1968286717578039772',"Great catching up with Lawrenceburg Mayor Blake Lay, @LawrenceCoTN CEO Ryan Egly, and Economic Development Director Ben Barnett!

Thanks for taking the time to stop by the D.C. office to tell me all about the wonderful business growth happening in #TN04! https://t.co/kVIXR4GWoC",en,Tweet,0,4,2,0,537,2025-09-17 13:11:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#TN04,,photo,https://pbs.twimg.com/media/G1DCVhiWYAAxI1l.jpg
'1968004095006085567',"Today, I had the opportunity to meet with Suni Williams, Butch Wilmore (a fellow Tennessean) and Nick Hague from NASA Expedition 72! Thank you for your bravery in the pursuit of the advancement of science! https://t.co/PEf4Q7nzf7",en,Tweet,0,4,1,0,279,2025-09-16 18:28:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_BSxVWYAAuJ4L.jpg
'1966535720597631145',This is tremendous news for families in the Memphis area of our great state. Thank you President Trump for your commitment to clean up our streets and make America safe again! https://t.co/eDtQU4BzBf,en,Tweet,0,9,0,5,562,2025-09-12 17:13:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/politics/trump-says-national-guard-deploying-memphis-tennessee-next-amid-anti-crime-push?fbclid=IwdGRjcAMxJehleHRuA2FlbQIxMQABHtJhA2nb0YgWRmf-l-QTs7Vr60_j2FqUWHOirGi1T5ZTUOO4c0yzGB-3z442_aem_n0Yeuz2HMGrevOyMPEftXg,,
'1966252116739240162',I am very proud of the House FY 26 NDAA. @HASCRepublicans have allocated the necessary funding to strengthen our military. It is refreshing to have a president who demands we spend the necessary funding to keep our citizens safe &amp; make the US a leader on the world stage again! https://t.co/UnKRcAgKLl,en,Tweet,0,7,1,2,941,2025-09-11 22:26:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0mH4V2XkAAWU_M.jpg
'1966147631505080590',"May we never forget the 2,977 lives we lost on September 11, 2001. First responders ran toward the danger, coworkers helped each other evacuate, and strangers comforted one another. In the face of tragedy, Americans united together as one. We must remember our humanity. God bless the lives lost and the families who were changed by this attack forever. 🇺🇸",en,Tweet,0,6,2,0,826,2025-09-11 15:31:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0ko2ZhWkAAc4Nr.jpg
'1965876887051510199',"Regardless of your politics, Charlie Kirk is a father, husband, and a human being. Please say a prayer for him and his family and also for our country.  This cannot become the norm as part of the political debate and discussion in our nation. https://t.co/t4t6MT0j4K",en,Tweet,1,29,1,3,4583,2025-09-10 21:35:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0gynEEXwAAlBeZ.jpg
'1963247457912902027',"“We don’t want World War III, and the best way to keep that from happening is peace through strength.” 

Had the opportunity to join the @DanMandisShow on @997wtn to discuss Space Command’s move to Huntsville, the China/Russia/Iran space race aggression, and more.

Listen here👇 https://t.co/3Q7lzhdjc0",en,Tweet,0,5,1,6,403,2025-09-03 15:27:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1963247367915757568/vid/avc1/888x486/-scEwZHc0q_McFLA.mp4?tag=21
'1962953558355030317',"Promises made, promises kept by President Trump—Space Command is moving to Huntsville, AL!

Almost 7,000 of my constituents commute into the Huntsville area for work bringing their skills and expertise. I am grateful for the work they do and how they represent our district. https://t.co/8nxYLTEtPd",en,Tweet,1,151,22,23,9981,2025-09-02 19:59:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gz3P23PXgAAz6m4.jpg
