tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970586469522964695',"It was a pleasure to speak on the leadership panel at the Values Action Team Summit last week.

I’m thankful for all VAT does to advance freedom, strengthen families, and create opportunity in America. https://t.co/A5nOsyP1xt",en,Tweet,0,8,2,2,2362,2025-09-23 21:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1jgX53XYAAhmEZ.jpg,https://pbs.twimg.com/media/G1jgdGtWEAAsHac.jpg,https://pbs.twimg.com/media/G1jgmt0WgAAe0EV.jpg,https://pbs.twimg.com/media/G1jgyQKXYAAQ97E.jpg"
'1970544182583525562',.@SenAmyKlobuchar: “Shutting down the government should not be a negotiating tactic.” https://t.co/nSxpj6jkla,en,Tweet,0,40,11,13,10599,2025-09-23 18:41:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970543886104731648/vid/avc1/1920x1080/Vg0vrcWcQkI7d3Qp.mp4?tag=21
'1970517080639447499',"While other UN nations dangerously recognize ""Palestinian statehood"" of Hamas-ran Gaza, @POTUS is leading with moral clarity: RELEASE THE HOSTAGES NOW.",en,Tweet,2,137,27,32,22158,2025-09-23 16:54:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970295652023443963',President Trump is stopping foreign freeloading!,en,Tweet,0,48,9,17,7339,2025-09-23 02:14:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970272102440698228',"Minnesota DFL members want to shut the government down to protect illegal aliens, crime, and fraud—and they’re urging congressional Dems to do the same. https://t.co/7TNcoskSQD",en,Tweet,1,32,17,14,4173,2025-09-23 00:40:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fQB6lWYAA3MfL.jpg,https://pbs.twimg.com/media/G1fQB5-XwAAZEhJ.jpg,https://pbs.twimg.com/media/G1fQB5_WkAANXO6.jpg,https://pbs.twimg.com/media/G1fQB6lXkAAbAhW.jpg"
'1970213431337775497',"Encounters at the southern border are down 96% thanks to @POTUS and the @HouseGOP’s historic border security investment.

Reminder, this was the state of our southern border less than two years ago during the disastrous Biden border crisis: https://t.co/eBlm5oVVaz",en,Tweet,0,89,19,19,10651,2025-09-22 20:47:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eY0D4WgAA2UpI.png
'1970190468437651625',"Happy birthday, Stan! Minnesota and the entire nation thanks you for your service. 

Praying you enjoy another happy and healthy year around the sun. https://t.co/t8hQ7HgkKK",en,Tweet,0,22,1,5,2471,2025-09-22 19:16:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://kstp.com/kstp-news/local-news/wwii-vet-turns-105-is-saluted-by-pete-hegseth/,,
'1970146727585006012',Had a great time with the @PuckNews crew last week at their Power Breakfast series. Our discussion is available now—check it out: https://t.co/IcIUhK1VTz https://t.co/62n828QtzS,en,Tweet,0,13,2,8,2750,2025-09-22 16:22:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://puck.news/tom-emmer-on-the-hills-crypto-wars/?utm_source=twitter&utm_medium=organic_social_caldwell&utm_campaign=&utm_content=tom-emmer-on-the-hills-crypto-wars,photo,https://pbs.twimg.com/media/G1dd8wyWUAAEunm.jpg
'1969901567387353584',"What an excellent tribute to someone who made such an impact on our great nation. 

Though he is no longer here on earth, today is proof that Charlie Kirk’s legacy will live on.",en,Tweet,3,278,32,16,28803,2025-09-22 00:08:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969394740668862504',"With legislation that enhances @POTUS' successful crackdown on crime in D.C., we're keeping our promise to make America safe again.
https://t.co/w0JDSxZmxg",en,Tweet,0,19,1,13,2863,2025-09-20 14:34:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://townhall.com/tipsheet/saraharnold/2025/09/19/house-gop-backs-trumps-crime-crackdown-as-democrats-continue-to-shield-lawlessness-n2663629,,
'1969138058613178719',"The short-term CR sent over by the House is completely clean. There’s nothing partisan about it.

If Chuck Schumer wants to shut the government down and play political games, he’s going to have to own the consequences. https://t.co/UJtXRjBwev",en,Tweet,1,45,13,17,3206,2025-09-19 21:34:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969137473230880768/vid/avc1/1280x720/AbK-B55Sf1vW-TCN.mp4?tag=21
'1969092594094227602',The @HouseGOP voted today to keep @POTUS’ America First agenda moving forward. This brings us one step closer to returning to regular order for the appropriations process. https://t.co/ZCXrgJRxGM,en,Tweet,0,24,5,15,2445,2025-09-19 18:33:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969092403114942464/vid/avc1/1280x720/fthrpa11AnIScGQ7.mp4?tag=21
'1969063377570795573',"On a resolution to honor the life of Charlie Kirk, 58 Democrats voted against, 38 voted present, and 22 didn't vote at all.

The Democrat party is clearly so morally bankrupt that many of them have lost all sense of decency. Absolutely shameful. https://t.co/SVc77wvvg8",en,Tweet,1,77,12,36,7632,2025-09-19 16:37:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OEkl1WYAAgRWP.png
'1969037992577708038',".@VVAmerica: “Congress must ensure no lapse in veterans’ care or benefits. Extending critical authorities for nursing home care, rural access, and community-care capacity is essential to protect our most vulnerable veterans while longer-term solutions advance.”",en,Reply,0,6,1,1,1373,2025-09-19 14:56:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969037990841430465',".@UnifyUSOfficial: “https://t.co/uPYgxvbXW5 strongly supports H.R. 5371, a clean, short-term continuing resolution that will keep the government open while Congress continues to work on a full-year funding package. Shutting the government down while this work continues is irresponsible and will be harmful to the American people.”",en,Reply,1,6,3,3,1509,2025-09-19 14:56:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://Unify.US,,
'1969037988999930358',".@SBECouncil: “SBE Council strongly supports the CR and urges every U.S. House member to vote in favor of this sensible step to keep the federal government open, allowing for discussions to continue on longer-term funding matters.”",en,Reply,0,3,1,1,81,2025-09-19 14:56:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969037986214871300',.@BeefUSA: “This stopgap spending bill affords the House and Senate necessary time to bolster crucial agriculture programs and enact key policies through the budget process. We urge lawmakers to swiftly adopt the continuing resolution.”,en,Reply,0,4,2,0,564,2025-09-19 14:56:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969037984742732146',".@NAHBhome: “On behalf of the more than 140,000 members of the National Association of Home Builders (NAHB), I am writing in support of H.R. 5371, the Continuing Appropriations and Extensions Act, 2026 that would continue to fund operations of the federal government including the extension of the National Flood Insurance Program (NFIP) until November 21.”",en,Reply,0,1,1,1,129,2025-09-19 14:56:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969037983123755097',".@MissionRollCall: “Mission Roll Call calls on Congress to ensure uninterrupted funding for critical VA programs — including the Fox Suicide Prevention Grants, Supportive Services for Veteran Families, and Health Care for Homeless Veterans. These are lifelines for veterans and their families, and their continuation must be guaranteed without interruption.”",en,Reply,1,2,1,1,82,2025-09-19 14:56:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
