tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970590131120652484',It’s beyond time the United States joined a majority of UN nations in recognizing Palestinian Statehood and calling for an end to the genocide in Gaza. https://t.co/8bkjXpzreE,en,Tweet,29,1831,316,984,49850,2025-09-23 21:44:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970590054553628673/vid/avc1/960x536/FPbFXIusveNur3pV.mp4?tag=21
'1970559982488649942',"The best part of my job is getting to connect directly with Minnesotans!

I made a promise to cogovern with you and I'll keep fighting to put your priorities first in the People's House. 💪🏽 https://t.co/JO1TfJMm4B",en,Tweet,15,958,92,492,29037,2025-09-23 19:44:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jV2-EWMAA3SP8.jpg
'1970528317863543266',"The deadline to fund the government is just one week away.  

Democrats are fighting to reverse Republicans' cuts to Medicaid and protect your access to healthcare. Republicans are refusing to negotiate.  

They would rather shut the government down than give you healthcare. https://t.co/7PC5U5OkNx",en,Tweet,26,1295,314,1249,45525,2025-09-23 17:38:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970528255439433728/vid/avc1/960x540/F1Q_sHph0QlwpeZN.mp4?tag=21
'1970212931821334653',"To the Jewish community in Minnesota and around the world, I wish you a  healthy and peaceful New Year!

L’Shana Tova💙",en,Tweet,166,11946,564,1114,399909,2025-09-22 20:45:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970188354206482641',"Food security isn’t “politicized.” Hunger is real. Millions of Americans are struggling. Ending decades of tracking is nothing more than an attempt to hide the scale of the crisis.

Pretending the problem doesn’t exist is cruel and cowardly.",en,Tweet,10,588,118,288,32610,2025-09-22 19:08:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969454588387336581',"No child should go hungry in the wealthiest country in the world.

We need universal school meals. 
We need to end school lunch shaming. 

I'm fighting to ensure our kids get the nutrition they need to succeed. https://t.co/heMsdlXXA1",en,Tweet,234,11483,1397,1772,1369239,2025-09-20 18:32:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969454520452182016/vid/avc1/640x360/x68BeIR0JHAOFtlB.mp4?tag=21
'1969290773213462925',@RapidResponse47 @POTUS https://t.co/dJhJAIG2xb,qme,Reply,4,419,39,32,10029,2025-09-20 07:41:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://x.com/ilhan/status/1969248719506661796,,
'1969248719506661796',"I’m proud of my Somali heritage, proud of my faith, and beyond proud to be an American. 

P.S. To the president: no, you can’t impeach a member of Congress 😉 https://t.co/kcouJOmgjn",en,Tweet,1394,55398,6338,6337,1363485,2025-09-20 04:54:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969248331873263616/vid/avc1/1280x720/XgG7AJKsAhtMTD6v.mp4?tag=16
'1968728932322025939',"Three weeks ago, we lost two beautiful angels at the Annunciation Catholic School shooting in Minneapolis.

The gun violence epidemic must end. That starts with a ban on assault weapons &amp; high-capacity magazines.

You can read my full monthly column here:https://t.co/ybehL2CZpM",en,Tweet,32,2574,326,1179,76147,2025-09-18 18:28:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.hometownsource.com/sun_post/free/column-rep-omar-shares-september-update/article_af71aca7-4836-42e8-a426-a37811a71158.html,,
'1968386306637246865',"Senator Ann Rest has been a dedicated force for working families throughout her four decades of service. She leaves behind an incredible legacy of leadership and integrity.

It's been an honor to work with her to build a stronger Minnesota. Enjoy your retirement, Ann! https://t.co/quO8Gai5dX",en,Tweet,5,268,35,132,16554,2025-09-17 19:47:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EccwOWEAAx6uz.png
'1968106795177816182',"Trump’s Department of Labor wants to gut 60 worker protection rules. This is what it looks like to put corporate profits over workers’ lives.

American workers are not disposable, and I’ll keep fighting to protect their safety. https://t.co/ItLDciqLK4",en,Tweet,60,2526,545,1079,66942,2025-09-17 01:16:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968106672578052096/vid/avc1/1280x720/N3I9g-whDbtdth1b.mp4?tag=16
'1968019063059386764',"The UN report makes plain what so many families in Gaza have been living through: the deliberate destruction of Palestinians.

We have a moral responsibility to stop enabling this genocide and hold Israel accountable.",en,Tweet,25,2325,555,710,77061,2025-09-16 19:28:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967982028428910803',"Donna Minter spent 64 days biking over 3,000 miles across our country to raise awareness and support for climate justice. 

She raised over $25,000 for various Minnesota-based climate nonprofits.

It was my honor to recognize her extraordinary achievements on the House Floor. #MinnesotaMinute",en,Tweet,13,1192,195,787,46698,2025-09-16 17:00:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967981610348761088/vid/avc1/1280x720/oy6PdsWCrYB7daB3.mp4?tag=21
'1967949056912556521',"The Trump Admin is once again using the failed war on drugs to justify their egregious violation of international law.

There is NO legal justification. It risks spiraling into the exact type of endless, pointless conflict that Trump supposedly opposes.

I have a War Powers resolution to fight back.",en,Tweet,29,1156,173,1998,207287,2025-09-16 14:49:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967686810127171990',"I'm proud to have supported awarding members of the 1980 ""Miracle on Ice"" U.S. Olympic men's ice hockey team with the Congressional Gold Medal. 🏒🇺🇸

The team included 12 players &amp; Head Coach Herb Brooks from Minnesota.

That’s Minnesota n(ice) right there.",en,Tweet,7,536,40,551,56201,2025-09-15 21:27:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966986583887753630',"Today, over 100 Minnesotans joined our September Town Hall in Robbinsdale! 

Our neighbors are concerned with the uncertainty facing America in this moment. 

I’m committed to working alongside you to build a brighter future 💪🏽 https://t.co/GQ9I71SeHm",en,Tweet,9,428,70,593,53822,2025-09-13 23:05:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0wj31GXYAAdnDy.jpg,https://pbs.twimg.com/media/G0wj309WEAAok99.jpg,https://pbs.twimg.com/media/G0wj30zXcAAiIOm.jpg,https://pbs.twimg.com/media/G0wj305XUAA08IX.jpg"
'1966899818711969801',I spoke on the House Floor to call out the Trump Administration’s unauthorized military escalation in the Caribbean. My new War Powers Resolution would end hostilities against Venezuela and reaffirm Congress’s constitutional authority to declare war. https://t.co/bmer5R5J4e,en,Reply,2,71,10,117,22965,2025-09-13 17:20:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0vU9fCXcAAMVWV.jpg
'1966899812210799110',"I Voted NO on the defense authorization bill that pours another $882+ billion into the Pentagon. It’s long past time to prioritize housing, healthcare, and education over endless military spending. https://t.co/jMQRpJWEV2",en,Reply,2,74,3,66,24275,2025-09-13 17:20:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0vU9IQXcAAdVnA.jpg
'1966899805789319299',"In @TLHumanRights, we dug into how authoritarian governments twist “transparency” laws to monitor and shut down human rights organizations that challenge their policies, something the Trump administration is actively doing. https://t.co/do7VsiXjuF",en,Reply,0,17,4,15,2064,2025-09-13 17:20:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0vU8vdXQAAzraw.jpg
'1966899799472697845',"Here’s what I’ve been working on in Congress this week:

Proud to co-sponsor the Block the Bombs Act. No child should fall asleep wondering if their home will still be standing in the morning. U.S. weapons are fueling that nightmare in Gaza and it has to end. https://t.co/k8UmNsFuU1",en,Tweet,16,768,138,705,50038,2025-09-13 17:20:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0vU8WJXgAEO9jx.jpg
'1966620437221151039',I'm honored to represent Minnesota's Fifth Congressional District every single day. Here's what I have been up to in the district 💪🏽 https://t.co/s7yDa1PBcb,en,Tweet,15,662,101,958,73269,2025-09-12 22:50:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966620300663017473/vid/avc1/2158x1212/Wa-q_qbKVfNqAx1Y.mp4?tag=21
'1966554905319027192',"Friendly reminder: only Congress can declare war.

Trump ordered a strike on a retreating boat in the Caribbean without Congressional approval. My War Powers Resolution will get answers and reassert Congress’s constitutional role. https://t.co/qWjW7ZrqOf",en,Tweet,44,1124,244,2497,90413,2025-09-12 18:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966535532084695040/vid/avc1/2160x3840/u0ota_3ausRAX5ft.mp4?tag=21
'1966531959988892013',"I am beyond honored to be inducted into the 2025 Sabathani's Southside Hall of Heroes for my work in Congress.

I’ll keep fighting every single day to build a brighter, stronger Minnesota for future generations. 💪🏽❤️ https://t.co/wflo4AtMi7",en,Tweet,7,300,37,495,37592,2025-09-12 16:58:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0qGK1jXoAAG8BW.jpg,https://pbs.twimg.com/media/G0qGK1kWsAAU1X_.jpg,https://pbs.twimg.com/media/G0qGK1lXAAAm1_d.jpg,https://pbs.twimg.com/media/G0qGK1mXcAAEfP8.jpg"
'1966283036552790122',"The Trump Administration launched a military escalation in the Caribbean without ANY legal authority and without approval from Congress.

I’m introducing a War Powers resolution to terminate hostilities against Venezuela and reassert Congress's constitutional role. https://t.co/YeZHT5DoPp",en,Tweet,98,1734,499,2087,214927,2025-09-12 00:29:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966281163275730945/vid/avc1/360x640/EjEupi1jp5bCRa0e.mp4?tag=16
'1966240627290681438',"Trump launched a strike in the Caribbean with no legal authority, no Congressional approval, and no answers about who was on the boat.

That’s why I introduced a resolution to stop these attacks and remind everyone that only Congress can declare war. https://t.co/uPoBidkbXR",en,Tweet,40,1391,368,2647,121416,2025-09-11 21:41:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://theintercept.com/2025/09/11/venezuela-boat-attack-trump-ilhan-omar/,,
'1965909729999483261',"I voted NO on the defense authorization bill.

Congress just voted to send another $882+ billion to the Pentagon. 

It’s way past time to reduce our defense budget and make investments in our communities, not in weapons manufacturers.",en,Tweet,20,1093,133,634,84609,2025-09-10 23:46:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965834842932916279',"No child should fall asleep wondering if their home will still be standing in the morning. Yet U.S. weapons are fueling that nightmare in Gaza.

That’s why I’m proud to co-sponsor the Block the Bombs Act to finally end blank checks for destruction.

STOP. THE. BOMBS. https://t.co/OkYPq3y6qL",en,Tweet,20,1464,247,403,56684,2025-09-10 18:48:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965834758283223040/vid/avc1/360x640/2RIjzkHoLzXzMl1C.mp4?tag=16
'1965803810171080890',"$6.6 trillion in the hands of 400 people is the result of deliberate policy choices. 

The big ugly law is giving even more tax breaks for the rich and corporate loopholes to fuel this inequality. 

Entire generations are being locked out while billionaires cash in.",en,Tweet,30,1013,280,407,79917,2025-09-10 16:45:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965553840637518062',"No single U.S. official should have the power to strip any nonprofit or NGO of their status over false accusations. 

This kind of broad authority has done nothing to make Americans any safer, but instead punishes those who dissent. https://t.co/eEBU7PnZfp",en,Tweet,26,766,201,1067,63702,2025-09-10 00:12:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965553375358894080/vid/avc1/360x640/Z6AerP_qXdAdpqGT.mp4?tag=21
'1965533500247060495',"Today in @TLHumanRights, we discussed how authoritarian governments around the world are using laws that claim to focus on transparency in order to monitor and shut down human rights organizations that are critical of their policies.

The Trump Administration is following suit. https://t.co/eAbqBDLocW",en,Tweet,6,278,92,221,23094,2025-09-09 22:51:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965532682785337344/vid/avc1/720x1280/dORvIwYuGr_Wozu9.mp4?tag=21
'1965517676241191410',"I condemn Israel’s attack on Qatar.

This attack, which violates international law, not only further harms the possibility of a ceasefire between Israel and Hamas but it also jeopardizes the lives of the remaining hostages.

Netanyahu must be held accountable for his war crimes.",en,Tweet,110,9822,1253,1024,196965,2025-09-09 21:48:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965475289749918166',"The Supreme Court said it’s okay for the government to use race and language to decide who gets stopped and questioned.

Once you accept racial profiling as “legal,” it creeps into every corner of American life.

Utterly unacceptable and shameful.",en,Tweet,74,4062,1159,1522,102532,2025-09-09 19:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965450712814686341',"Vaccines save lives. Full stop.

In Minnesota, we follow science, not RFK Jr's conspiracy theories.

I’m grateful our state is stepping up where the federal government is failing.",en,Tweet,31,4409,431,835,109950,2025-09-09 17:22:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965150650422976530',"The top 6 health insurance CEOs pocketed $159.4 million in total compensation last year, while Americans are paying more for less coverage. 

Medicare for All would stop this exploitation in its tracks.",en,Tweet,10,587,136,478,38087,2025-09-08 21:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965126540863447141',"Congress is preparing to send the Pentagon nearly $1 TRILLION to defense contractors and endless wars.

That’s why I introduced 10 amendments to:
✅ Cut $150 billion in wasteful Pentagon spending
✅ Center human rights in our foreign policy https://t.co/ydk5PQjqHx",en,Tweet,2,187,39,121,12673,2025-09-08 19:54:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0WHxR6W4AA1-v3.png
'1965089500247519455',"Instead of economic growth and lower prices, we are experiencing skyrocketing costs and the weakest jobs market in years.

Trump's economic agenda is crushing workers, businesses, and families.

Families deserve an economy that creates opportunity, not one that kills jobs.",en,Tweet,0,118,23,90,17705,2025-09-08 17:27:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965081307060556114',"I'm hosting my September Town Hall this Saturday at 11am CT in Robbinsdale! Join me for a conversation about the issues facing our communities and how we can work together to solve them. 💪🏽

To learn more and register, click on the link below. ⬇️
https://t.co/cHGvGcY3ww",en,Tweet,0,40,9,33,14234,2025-09-08 16:54:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.eventbrite.com/e/september-town-hall-tickets-1639896968979?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=cp&aff=ebdsshcopyurl,,
'1964119568189739326',"Trump and Republicans’ historic cuts to SNAP will jeopardize food security for 440,000 seniors, working families, and children across Minnesota. I met with MN Dept. of Children, Youth and Families Commissioner Tikki Brown to discuss what we can do to fight back. https://t.co/eAx4g291h4",en,Reply,0,32,3,35,8421,2025-09-06 01:12:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0H0VXVW8AA0juB.jpg
'1964119557318086851',I joined @senamyklobuchar in leading the full MN Delegation in introducing a resolution honoring the victims and survivors at Annunciation Catholic School.,en,Reply,0,19,1,22,7993,2025-09-06 01:12:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964119554314957204',I led a moment of silence on the House Floor with the full Minnesota Congressional Delegation to mourn the victims of the Annunciation Catholic School shooting. We will continue to stand with the Annunciation community as they heal from this horrific tragedy. https://t.co/cZG7ET9Wj5,en,Reply,0,5,0,3,427,2025-09-06 01:12:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0H0UcAXAAASgYh.jpg
'1964119541115429268',"It was my honor to be inducted into the 2025 Southside Heroes Hall as part of the Sabathani Living History Museum. 

It’s my greatest honor to serve you in Congress as the Representative for Minnesota’s Fifth District. https://t.co/dcxBgTw6ah",en,Reply,1,2,0,2,381,2025-09-06 01:12:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0H0T0uW8AAs6lV.jpg
'1964119530348724274',"I sat down with members of the University of Minnesota Undergraduate Student Government to discuss how we can work together to expand access to higher education, address food insecurity on campus, and strengthen student safety. https://t.co/D8JtIW1yg9",en,Reply,0,3,0,2,422,2025-09-06 01:12:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0H0TJyW8AEuH5t.jpg
'1964119516192936417',"It was incredible to tour Norway House in Minneapolis and hear from CEO Christina Carleton about the work Norway House does to bring Minneapolis together, and discuss ways we can work together to make the space more accessible to our community. https://t.co/xKip8Dcg08",en,Reply,0,3,0,1,445,2025-09-06 01:12:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0H0R3iW4AAkLd_.jpg,https://pbs.twimg.com/media/G0H0R3hWkAAKodE.jpg,https://pbs.twimg.com/media/G0H0R3gW0AAjDaR.jpg"
