tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970595682018013357',"The Murrieta Creek Phase 2B flood control project and Bradley Road Bridge are just some of the ways I am delivering federal resources to Riverside County infrastructure projects. As a senior member of the Appropriations Committee, I will keep fighting for our region in Congress! https://t.co/jCd5LF7o4Q",en,Tweet,1,4,0,7,320,2025-09-23 22:06:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1j1mmybsAAUoxI.jpg,https://pbs.twimg.com/media/G1j1pB3bsAAhfgi.jpg"
'1970532052190798020',"The House passed a clean, short-term CR to keep our government open. It takes 60 votes to pass it in the Senate. If Senate Democrats continue to insist on a government shutdown it will negatively impact seniors, veterans, military families, and Americans across the country.",en,Tweet,0,108,26,33,8769,2025-09-23 17:53:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970192080577405272',"The decision by the U.K., Australia and Canada to recognize a Palestinian state is both dangerous and irresponsible. We cannot reward Hamas for its barbaric attack on Israel and inhumane conduct. The U.S. will continue to stand by our ally Israel.",en,Tweet,1,32,2,8,1783,2025-09-22 19:22:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970188258714984669',"California continues to have the highest unemployment rate in the nation under Gavin Newsom's failed leadership. Newsom's agenda of high taxes, high energy costs, and job-killing regulations are crushing economic opportunities for California families.",en,Tweet,0,9,3,3,869,2025-09-22 19:07:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969816827019857997',"Today, we come together to celebrate the life of a father, husband, and American patriot. Charlie Kirk’s life was cut far too short, but he will continue to make an impact long after his passing.",en,Tweet,1,20,2,4,967,2025-09-21 18:31:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969517539157033225',This isn’t about masks. It’s about Newsom’s ongoing opposition to enforcing our immigration laws. He supports sanctuary policies that protect dangerous criminal illegal immigrants. He also backed Biden’s open borders policies that voters rejected last November. He’s a radical.,en,Tweet,0,12,3,3,895,2025-09-20 22:42:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969155303418503378',"California continues to have the highest unemployment rate of any state in the union because of its hostile approach towards job creators. Instead of raising taxes and imposing job killing regulations, I have voted to reduce taxes on small businesses and cut red tape. https://t.co/oMwy4cJYKo",en,Tweet,0,7,1,4,532,2025-09-19 22:43:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1PVJiLbQAIGu7z.jpg
'1969112731358765080',Fact check: Newsom's energy regulators just approved a 9% rate increase on Southern California Edison ratepayers. https://t.co/92pBq1pmrE,en,Tweet,1,8,2,3,546,2025-09-19 19:53:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OxRaMagAA9J6p.jpg
'1969100758684426464',"I voted with my House Republican colleagues to keep the government open and pass a clean short-term CR. Despite their previous concerns, House Dems opposed the bill and now seem to think a shutdown is a good idea. I hope their Senate counterparts put people before politics.",en,Tweet,0,4,2,4,1696,2025-09-19 19:06:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969094888533717177',"Just yesterday, Gov. Newsom's energy regulators approved a 9% rate increase on the millions of Southern California Edison ratepayers. His record of making energy more affordable in California is a complete and utter failure.",en,Tweet,0,9,4,2,872,2025-09-19 18:43:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969076914607542482',"Here is the list of California Democrats who did not vote for the Charlie Kirk resolution:

Rep. Barragán   
Rep. Brownley   
Rep. Carbajal   
Rep. DeSaulnier   
Rep. Friedman   
Rep. Garamendi   
Rep. Garcia   
Rep. Gomez   
Rep. Jacobs   
Rep. Kamlager-Dove   
Rep. Khanna   
Rep. Matsui   
Rep. Mullin   
Rep. Pelosi   
Rep. Ruiz   
Rep. Sánchez   
Rep. Sherman   
Rep. Simon   
Rep. Swalwell   
Rep. Thompson   
Rep. Torres   
Rep. Waters",en,Reply,0,12,5,4,392,2025-09-19 17:31:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969075018517954820',"I was proud to cosponsor and vote for House Resolution 719, which condemns the assassination of Charlie Kirk, and extends our deepest condolences and sympathies to Charlie Kirk’s family, including his wife, Erika, and their two young children. In what could have been a powerful moment of bipartisan unity, I was deeply disappointed that a majority of House Democrats did not support the resolution.",en,Tweet,0,8,0,3,437,2025-09-19 17:24:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968820333093470251',"Today, Gavin Newsom's energy regulators approved a 9 percent rate hike for Southern California Edison customers. Once again, Governor Newsom has failed to protect working families from cost increases that are making it harder to afford living in California. 

Read more ➡️ https://t.co/ivK5sFfDUW",en,Tweet,1,11,3,3,589,2025-09-19 00:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KnDPzbsAApk0M.jpg
'1968799088729600183',My CA colleagues across the aisle know there is “no such thing as a good shutdown” because it will “hurt our economy” and is “senseless.” We “should never intentionally harm the American people with a shutdown as leverage for political gain.” Pass the CR. Keep the gov't open. https://t.co/4mV2lj8XU4,en,Tweet,0,15,6,7,3214,2025-09-18 23:07:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KUG0NaQAETayk.png
'1968719929185812798',"Every day I’m thankful for the sacrifices made by our troops deployed around the world. As a small token of my appreciation, I was happy to participate in the USO Care Package Assembly Service Project this morning here at the Capitol by putting together toiletry care packages. To find out how you can lend a hand with the @The_USO visit https://t.co/jPlUj2I1ux",en,Tweet,0,9,4,1,472,2025-09-18 17:53:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JMVkbaAAAl8iC.jpg,https://pbs.twimg.com/media/G1JMVkcaQAIFNjO.jpg"
'1968470960824324526',"Like so many ALS advocates, I am inspired by @realericdane and his bravery. As a Co-Chair of the ALS Caucus, I will continue to work side-by-side with Eric, @iamalsorg, and other stakeholders to fund critical research into cures and treatments.",en,Tweet,0,8,3,3,1469,2025-09-18 01:23:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968394861238763670',"Thanks to the working family tax cuts passed by Republicans in D.C., my constituents will be able to keep more of the money they earn because of:
✅ No tax on tips
✅ No tax on overtime
✅ Lower tax rates
✅ Expanded child tax credit",en,Tweet,0,5,3,4,499,2025-09-17 20:21:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
