tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970636960688492676',President Trump rightfully called out China and others for propping up Putin’s war machine. It is time for the U.S. and the rest of the world to act.,en,Tweet,16,598,90,239,46714,2025-09-24 00:50:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970618702900142342',"I am very pleased that @POTUS highlighted the fact that Christians throughout the world, particularly in the Middle East, are under siege. Lebanon and Israel are some of the only places where Christians can worship freely without fear in the Middle East. 

The persecution of Christians should be more forcefully addressed by the civilized world.
 
I’m grateful to President Trump for shedding light on this issue.",en,Tweet,38,1674,276,651,115656,2025-09-23 23:38:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970606245632421949',"I am so glad that America’s fabulous @FLOTUS Melania Trump met her wonderful counterpart the First Lady of Ukraine to discuss the fate of almost 20,000 Ukrainian children kidnapped by Russian forces. 
 
I have bipartisan legislation that would make Russia a state sponsor of terrorism under US law unless and until the children are returned. This meeting of the first ladies highlights this outrage, and it is time for the world to act more forcefully starting with the US Senate. 
 
Again almost 20,000 Ukrainian children taken from their families and indoctrinated by Russia – one of the worst crimes of any century. It is time to hit Putin’s Russia hard for this outrage.",en,Tweet,52,2439,280,346,113197,2025-09-23 22:48:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970572481820807411',"President @realDonaldTrump's statement today about the war in Ukraine where he believes that with European support and American weapons, Ukraine can drive Russia out of their country is a gamechanger.

This commitment to continue to sell high end American weapons to NATO for the benefit of Ukraine tremendously changes the military equation for Russia.

This commitment combined with economic pressure on those who buy cheap Russian oil and gas like China, India and Brazil is the best hope to end this bloodbath honorably and justly.

President Trump is correct in assessing that the Russian economy is under stress and this will only get worse if we make buying cheap Russian oil and gas toxic for those who choose that path.

Time to end this bloodbath. Well done, Mr. President.",en,Tweet,191,4714,548,903,441397,2025-09-23 20:34:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970553115020853536',".@POTUS was dead right to close the border on Day 1 of his presidency. 

If you’re looking to see what the result of “open borders” is, look no further than Europe. https://t.co/anwt7X0UD2",en,Tweet,16,558,104,214,28270,2025-09-23 19:17:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970553053876023296/vid/avc1/886x480/5Aoc_vrmJiI5p5H-.mp4?tag=21
'1970541124981768335',"I very much appreciate the Secret Service’s outstanding work in detecting a potential plot to shut down communications systems in New York City.

This unnerving discovery found hundreds of servers with over 100,000 SIM cards that could be used to flood telecommunications systems and disrupt operations in a major part of the United States.

I look forward to the results of this investigation. We live in dangerous times – this should be a wake up call.",en,Tweet,7,274,55,62,48456,2025-09-23 18:29:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970255407986995247',"Great afternoon in Spartanburg at @OshkoshDefense where they are making the next generation of @USPS delivery vehicles. 

The men and women of the South Carolina workforce are second to none. https://t.co/tLwtmDKddF",en,Tweet,3,92,19,45,37587,2025-09-22 23:34:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fA2URXEAAn-U7.jpg,https://pbs.twimg.com/media/G1fA2UNXsAAc1ww.jpg,https://pbs.twimg.com/media/G1fA2UQXgAAEoH5.jpg,https://pbs.twimg.com/media/G1fA2USWwAAt56A.jpg"
'1970231881271538116',"Shana Tovah!

As we celebrate Rosh Hashanah and the start of a new year, I wish you and your loved ones health, happiness, and peace. May this year be filled with renewal, hope, and the promise of a brighter future for our families and our nation. https://t.co/BZYnLfa7Z3",en,Tweet,13,1455,114,299,40522,2025-09-22 22:01:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1c4tiJWMAAyrbW.jpg
'1970209065155387625',"President Trump’s decision to posthumously award the Presidential Medal of Freedom to Charlie Kirk recognizes the tremendous impact Charlie had on our nation. 

When it comes to free and open debate, Charlie was a true believer and galvanized an entire generation of young people to the conservative cause. He would talk to a anybody about anything, preaching nonviolence and respect. This is one of the founding principles of America and Charlie epitomized that so well.",en,Tweet,5,346,47,230,45896,2025-09-22 20:30:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970139436743614523',"President Trump’s decision to award the Presidential Medal of Freedom to Dr. @RealBenCarson is well-deserved. A renowned surgeon and conservative thought leader, Dr. Carson has had a tremendous impact on the lives of his patients and the conservative movement he loves so dearly. Dr. Carson has been one of the strongest proponents for the unborn and with this award, I’m even more honored to have his support for my reelection.
 
Dr. Carson is a good and decent man. No one is more deserving of this incredible achievement.",en,Tweet,2,241,26,127,40791,2025-09-22 15:53:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969805548288675998',"The incredible outpouring of support for Charlie Kirk and the movement he created to help elect President Trump and mobilize a generation of young conservatives is incredible to witness. 

I along with so many others are praying that God will continue provide comfort and healing to Charlie’s family and friends.",en,Tweet,6,522,51,195,44419,2025-09-21 17:46:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969800325352624552',"80 years after the end of WWII, where over 6 million Jews were killed by the Nazis for simply being Jewish, the so-called civilized world is rewarding modern day religious Nazis with an arbitrary Palestinian state designation.

To those Western leaders who embrace this, I do not believe you are antisemitic, just shockingly ignorant and blind to what you are doing.

Western Democracies recognizing a mythical Palestinian state – one without leaders, one without borders, one without a capital and one without accommodations for Israel’s security – is truly rewarding the largest slaughter of Jews since WWII. 

Because of these actions, throughout the terrorist world October 7 will now be considered “Liberation Day”.

Hamas, Hezbollah, Iran and the Houthis do not wish for two states. They wish to destroy the Jewish people and drive Israel into the sea, their words not mine.",en,Tweet,869,15069,2934,5834,1658242,2025-09-21 17:26:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969161748864282930',"Congratulations to Mike Waltz for having been confirmed by the U.S. Senate to be the next U.S. Ambassador to the United Nations.
 
I have known Mike for a long time. He’s highly qualified and will hit the ground running being a strong and effective voice for America First foreign policy.
 
He has a great team around him at the UN. Mike’s presence comes at a critical time because there are so many conflicts throughout the world.
 
I look forward to working with him and his team to put pressure on the UN to be more effective and accountable.",en,Tweet,4,317,35,141,47940,2025-09-19 23:08:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969155809272545629',"Glad to hear that President Trump had a productive call with President Xi of China. 

@POTUS deserves a lot of credit for trying to end this bloodbath in Ukraine honorably and justly. China is the biggest purchaser of cheap Russian oil, propping up Putin’s war machine. 

If China chose to push Putin to the peace table, I think it would be enormously effective. 

Because of President Trump’s insistence Europe made a significant step by sanctioning Chinese oil refineries that are part of the system propping up Putin. Let’s build on that momentum.",en,Tweet,5,149,34,142,48153,2025-09-19 22:45:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969139181835469050',"Well done to all law enforcement personnel and agencies involved in this major drug bust.

This is an example of how collaboration between neighboring law enforcement agencies and state and federal officials pay dividends when it comes to getting these drugs off the streets of South Carolina.

https://t.co/VwWMkP3KFY",en,Tweet,1,107,12,44,19137,2025-09-19 21:39:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1969136665559253133',"Russia’s incursion into Estonian air space - a NATO member - today is yet another example of a provocative Putin who remains defiant. 

I appreciate the EU’s new round of sanctions against Russia and Chinese oil infrastructure.

President Trump’s 25% tariff on India for buying cheap Russian oil and gas is going to pay dividends. It’s now time for the U.S. to levy tariffs and sanctions on China and Russia.

https://t.co/9OnXq7x4f3",en,Tweet,31,1510,224,626,92674,2025-09-19 21:29:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
