tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970590435807465739',"In the aftermath of World War II, many Japanese Americans faced severe discrimination, and it's important that we confront and learn from that history. Thank you to the NVC Memorial Hall for welcoming me — and for being part of the Ninth District.
https://t.co/wyk3Z5zM4i…",en,Tweet,0,6,2,0,715,2025-09-23 21:45:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.seattletimes.com/pacific-nw-magazine/seattles-nisei-veterans-hall-honors-the-past-while,,
'1970566589645820346',"I’ve introduced the Community and Technical College Investment Act to offer tuition-free community and technical college and expanded wraparound support services. Post-secondary degrees cost far too much for the average working family, on top of the everyday living expenses. I’m working to provide a pathway to good-paying jobs without breaking the bank. I look forward to seeing how this legislation benefits thousands of people across our country.",en,Tweet,0,2,1,1,561,2025-09-23 20:11:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jb1gXWkAAI61-.jpg
'1970515859094270222',I spoke to @NEWSMAX about I'm standing with Democrats to secure health care for Americans in the budget resolution. https://t.co/rBSojb7lCF,en,Tweet,0,4,0,4,538,2025-09-23 16:49:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970514232874610688/vid/avc1/1080x1920/cZmPA0Cedo6DJzKY.mp4?tag=21
'1970491645561819642',"This is false.

Yesterday's so-called health press conference led by President Trump and Secretary Robert Kennedy was a litany of lies meant to stoke fear and anti-vax sentiments into the American people.

Before making any serious health decisions, please speak with your doctor. When it comes to vaccines, Tylenol, or any other medications, trust your licensed professionals.
https://t.co/JWNDhYJ2id",en,Tweet,1,2,1,3,536,2025-09-23 15:13:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970475724302668121',Wishing all those celebrating in the Ninth District and happy and healthy new year. Shanah Tovah! https://t.co/ShhSP6YXsW,en,Tweet,0,2,1,0,535,2025-09-23 14:09:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1iJHFtWwAAJ-94.jpg
'1970177166873686494',"The Big Ugly Bill slashed access to healthcare, which has since begun to ripple into other areas of Americans’ lives. If you can no longer use Medicaid benefits, you’re forced to pay out of pocket—and may struggle to afford housing. In some states, Medicaid dollars have been used to help individuals secure stable housing, but now this administration is targeting the housing and wellbeing of people across the country.

https://t.co/zUkUTMsqVU",en,Tweet,0,5,2,3,892,2025-09-22 18:23:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970157608423072091',The Republican budget will make health care dramatically more expensive for over a million Americans. We shouldn't have to acquiesce to Donald Trump's budget that makes our country weaker. https://t.co/rcs9W7fIJC,en,Tweet,0,2,1,3,738,2025-09-22 17:05:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970156754689236992/vid/avc1/1080x1920/ajRvuBX_vm104t0E.mp4?tag=21
'1970142156913357259',"The Trump Administration cut food assistance for millions in the Big Ugly Bill.

Now, the Trump Administration is trying to cover their tracks by cancelling a study that monitors hunger and food security -- allowing them to pretend that food insecurity isn't getting worse.

Americans are going hungry and this Administration is turning a blind eye.

https://t.co/NfnzNEIi2S",en,Tweet,0,7,4,2,813,2025-09-22 16:04:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970136268676932015',Great game between the @UW_Football  and @WSUCougarFB on Saturday in Pullman. Happy to see Washington teams play against each other in the 177th Apple Cup. Go Dawgs and go Cougs! https://t.co/e0gIk9NU4W,en,Tweet,0,2,0,0,681,2025-09-22 15:41:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dUfNFWgAAS3Vv.jpg
'1969876036406886400',"Today marks the beginning of International Week of the Deaf, a reminder that we must continue working to increase access for all Americans. I’m proud to have cosponsored legislation like the Medicare Hearing Aid Coverage Act, which provide essential resources to support individuals who are hard of hearing and help make their lives easier.",en,Tweet,0,4,1,4,1041,2025-09-21 22:27:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1969778649256624599',"For 22 years, AmeriCorps has worked to support service and volunteerism by lending a hand to those in need. The Trump administration terminated AmeriCorps programs in Washington, including 29 in King County, to fund tax cuts for billionaires. I have spent time meeting with local AmeriCorps chapters and will continue these conversations to support more investments in this work.",en,Tweet,2,6,3,1,1201,2025-09-21 16:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1969593424111419856',"Two years ago, I relaunched the Congressional Caucus for Effective Foreign Assistance alongside @RepYoungKim. Together, we’ve created a bipartisan group to evaluate how we can maximize the impact and benefit of U.S. foreign assistance. Looking forward to continuing working on these issues.",en,Tweet,0,7,1,8,1416,2025-09-21 03:44:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1969457276995191292',"Proud to see this work in Seattle to provide alternative responses to 911 calls. I’ve introduced legislation to promote a response to behavioral health crises and other emergencies that include trained, unarmed professionals on the national scale, and will continue to support this type of response across the country.

https://t.co/kBT2f4pYjf",en,Tweet,0,6,0,5,1090,2025-09-20 18:43:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1969094655104204958',"The Trump administration is looking to access Washington voter registration to justify the President’s false election fraud claims. Your information deserves to stay private, and our elections will remain secure in Washington state. Every American deserves a voice in our democracy, despite how some may try to take it.

https://t.co/Nn9pJnp50p",en,Tweet,0,5,1,8,894,2025-09-19 18:42:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969062811301970156',"“Political violence has no place in our democracy, and I fully agree with the portions of the Charlie Kirk resolution that condemn it. In this moment, the most important outcome of today’s vote is that the House of Representatives went on record against political violence.

“However, I strongly disagree with the way this resolution reads as an endorsement of Charlie Kirk’s worldview. We can condemn the violence committed against him while disagreeing with his positions and approach to political discourse.

“It would have been far better to pass a bipartisan resolution that clearly and unequivocally condemns all political violence—whether from attacks on Speaker Pelosi, the attack on Minnesota House Speaker Hortman, or anywhere else—without turning it into a partisan effort.

“Even with those serious reservations, I believe the condemnation of political violence is too important to ignore, which is why I supported that central principle in today’s vote.”",en,Tweet,0,7,2,7,937,2025-09-19 16:35:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ODjBUWwAIMT_i.jpg
'1969060067291890175',A free and independent press is a cornerstone of our democracy. https://t.co/FfWBEc3Jqi,en,Tweet,0,2,1,4,637,2025-09-19 16:24:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969059675439038464/vid/avc1/1280x720/PZocJSuGQo25SLC3.mp4?tag=21
'1969036126921863261',The President of the United States is using his power to coerce people into not criticizing him. This completely violates the First Amendment. https://t.co/lVVxxcrm7g,en,Tweet,1,3,5,7,725,2025-09-19 14:49:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969034133063012352/vid/avc1/1080x1920/Db7lUy1CXDvPkzl3.mp4?tag=21
'1968764976710975555',"President Trump’s haphazard tariffs are taking money out of the pockets of everyday Americans. Consumers will pay $400 more when financing a car, households will lose $2,400 in income, and small business importers have already paid $90,000 in tariffs. It’s past time that this administration understands the economic pain that these chaotic tariffs are inflicting on hardworking people.
https://t.co/dQNCSPtLsx",en,Tweet,0,6,1,2,673,2025-09-18 20:52:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968723725559214231',Happy birthday @usairforce! Our country is grateful for the dedication and service that every person in uniform has shown over the past 78 years.,en,Tweet,0,3,1,0,619,2025-09-18 18:08:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968702126848188761',My thoughts on Jimmy Kimmel and the Trump Administration's crackdown on free speech. https://t.co/MAiugXa1YD,en,Tweet,1,10,2,25,25090,2025-09-18 16:42:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968701808676597760/vid/avc1/1440x2560/s02lJ8r1znlJ2-sQ.mp4?tag=21
'1968678864038625459',"Freedom of speech also applies to people you disagree with, President Trump.

Trump's FCC Chair publicly assailed Jimmy Kimmel for expressing his beliefs in a late-night monologue -- and hours later ABC and Disney pulled Kimmel's show off the air indefinitely.

No presidential administration should use their power to silence dissent and ABC and Disney should not have bent the knee.

A free and independent press is a cornerstone of our democracy. This incident sets a horrific precedent for broadcasting in the United States.",en,Tweet,1,5,2,4,604,2025-09-18 15:09:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ImThvWoAEJjsc.jpg
'1968664060192240001',We lose any sort of bipartisan consensus when we blame political violence on one party. We should say this is wrong no matter who's saying it. https://t.co/t67ItvIoUZ,en,Tweet,0,8,3,1,521,2025-09-18 14:11:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968663541533044736/vid/avc1/1080x1920/qVgGEFp7GMEcyeVD.mp4?tag=21
'1968407857407119759',"Today, we celebrate Congressional App Challenge Day. For years, talented, young coders in my district have been submitting their creations to this competition to show their creativity and STEM education. John O’Meara from Issaquah High School won last year’s prize with his app, Tutorable. This year’s competition ends on October 30th, so be sure to enter your app, website, robot, or other design to be considered. For more information, visit https://t.co/PYEA4lGSLr.",en,Tweet,0,1,0,1,663,2025-09-17 21:12:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EwRetX0AAau_H.jpg
'1968382041759637657',"I joined 95 of my colleagues in condemning the cruel detention and deportation of Dreamers at the hands of the Trump Administration. These individuals were brought to the U.S. as children and have established deep ties in their communities. Secretary Noem’s actions fly in the face of legal protections afforded to Dreamers and rip families apart.
https://t.co/BIA85aThp1",en,Tweet,0,7,2,3,491,2025-09-17 19:30:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968363658892996626',Funding early childhood programs creates a strong foundation for a lifetime of success. I remain a steadfast supporter of Head Start and thank the providers from around my district for meeting with me today to discuss how we can advocate for every child. https://t.co/XGubABA5WN,en,Tweet,1,8,1,2,897,2025-09-17 18:17:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EIBK1XUAAftls.jpg
'1968343943495524436',Over a million Americans lost their lives during the COVID-19 pandemic. Recklessly changing vaccine guidance with no evidence is radically dangerous and could put everyone's health and wellbeing at stake. Secretary Kennedy needs to listen to the facts and the data provided from experts.,en,Tweet,0,5,3,2,814,2025-09-17 16:59:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968330138766160083',Folks from @WAplanfinder stopped by today to talk with me the impact that Congress not extending premium tax credits will have on Washingtonian’s health insurance. Tens of thousands of people will become uninsured and health care premiums will increase for everyone.  I will continue to advocate for expanding affordable access to care for all Washingtonians.,en,Tweet,0,3,2,2,515,2025-09-17 16:04:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DpagzWUAAai-u.jpg
'1968032020203700472',"Every American has the right to exercise their voice in our democracy, and that starts at the ballot box. Today is National Voter Registration Day, so remember to register to vote and make a plan for when you visit the polls. For resources on how to register in Washington, visit https://t.co/HPr4lCXNJh.",en,Tweet,0,1,0,1,545,2025-09-16 20:19:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_acF5X0AABF6T.jpg
'1967968870918197585',I am now on @SubstackInc. Join in on the conversation here: https://t.co/6KyGjVWjX9 https://t.co/X4uArcDhRN,en,Tweet,0,1,0,0,464,2025-09-16 16:08:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://substack.com/@repadamsmith9,photo,https://pbs.twimg.com/media/G0-g2omW0AEfzjj.jpg
'1967707341576630320',"Whether you need help with expediting a passport or accessing your Social Security benefits, my team is here to help. For any casework assistance, call my district office. https://t.co/Uhmm4OUeQG",en,Tweet,0,1,0,1,504,2025-09-15 22:49:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967706869436141568/vid/avc1/1920x1080/o6W6qTNuafUwzKsI.mp4?tag=21
'1967679466253217903',"It's been great to see how IACS is moving forward with their new Kent Community Center. I was proud to work alongside Executive Director, Lalita Uppala, to secure over $2 million to support renovations to their facility, building on more than 40 years of community engagement in the Puget Sound area. Opening in fall 2026, this center—located in one of the most diverse areas of our state—will be an important resource in the Ninth District for workforce training and economic development. 
https://t.co/fg8BBkRnFo",en,Tweet,0,1,0,1,546,2025-09-15 20:58:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967672681958084733',Debates get passionate -- that's part of the democratic process. But the notion that violence is an acceptable answer simply because someone disagrees is completely unacceptable. https://t.co/PuOcgbLBLi,en,Tweet,0,4,0,2,571,2025-09-15 20:31:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967671901850886144/vid/avc1/1080x1920/jjpbGElyCfWZz-Jr.mp4?tag=21
'1967634325807173640',"Today marks the start of National Hispanic Heritage Month, a time to recognize the great influences that generations of Hispanic Americans have had on our country. Sending my best wishes to all the Hispanic Americans in WA-09. https://t.co/X3bPWDCh2y",en,Tweet,0,0,0,0,498,2025-09-15 17:59:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G05wwSQXYAATpgM.jpg
'1967619250048139761',"On Friday, I met with @AFGENational Local 1102, a union representing FDC SeaTac prison workers to hear about supporting them after the Trump administration’s attack on federal workers. I’m here to work with you to support staffing, safe workplace conditions, and fair wages for those in your union. Appreciate you coming by.",en,Tweet,0,6,2,1,1111,2025-09-15 16:59:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G05hYyWXsAAhtLV.jpg
'1967606789907878347',Violence is never acceptable. Period. https://t.co/eiD7FwqP42,en,Tweet,0,7,0,4,479,2025-09-15 16:09:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967605911796506624/vid/avc1/1080x1920/-rzxCm8jFG4M5U_N.mp4?tag=21
'1967332526973677681',"We absolutely need to make our cities, like Seattle, safer places to live.

President Trump’s puppet show with the national guard doesn’t make cities safer. It’s performative, expensive theatre and taxpayers are footing the bill.",en,Tweet,0,13,1,11,826,2025-09-14 22:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
