tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1963651840270381065',"I was glad to welcome Air Force Lt. Col. Jeremiah Aleki Alefosio, Commander of the 30th Logistics Readiness Squadron at Vandenberg Space Force Base, to our office. He’s in D.C. for the AF Advanced Logistics Readiness Course. 🇺🇸 https://t.co/kJHqLgDMqL",en,Tweet,0,1,0,0,178,2025-09-04 18:14:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0BK8MlWgAAuAvo.jpg
'1963254601957683704',"I welcome House passage of the bipartisan PARTNER Act, strengthening U.S. ties with Pacific Islands Forum, ASEAN &amp; others. 🌊🤝

“This is another way to show our nation’s commitment to the Pacific region.”

#PARTNERAct #IndoPacific",en,Tweet,0,2,1,1,193,2025-09-03 15:55:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#PARTNERAct,#IndoPacific",,,
'1960709073944346666',Saddened to hear of the fire at the Nitijela building. Thank God no one was hurt. I’m told the building will have to be reconstructed from the ground up. I will do all I can to help RMI in their restoration efforts. https://t.co/BYrf7ImUiI https://t.co/OOl7kW18ho,en,Tweet,0,1,1,4,167,2025-08-27 15:20:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://radewagen.house.gov/media-center/press-releases/amata-shocked-nitijela-fire,photo,"https://pbs.twimg.com/media/GzXWTxUXMAAkn5c.jpg,https://pbs.twimg.com/media/GzXWTxTXsAAH_OB.jpg,https://pbs.twimg.com/media/GzXWTxXWYAAeZ0x.jpg"
'1953546541324808552',"(9/9) Thankful for our dedicated Pacific diplomats and the East-West Center—a vital hub for promoting peace, cooperation, and understanding across our island nations. 🌐 #EastWestCenter #IslandUnity #AmataInAction https://t.co/ipkgPvIJkD",en,Tweet,0,0,0,2,184,2025-08-07 20:59:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#EastWestCenter,#IslandUnity,#AmataInAction",,photo,https://pbs.twimg.com/media/GxxkOdKXkAAnlAy.jpg
'1953546353814253705',(8/9) Pacific security remains a priority. The President’s initiative will direct $30B+ to Indo-Pacific defense projects &amp; U.S. Coast Guard resources. A vital investment in regional stability. #PacificSecurity #USCoastGuard,en,Tweet,0,0,0,3,139,2025-08-07 20:58:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#PacificSecurity,#USCoastGuard",,,
'1953546248671441077',"(7/9) “The President heard my request to reopen fishing in the PRIMNM,” I noted. “His focus on removing barriers to economic efficiency helps both large &amp; small jurisdictions like ours.” #Fisheries #IslandEconomies",en,Tweet,1,0,0,2,120,2025-08-07 20:58:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#Fisheries,#IslandEconomies",,,
'1953546133701079299',"(6/9) When American Samoa was mistakenly included in a 10% tariff order, quick coordination with the White House &amp; DHS helped resolve it. Clear communication with DC makes a difference. #ResultsMatter #AmericanSamoa",en,Tweet,1,1,0,1,124,2025-08-07 20:57:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ResultsMatter,#AmericanSamoa",,,
'1953545768385597763',"(5/9) We discussed the impact of new trade deals with the EU &amp; Japan—expected to generate $2T+ in investments. I emphasized the need for adjustments for small, remote economies like ours. #EconomicGrowth #PacificTrade",en,Tweet,0,0,0,3,131,2025-08-07 20:56:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#EconomicGrowth,#PacificTrade",,,
'1953545671073788255',"(4/9) “I will work closely with Gov. Apatang, Rep. Kimberlyn King-Hinds &amp; all of you to foster a secure &amp; prosperous Pacific,” I said. “While my influence is limited, I believe Congress has a welcoming ear for our region.” #CongressionalUpdates #IndoPacific",en,Tweet,0,0,0,0,117,2025-08-07 20:55:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#CongressionalUpdates,#IndoPacific",,,
'1953545547459031238',"(3/9) Present were:
🇵🇼 Palau – Consul General Uchel Raley Naito
🇲🇭 RMI – Consul General Glansay Enos
🇫🇲 FSM – Acting Consul General Henry Shrew & James Naich
🇦🇺 Australia – Deputy Consul General John Pumpa
🇹🇴 Tonga – Hon. Consul Annie Kaneshiro
🇬🇧 UK – Hon. Consul Midori Akamine
#IslandNations",ro,Tweet,1,3,0,2,147,2025-08-07 20:55:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GxxiZ5MWQAAry8o.jpg
