tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970565999293329467',"Democrats are working to save healthcare, get servicemembers and federal workers their checks on time, and avoid disruptions to hardworking Americans.",en,Tweet,0,7,2,3,777,2025-09-23 20:08:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970565961154494797',"‼️UPDATE: Republican leadership just canceled votes for next week, even though that’s when government funding expires – and they have no plan.
 
House Republicans say they would rather shut down the government than come back to Washington to do their jobs.",en,Tweet,0,9,4,4,1189,2025-09-23 20:08:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970229899777696060',"I wish everyone celebrating in Indianapolis and around the world a happy, healthy, and sweet new year. Shanah Tovah U'metukah! https://t.co/8GDcZuQ6XP",en,Tweet,0,4,1,2,458,2025-09-22 21:53:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eppivXIAAtmDC.jpg
'1970188958609899758',"8 days until a government shutdown. 
 
We've been here before—House Republicans running out the clock because they can’t unify their own party. 
 
But Democrats are unified: no cuts to healthcare. No cuts to SNAP. No more tax dollars to illegal ICE arrests. https://t.co/MMSIiic5zi",en,Tweet,0,11,6,4,780,2025-09-22 19:10:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eEaoBX0AAC8Vx.jpg
'1969508460166279175',🚨NEW BILL ALERT: I'm proud to introduce the Aviation Funding Stability Act with @RepCohen. My district is home to the best airport in North America @INDAirport and the industry is vitally important to our economy. Our bill keeps our skies—and the workers who get us up in the air—safe.,en,Tweet,0,11,9,4,1395,2025-09-20 22:06:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1UZgZaXMAAnhgF.jpg
'1968750147703063038',"The U.S. has lost manufacturing jobs in each of the 4 months since Trump announced his taxes on everything we import.
 
It’s more important than ever that we pass a government funding bill that keeps the government open and protects working Americans.",en,Reply,0,4,1,5,525,2025-09-18 19:53:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968750145878585649',"For the first time in 4 years, unemployed workers outnumber available jobs.
 
The U.S. economy actually lost 13,000 jobs in June, the first negative jobs month in nearly 5 years.",en,Tweet,0,9,2,12,774,2025-09-18 19:53:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968055775437394225',"When an Indianapolis family faced years of challenges securing Social Security benefits, my office was able to get results. If you are facing difficulties navigating a federal agency, my office may be able to assist. Visit https://t.co/oWj8n7hL02 to learn more. https://t.co/svNKIcrFjK",en,Tweet,1,12,2,74,3520,2025-09-16 21:53:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://carson.house.gov,photo,https://pbs.twimg.com/media/G0_wS9pWMAAXq49.jpg
'1967696683560751351',"This Hispanic Heritage Month, we honor the culture, history, and contributions of the Hispanic community. 
At a time when too many try to divide us with fear and hate, we choose to celebrate the diversity that strengthens our nation.",en,Tweet,0,8,0,20,1060,2025-09-15 22:07:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966523667807900001',"I want to be perfectly clear: I wholeheartedly condemn violence of any kind. I’ve spent my career combatting violence—first as a police officer, a Supervising Watch Officer with the Indiana Department of Homeland Security, and now as a Senior Member of the @HouseIntel committee. 

My office received a death threat today—unfortunately, a common occurrence. Political violence has been normalized for quite some time, and it must end. 

In this vulnerable time, I join my colleagues across the aisle in calling for compassionate dialogue, not reactionary hate.",en,Tweet,6,78,8,315,13001,2025-09-12 16:25:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966210164526129294',"➡️The 2025 NDAA makes accidentally stepping on a military base a felony. Our focus should be on real threats, not unnecessary prosecutions.",en,Reply,0,6,0,18,2404,2025-09-11 19:40:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966210160973557970',"➡️It also failed to address the continued flow of US military weapons to kill civilians in Palestine. We should not continue to keep giving a blank check to Israel.
 
➡️The 2025 NDAA rolled back clean energy policies, removing restrictions on harmful chemicals to our environment.",en,Reply,0,6,1,12,3409,2025-09-11 19:40:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966210156808597652',➡️The 2025 NDAA did not address misuse of our military assets – such as the use of the National Guard against US citizens and an unlawful strike against Venezuela.,en,Reply,0,1,0,1,277,2025-09-11 19:40:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966210152312283147',"➡️The 2025 NDAA discriminates against LGBTQ+ servicemembers, attacking families and making our military weaker.",en,Reply,0,2,2,2,409,2025-09-11 19:40:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966210148810072190',"The National Defense Authorization Act (NDAA) is an annual bill to determine the policies of the Department of Defense. Yesterday, House Republicans pushed a partisan, extreme NDAA with poison pill amendments. Here’s why I voted no:",en,Tweet,0,10,1,57,4478,2025-09-11 19:40:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966166245872644510',"Today, we honor the lives lost on September 11, 2001, the heroes of that day, and those who are still mourning loved ones. We will never forget. https://t.co/2jUgNGM5uY",en,Tweet,0,10,2,19,2207,2025-09-11 16:45:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0k5xq8XMAADUN7.jpg
'1965891514699297056',"Political violence is never ok and must be stopped. In June, Minnesota Democratic lawmaker Melissa Hortman and her husband, Mark, lost their lives, and now Charlie Kirk lost his.
 
My condolences are with Charlie’s family, especially his young children.",en,Tweet,0,30,12,76,4486,2025-09-10 22:33:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965792024768262497',"You are not alone. On Suicide Prevention Day, let's come together in compassion and recommit to sharing resources with those who need it most. 

Call or text 988 for free support, 24/7.",en,Tweet,0,4,0,9,699,2025-09-10 15:58:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965453645643952157',"In conversations I’ve been having with friends across Indiana, one thing is clear: the cost of living is too high.
 
President Trump took office in January 2025. Have your costs risen due to his policies?",en,Tweet,0,3,2,12,866,2025-09-09 17:34:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965118614945890736',"My stance is clear. I will support bipartisan funding that improves the health, safety, and economic well-being of everyday Americans. 
 
I will NOT support a partisan Republican bill that rips health care away from the American people.",en,Tweet,0,18,3,7,883,2025-09-08 19:22:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964025953501290879',The president's mid-decade redistricting scheme is a direct attack on Black and Brown Hoosiers. This is a fight for fairness for our entire state. Read my article in the @indyrecorder. https://t.co/mf4HYHMdUX,en,Tweet,0,9,0,6,506,2025-09-05 19:00:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://indianapolisrecorder.com,,
'1964010110658699361',"Numbers don't lie: Layoffs are up, job growth is down, and families are hurting. In August, unemployment rose to 4.3% - the highest in years. President Trump's economy is failing working Americans.",en,Tweet,0,10,4,5,949,2025-09-05 17:57:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1963965420362215546',"President Trump’s proposed budget eliminates all funding for HIV prevention at the CDC—a $1 billion cut in just one year. 
 
I’m cosponsoring the HIV Prevention Now Act and the PrEP and PEP are Prevention Act to preserve this funding and save lives.",en,Tweet,1,16,3,5,969,2025-09-05 15:00:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1963634350542475719',"“It isn't reform. It's sabotage."" 

That's what former CDC director Susan Monarez says about President Trump's Health Secretary. 

RFK Jr. is ignoring science—and our children will suffer for it.",en,Tweet,0,9,1,5,670,2025-09-04 17:04:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1963332893897625946',"Today, I offered an amendment in the @TransportDems Committee to increase transparency on FEMA grants. The amendment passed with bipartisan support and ensures communities know where disaster relief dollars are going. https://t.co/iZ92EN3j83",en,Tweet,0,4,1,5,480,2025-09-03 21:06:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1963331621441998848/vid/avc1/1920x1066/1tZF_N__SaMkvJB7.mp4?tag=21
'1963246329448087825',"Indianapolis is expecting a storm tonight — a reminder that we must ALWAYS be prepared to dispatch emergency FEMA resources. Today, @TransportDems are marking up the FEMA Act of 2025 to reform this essential agency and ensure we can provide lifesaving relief. 

Watch here: https://t.co/qphc0q3Ei9",en,Tweet,0,15,2,4,1016,2025-09-03 15:22:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1962937835423514679',"If Congress doesn't reach a deal, government funding expires at the end of the month. 

We're on the clock — and House Democrats are using every minute to save Medicaid, SNAP, and the working class.",en,Tweet,1,9,2,5,927,2025-09-02 18:57:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1962517723415515315',"On Labor Day, we honor the workers who keep our communities moving forward. From fair wages to safe workplaces, I will keep fighting to make sure every worker gets the dignity and respect they deserve.",en,Tweet,0,14,3,5,854,2025-09-01 15:07:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1961886289092903109',"This Labor Day weekend, let’s not forget that it’s been 16 years since the last increase in the federal minimum wage. I’m proud to be in the fight with my @Labor_Caucus colleagues to make the minimum wage a living wage. #RaisetheWageAct",en,Tweet,1,55,15,15,2158,2025-08-30 21:18:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#RaisetheWageAct,,,
'1961521344853807568',"This month marks 90 years of Social Security. 90 years of fulfilling a promise to the American people.

I oppose any efforts to cut benefits or privatize Social Security. Learn more about what I’m fighting for you: https://t.co/SnTn3e5wG1",en,Tweet,0,28,5,8,987,2025-08-29 21:08:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://carson.house.gov/media/past-e-newsletters/90-years-social-security,,
