tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970596167680696410',"More lies. 

Schumer’s Shutdown. https://t.co/1GsiVKMwIo",en,Tweet,17,1418,520,239,32659,2025-09-23 22:08:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1j2xSLXoAALN68.jpg
'1970493533405487373',"President Trump is right. 

Shutdown Schumer and his Senate Democrats are poised to shut down the government over taxpayer-funded transgender surgeries and benefits for illegal aliens. 

We will not capitulate to the radical Left’s insane demands.",en,Tweet,60,5985,2147,641,67067,2025-09-23 15:20:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970479218573353235',"The radical Biden-Harris regime pressured platforms to silence conservative voices. 

Chairman @Jim_Jordan and @JudiciaryGOP are fighting to make sure it never happens again.",en,Tweet,51,1329,494,171,80877,2025-09-23 14:23:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970258902341316663',Thank you @SecKennedy!,en,Tweet,5,554,121,90,27589,2025-09-22 23:48:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970155491759210514',"During Charlie Kirk’s memorial, Erika boldly proclaimed that she forgives her husband’s assassin. 

House Democrats couldn’t even get half of their caucus to condemn Charlie’s assassination. 

The Left sows division, hatred, and discord. The Right urges reconciliation. https://t.co/gXhXXVZldL",en,Tweet,122,7391,1124,329,151331,2025-09-22 16:57:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970155305691443200/vid/avc1/1552x884/8mA_Oj71l7U3xjBM.mp4?tag=21
'1969958382854668409',"In June, House Republicans voted unanimously to condemn the attacks on Democratic Minnesota lawmakers.

Last week, not even half of House Democrats voted to condemn the assassination of Charlie Kirk. https://t.co/dhsrQ77GJM",en,Tweet,74,2207,1018,199,29837,2025-09-22 03:54:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1aytYpWYAE9w4d.jpg,https://pbs.twimg.com/media/G1aytYnWgAAsFcV.jpg,https://pbs.twimg.com/media/G1aytYoWEAAtXAZ.jpg,https://pbs.twimg.com/media/G1aytYsWoAAR8he.jpg"
'1969861441797726661',For Charlie. 🇺🇸,en,Tweet,7,1099,170,47,26874,2025-09-21 21:29:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969418577028472848',"Giving mass amnesty to millions of illegal aliens who unlawfully crossed our borders would completely abandon President Trump’s priorities. 

We must not allow that to happen. 

No amnesty.",en,Tweet,64,7346,2445,1452,102770,2025-09-20 16:09:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969195717655752799',Any government shutdown will be 100% the fault of Chuck Schumer and the Democrats.,en,Tweet,11,4441,1144,529,61104,2025-09-20 01:23:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969107231321780453',"On National POW/MIA Recognition Day, we remember that freedom is never free.

We honor those who were held as prisoners of war and those who are still missing.

You are not forgotten. https://t.co/FJpnpPVgdL",en,Tweet,0,215,57,34,7011,2025-09-19 19:32:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OsSO5XQAA20F1.jpg
'1969054264141004988',"H. Res. 719 wasn't a controversial piece of legislation.

This resolution honored the life and legacy of Charlie Kirk and condemned political violence. 

Less than half of @HouseDemocrats voted for it. https://t.co/lL4D2BxcJ9",en,Tweet,12,703,283,165,15361,2025-09-19 16:01:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1N7XdCWMAAEMKh.jpg
'1969039585410695619',https://t.co/jkfPmKMYXR,zxx,Tweet,44,2637,880,126,39284,2025-09-19 15:03:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1NvESuXAAA9-wY.jpg
'1968865315640508692',"Charlie Kirk was murdered because the radical Left indoctrinated an assassin with the idea that a political opponent is a fascist. 

This is exactly the kind of rhetoric that puts targets on conservatives’ backs.",en,Tweet,64,3509,1351,650,69229,2025-09-19 03:30:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968854252924625118',"Please join me in praying for Brenna and Damon’s friends and families. 

God bless our first responders.",en,Tweet,3,627,167,39,23448,2025-09-19 02:46:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
