tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970486899853680816',L’Shana Tovah to the Jewish community in Iowa and around the world! Wishing you a blessed Rosh Hashanah and start to the new year.,en,Tweet,0,11,1,6,955,2025-09-23 14:54:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969094180619075611',"Today I helped introduce a bipartisan, bicameral resolution to recognize September 19th as National Stillbirth Prevention and Awareness Day. 

We must keep working to expand access to maternal care and prevent families from experiencing this devastating loss. https://t.co/5XCE36wf2K",en,Tweet,0,20,2,10,1299,2025-09-19 18:40:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969094112000266240/vid/avc1/1080x720/Q8Ve7XzFFN_ynOqW.mp4?tag=21
'1969053901279109480',"On the floor this morning: a resolution honoring Charlie Kirk and condemning—in the strongest possible terms—the assassination of Charlie, and all forms of political violence. 

Since Charlie’s death, the heartbreak across the nation has been immeasurable. I’m proud to be a cosponsor and pay tribute to not only the life and legacy of Charlie, but the importance of civil discourse.",en,Tweet,1,22,2,9,1629,2025-09-19 16:00:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968751805124190354',President Biden crushed the American Dream of home ownership. President Trump is fixing his mess and making the American Dream of home ownership attainable for working families again.,en,Tweet,1,17,4,24,2383,2025-09-18 19:59:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968460567036796968',Jimmy Kimmel peddled a disgusting lie about the political assassination of Charlie Kirk &amp; more than deserves to be pulled off the air. https://t.co/4a4iGwquKt,en,Tweet,0,72,18,63,4697,2025-09-18 00:42:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Fgc9vXkAA4iFA.jpg
'1968436490901291309',Happy Constitution Day 🇺🇸 Today we honor the Founding Fathers’ enduring vision for our great nation. We must continue to protect our precious freedoms!,en,Tweet,0,15,1,16,1643,2025-09-17 23:06:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968360761643909562',"New bill drop ➡️ Under current law, parents don’t have the option to take family leave in the tragic event of a stillbirth. Families who endure such a horrific and painful loss of a baby deserve family leave options while they grieve and heal. 

I joined forces with @SenTomCotton, introducing legislation to provide parental leave & resources for mothers who unexpectedly lose their unborn child. 

As we work to end the tragedy of stillbirth, this is a strong step in providing families with care and financial stability during one of the most challenging times in their lives. Read more from @DailyCaller: https://t.co/TtSkhHbf6C",en,Tweet,0,12,1,4,896,2025-09-17 18:05:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968325613015728362',"Fun fact: Iowa is ranked 7th in the nation for turkey processing. 🦃
 
Many thanks to the Iowa Turkey Federation for stopping by my office in DC to talk about how we can support Iowa producers! https://t.co/sfuvmMlVIL",en,Tweet,0,17,2,12,1499,2025-09-17 15:46:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1DltpjWcAA55YH.jpg,https://pbs.twimg.com/media/G1DltpnWwAAleSA.jpg"
'1967650892645273959',Read more here ⬇️ https://t.co/aCBofxQccX,en,Reply,0,1,0,1,807,2025-09-15 19:05:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://hinson.house.gov/media/press-releases/hinson-barrett-introduce-fair-trucking-act-end-legal-abuse-against-truckers,,
'1967650890405515283',"NEW: Truckers keep America moving and deliver for us each and every day—but bad actors are blatantly exploiting them for payouts. This legal abuse is dangerous and wrong. My new bill puts safety and fairness first—deterring staged collisions, protecting jobs and small businesses, and ensuring justice is the focus—not profit.",en,Tweet,0,8,2,8,1183,2025-09-15 19:05:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967569512728858815',"In just a few short weeks, President Trump has made DC safe again after years of rampant crime & violence. It’s ridiculous that Mayor Bowser will no longer cooperate with ICE to detain criminal illegal aliens. 

The American people don’t want sanctuary cities, they want to feel safe in their communities.",en,Tweet,0,28,5,24,3130,2025-09-15 13:41:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
