tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970502500072522107',"Democrats are trying to force over a trillion dollars of spending for their radical policy wish list into the clean continuing resolution passed by House Republicans. 

They have made it clear they want a shutdown that will harm American families.",en,Tweet,2,399,179,132,7382,2025-09-23 15:56:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970266035937800235',"Coach Pearl has written his name in the college basketball history books. 

6 SEC championships, 2 Final Fours, 4-time SEC Coach of the Year, and the 2025 AP Coach of the Year.

Congratulations on your retirement and War Eagle, @coachbrucepearl!",en,Tweet,0,6,1,3,873,2025-09-23 00:16:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970254625682137353',My statement on the foreign recognition of Palestine as a state ⤵️ https://t.co/zljt5TGalc,en,Tweet,0,20,2,14,1040,2025-09-22 23:31:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fAI7-W8AAQz5N.jpg
'1969831827843244484',"Charlie Kirk never wavered in his Christianity, his love for America or his desire to foster respectful debate. 

As we honor him today, may we all remember that politics is temporary but faith in Christ is eternal.",en,Tweet,2,98,21,17,3091,2025-09-21 19:31:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969812139591512535',"“Whoever has my commands and obeys them, he is the one who loves me. He who loves me will be loved by my Father, and I too will love him and show myself to him.” - John 14:21",en,Tweet,0,21,2,6,784,2025-09-21 18:13:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969530263194509794',"The border is secure. Crime is down. Inflation is down. Optimism is up and families are thriving. 

That’s the Trump agenda - and Alabamians are seeing the benefits of it! 🇺🇸",en,Tweet,1,68,12,25,2473,2025-09-20 23:33:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969054911158513993',"Today, 118 Democrats voted no, present, or skipped the vote on a resolution honoring the life of Charlie Kirk and condemning political violence. 

Charlie would have welcomed a respectful debate with any of them. 

They can never again claim to be the party of unity.",en,Tweet,3,190,57,75,3259,2025-09-19 16:04:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968708079639281759',"For 78 years, brave men and women have taken to the skies to defend our nation and protect the freedoms we hold dear. From here in Alabama to missions around the world, their courage and sacrifice remind us what service truly looks like. 

Happy birthday to the Air Force! https://t.co/QAfNrACSUA",en,Tweet,0,11,0,43,682,2025-09-18 17:05:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1I6q-gXoAIBaVr.jpg
'1968350378652828069',"238 years ago, our Founders signed the framework that protects our God-given rights and limits the power of government. Today, we honor their courage and recommit ourselves to defending liberty for future generations.

Happy Constitution Day! 🇺🇸 https://t.co/AHnmNRSkTW",en,Tweet,0,9,0,10,688,2025-09-17 17:24:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1D8O17W0AY5Dqu.jpg
'1968319809852162476',About to start a @JudiciaryGOP meeting where I plan to get answers for the American people from @FBIDirectorKash on how the FBI was weaponized under the Obama administration to spy on President Trump! https://t.co/jWK52byp2m,en,Tweet,2,92,18,23,4708,2025-09-17 15:23:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1DgbxqW4AAx_bP.jpg
'1968122090789425461',"Coming up on @NewsNation with @LelandVittert at 9:30pm eastern time! 

Tune in! https://t.co/uAe636rXiP",en,Tweet,0,20,1,4,1391,2025-09-17 02:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Asm9-X0AA3M_I.jpg
