tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970562391969542375',"Learn more here:

https://t.co/SAbsF0142m",en,Reply,0,2,0,1,360,2025-09-23 19:54:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://blakemoore.house.gov/media/press-releases/congressman-blake-moore-joins-bipartisan-bill-to-protect-disabled-veterans-access-to-affordable-housing,,
'1970562389000307001',"As the representative of Hill Air Force Base and an active veteran community, improving servicemember housing has been a priority my entire time in Congress. I am proud to introduce the bipartisan Fair Housing for Disabled Veterans Act with my @WaysandMeansGOP colleagues to ensure that our servicemembers and their families are better able to access affordable housing when they return home. Our veterans are more than deserving of affordable housing—especially when they are injured while serving.",en,Tweet,0,4,1,5,530,2025-09-23 19:54:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970515112764051880',I had a great time visiting schools throughout the First District yesterday. Amazing kids! Amazing teachers! It’s always a great day to talk to the next generation and hear their thoughtful questions. https://t.co/cb9mf3oPQ6,en,Tweet,0,7,1,7,466,2025-09-23 16:46:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1itDR-WAAA0dVw.jpg,https://pbs.twimg.com/media/G1itDR7X0AAXFlW.jpg"
'1970152634678972654',"Hiking and biking trails have always been a major component of recreation and community events along the Wasatch Front. Unfortunately, federal red tape has made it impossible for necessary trail maintenance to move forward and for the construction of new trails connecting the existing trail network. I introduced the Fruit Heights Land Conveyance Act with @RepMaloyUtah to allow Fruit Heights to make these improvements and increase recreational access for Utahns. Learn more here:
https://t.co/cBwsTs5oIz",en,Tweet,0,10,0,5,642,2025-09-22 16:46:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969213902165516478',"By making this data more digitally available, outdoor enthusiasts, emergency response personnel, freight and commerce operators, tourists, and many others will experience greater ease navigating open roads and accessing our public lands. Learn more here:
https://t.co/Q52zyOL6jC",en,Reply,0,2,0,3,564,2025-09-20 02:35:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://blakemoore.house.gov/media/press-releases/congressman-blake-moore-introduces-bipartisan-legislation-to-modernize-access-to-public-roads,,
'1969213900110381469',"In a time where the vast majority of us carry a digital map in our pocket, many areas around the country still rely on outdated physical maps that lack standardization and are often inaccessible. I’m excited to introduce the MAP Roads Act, which supports map digitization and continues our efforts to make public records more convenient and organized for the public. ⬇️",en,Tweet,0,1,0,3,889,2025-09-20 02:35:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968763460428153256',"On its 78th birthday, I’m proud that one of the nation’s finest Air Force bases is right here in the First District!",en,Tweet,0,6,0,11,962,2025-09-18 20:46:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968677215593275546',"Congratulations to @RepFedorchak for winning our Vice Chair Freshman Messaging Competition: Get’cha Head In The Game! And to @RepMikeKennedy for placing second and @RepHaridopolos taking third. As a nod to the High School Musical theme, we presented our winners authentic East High swag from the First District!",en,Tweet,0,6,1,2,536,2025-09-18 15:03:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1IlfWBWgAAHxEd.jpg
'1968429830262714757',"To learn more, visit:
https://t.co/YxyOuDxz80",en,Reply,0,4,2,0,435,2025-09-17 22:40:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://blakemoore.house.gov/media/press-releases/congressman-blake-moores-bipartisan-legislation-to-increase-access-to-breakthrough-medical-devices-passes-committee,,
'1968429827595133295',There is no reason that Medicare patients should have to wait to access breakthrough medical devices already cleared by the FDA. This bipartisan legislation ensures patients receive the most advanced treatments on the market as soon as possible. I am proud that my colleagues and I were able to work together to help open the door for enhanced access to medical innovations.,en,Tweet,0,11,3,6,2426,2025-09-17 22:40:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968013968863105278',Calling all students interested in military academy life! Our upcoming Academy Night will be held at the Utah Military Academy in Riverdale on Sept. 24th at 5 p.m. This is an opportunity for interested students and their parents to hear directly from military service academy representatives on the application and nomination process and about life at the academies. You won’t want to miss it!,en,Tweet,0,0,0,2,611,2025-09-16 19:07:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_KRZ_XwAAN7b_.jpg
'1967977157491392609',"Sad to hear of the passing of “The Natural.” He brought notoriety to Utah, and I send my best to his family.",en,Tweet,0,11,0,0,609,2025-09-16 16:41:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967702624255594586',"To learn more and see how the funds will be allocated, visit here:

https://t.co/9SipXQEHXd",en,Reply,0,2,0,0,373,2025-09-15 22:30:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.cms.gov/priorities/rural-health-transformation-rht-program/rural-health-transformation-rht-program,,
'1967702621206310957',"Republicans in Congress are making the single largest investment in rural healthcare in American history with the Rural Health Transformation Fund. 

This $50 billion investment will strengthen rural communities by improving healthcare access, quality, and outcomes. We’re supporting rural health innovations, helping rural providers, and ensuring care for vulnerable populations.",en,Tweet,0,2,0,6,983,2025-09-15 22:30:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
