tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970241095411081391',Great to be with you and provide an update on the America First agenda for farmers and ranchers!,en,Tweet,11,1058,101,174,66660,2025-09-22 22:37:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968797375922606527',"Charlie Kirk’s legacy will endure, calling us to speak truth with courage and stand firm in our faith. https://t.co/Fz9UMPdBeN",en,Tweet,51,3873,538,621,52290,2025-09-18 23:00:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968797298642796547/vid/avc1/640x296/K_6YnUx3SHig4hTe.mp4?tag=21
'1968413602811101480',Fight Like Charlie. https://t.co/yPsAxkS5JI,en,Tweet,40,4092,452,325,62112,2025-09-17 21:35:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1E1vT9bgAERRm4.jpg
'1968351534615507109',"On Constitution Day, we honor the promise our founders made to protect freedom, uphold the rule of law, and preserve the American Dream. 🇺🇸 https://t.co/dvaOl7DLR5",en,Tweet,4,555,86,127,19268,2025-09-17 17:29:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1D9Sc5a8AEzqkO.jpg
'1968043407391199625',"The D.C. Crimes Act cuts through the Leftist policies endangering our nation’s capital and brings back consequences for violent crimes.

Proud to support @RepDonaldsPress and this legislation!",en,Tweet,8,542,97,91,39549,2025-09-16 21:04:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967640253893841041',"Absolutely horrifying. 

A Loveland family trying to honor @charliekirk11 with a peaceful memorial had their property burned and vandalized.

When will this violence stop?",en,Tweet,6,379,80,102,28870,2025-09-15 18:22:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966314134997446933',We will Never Forget.,en,Tweet,4,820,80,133,58057,2025-09-12 02:33:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966256679768699011',"My faith says to speak, which is why I asked on the House floor yesterday for a public prayer for both Charlie Kirk and his family as well as the victims of the Evergreen shooting in Colorado. 

Leaders need to stand up and SPEAK their faith right now. https://t.co/dT8w2IFS6O",en,Tweet,66,6264,829,569,108285,2025-09-11 22:44:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966256626756890625/vid/avc1/884x492/DI4_2LwE7UrvMWE2.mp4?tag=21
'1965889609658937647',THIS is a TURNING POINT! https://t.co/otUTDryWZh,en,Tweet,85,10158,848,458,120890,2025-09-10 22:26:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0g-LkqaMAINvum.jpg
'1965838382325813426',"President Trump was right again!

The BLS reporting was just BS!",en,Tweet,14,511,120,93,39779,2025-09-10 19:02:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965581076480622952',"Horrible laws in Colorado are leading to violent, dangerous people being on our streets.

Weld County Sheriff @stevereams is doing everything he can to keep us safe, but we need changes to our state’s laws NOW!",en,Tweet,5,447,89,80,36232,2025-09-10 02:00:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965502326166479256',"This is what I voted for! 

Glad the Trump Administration is putting American Farmers first. The CCP should not own a single acre of US Farmland.",en,Tweet,15,1509,339,152,40926,2025-09-09 20:47:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
