tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970554041727098883',"I'll save you all the trouble of reading this weird, meandering, lie-filled rant by Trump.

Essentially, he wants to shut down the down the government because he's afraid to negotiate with Democrats who want to ensure your healthcare costs DON'T go up.

Government funding runs out on September 30. At the same time, the American people are facing a Republican health care crisis that is driving up costs.

The Republican spending bill has already failed in the Senate and didn't even get all the Republicans to vote for it. To keep government open and lower costs, we need bipartisan negotiations right now. 

Instead, Republican's have skipped town, Trump has canceled his meetings, and Speaker Johnson has canceled our voting days next week before the shutdown. 

If the government shuts down, Trump and Republicans will have no one to blame but themselves.",en,Tweet,1,17,7,5,3335,2025-09-23 19:21:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jQdNvXUAAhG6l.jpg
'1970266548876034128',"RFK Jr told us not to take medical advice from him.
I’d say that advice applies to Trump as well.",en,Tweet,1,16,6,2,1450,2025-09-23 00:18:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970222044655616478',Read my response to RFK Jr and McMahons irresponsible OpEd here: https://t.co/LGUmymfUmF,en,Reply,0,1,1,0,379,2025-09-22 21:21:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://watsoncoleman.house.gov/imo/media/doc/bwc_wapo_op-ed_response.pdf,,
'1970222041665077607',"In 2019, I chaired a taskforce to examine why suicide was on the rise for certain groups of children and how we could reverse this trend. 

We identified mental health screenings as a solution that increases the likelihood of connecting students with the services that they may need, mental health or otherwise. Screening can identify problems that may not be immediately apparent, but can lead to problems down the road.",en,Reply,0,1,1,1,370,2025-09-22 21:21:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970222039202988069',"Thank  you @RepDean.

RFK Jr and Linda McMahon's disregard of mental health services for our youth is dangerous. 

Young people are 21x more likely to seek care for mental health reasons if they have access to school-based services. Yet McMahon and others are cutting mental health resources for young people.",en,Tweet,0,8,1,1,940,2025-09-22 21:21:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970216530081411205',"Shanah Tovah! Wishing all those celebrating in New Jersey a happy, healthy and sweet new year. https://t.co/yRk32u02aJ",en,Tweet,0,5,1,0,525,2025-09-22 21:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gz3OV7zW0AAR3JL.png
'1970167382938140799',"Unless Congress acts, the tax credits that help working families afford health care will expire. Millions of people will see their premiums soar and many will lose care altogether, including cancer patients and people with chronic diseases.

If Congressional Republicans force these tax credits to expire, everyone – even people who don’t get the tax credits now – will pay higher premiums.

We need Republicans to stop their attacks on health care, extend these critical tax credits, and reverse their disastrous Medicaid cuts.",en,Tweet,1,4,2,2,565,2025-09-22 17:44:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970164929383497805',https://t.co/4PkA9DPEye,zxx,Reply,1,1,2,0,352,2025-09-22 17:34:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nytimes.com/2025/09/22/realestate/trump-fair-housing-laws.html,,
'1970164926741086406',"The Department of Housing and Urban Development (@HUDgov) is ending enforcement of the Fair Housing Act. 

The Trump admin is siding with landlords, lenders, and real estate agents - protecting their ability to discriminate against you, instead of protecting your ability to secure housing.",en,Tweet,2,3,4,2,942,2025-09-22 17:34:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970145116804317415',"Hiding the truth about hunger won't make it go away. It'll just make fighting it harder.

Ending hunger in America can be done but it will take all of us.",en,Tweet,0,9,4,1,930,2025-09-22 16:16:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969808977866178830',"This is blatant politicization of our justice system. A special prosecutor should investigate this immediately.

The job of the presidency requires the capacity to hold and execute the responsibilities of the office. A president this unstable with power is a danger to our democracy, and a threat to every American.

An independent clinical examination and diagnosis should also be conducted.",en,Tweet,0,19,6,4,2622,2025-09-21 18:00:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969544166402376156',"Tom Homan should be fired immediately and charged. Kash Patel should be suspended pending impeachment proceedings, and anyone who aided in this coverup should be held accountable.

Homan’s relationship with GEO Group, who own Delaney Hall in Newark, should be thoroughly investigated, and the facility closed pending that investigation.

The amount of corruption in this administration is endless.",en,Tweet,331,12004,2664,994,477012,2025-09-21 00:28:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
