tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970593262588064161',"Joined @RepMikeKennedy and @RepJeffHurd for a tour of White Mesa Mill, the nation’s only fully licensed uranium processing mill. This site fuels nuclear power plants across the country, a critical part of our all-of-the-above energy strategy, and is now processing rare earth minerals with huge potential for growth.",en,Tweet,0,8,1,2,777,2025-09-23 21:57:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G1jhBM2W8AIMiIH.jpg,https://pbs.twimg.com/media/G1jhBNBWsAAcpoN.jpg,https://pbs.twimg.com/media/G1jhBNIX0AApuLz.jpg"
'1970569759415742466',"Utah is blessed with incredible natural resources. We visited the Intrepid Potash Mine near Moab, where potash is produced for use as fertilizer on farms across America, fueling our agriculture industry and strengthening our nation’s food supply. https://t.co/c8CxyfA1mO",en,Tweet,0,9,0,2,683,2025-09-23 20:23:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1jeY7zWkAAnKqF.jpg,https://pbs.twimg.com/media/G1jeY73WwAAbFwA.jpg,https://pbs.twimg.com/media/G1jeY71XoAATELv.jpg,https://pbs.twimg.com/media/G1jeY7yXkAABWQe.jpg"
'1970556520443056469',"The Direct Seller and Real Estate Agent Harmonization Act protects the flexibility that direct sellers and real estate agents value and helps these industries continue to thrive in Utah and across America.

@RepKiley’s commonsense bill passed @EdWorkforceCmte last week, and I’m proud to be a co-sponsor.",en,Tweet,0,4,0,1,530,2025-09-23 19:31:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G1i_lbsWoAAvXZR.jpg
'1970548755968803084',"This is insane. Every dollar should go toward educating kids - not DEI agendas and woke hiring quotas.

Thank you @EDSecMcMahon and @usedgov for following the money and exposing this student-last waste of taxpayer dollars.",en,Tweet,0,18,4,1,899,2025-09-23 19:00:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970539155726967159',Team Owens was thrilled to help celebrate the ribbon cutting of @mtechutah in Payson. This new campus gives residents of south Utah County greater access to excellent technical education through MTech. https://t.co/u1N63iuYCc,en,Tweet,0,6,1,0,544,2025-09-23 18:22:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1ieNxXXAAArY9t.jpg,https://pbs.twimg.com/media/G1ieNxWXAAAXb8F.jpg"
'1970533608717791653',"I’m proud to co-sponsor @MikeKellyPA’s Improving Seniors’ Timely Access to Care Act of 2025 to modernize and streamline Medicare Advantage’s prior authorization process, so seniors in Utah’s Fourth District and across America can get the care they need without delays. https://t.co/xZZkqIjdH0",en,Tweet,0,5,2,1,520,2025-09-23 17:59:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1i9zUjWoAECL_0.jpg
'1970496972575424931',"It was a pleasure to join my colleagues, @RepMikeKennedy and @RepJeffHurd, in meeting with leaders from the Ute Mountain Tribe in White Mesa. We discussed important education, environmental, and health priorities that are top of mind for the tribe. https://t.co/5zDdo2edIU",en,Tweet,0,8,1,1,498,2025-09-23 15:34:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1icbm7WcAA7MT8.jpg,https://pbs.twimg.com/media/G1icbm9W0AA3Db3.jpg"
'1969132386945548483',"Had a productive visit with leaders from the Union of Orthodox Jewish Congregations of America to discuss @EdWorkforceCmte’s work to root out antisemitism - especially on college campuses, in K-12 classrooms, and in the workplace. https://t.co/Lq0haza52I",en,Tweet,0,6,1,14,16639,2025-09-19 21:12:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OoCBHWsAAgPhZ.jpg
'1969123579221463470',"Great meeting with members of the pharmacy compounding community to discuss their vital role in personalized patient care, especially for those with unique medical needs.

I’ll continue supporting legislation that protects Utah patients and empowers Utah providers. https://t.co/RWbZtwWtgV",en,Tweet,0,3,0,3,598,2025-09-19 20:37:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OkWtWWgAAy_sy.jpg,https://pbs.twimg.com/media/G1OkWtTXIAArZhO.jpg"
'1969109989496406072',"It was a pleasure to meet with @UtahBankers to discuss how strong families and small businesses are the foundation of Utah's economic strength, the importance of innovation in financial services, and working together to support our state's community banks. https://t.co/lr48hDyeSC",en,Tweet,0,4,0,1,547,2025-09-19 19:43:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OifL2WkAE7_Dg.jpg,https://pbs.twimg.com/media/G1OifLwWsAEGo-K.jpg,https://pbs.twimg.com/media/G1OifMQWsAE2ZQS.jpg"
'1969106969714999776',"Last week in Utah, @RepWalberg and I visited the 9/11 Museum in Spanish Fork and met with first responders who were on the ground at the World Trade Center 24 years ago. We also joined the Brent Taylor Foundation at Spanish Fork High School to pay tribute. 

Grateful for the chance to recognize their sacrifice and remind the next generation: we will never forget. 🇺🇸",en,Tweet,0,4,0,1,552,2025-09-19 19:31:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G1OoelMWoAA2LuX.jpg,https://pbs.twimg.com/media/G1OoelJXwAAkWAK.jpg,https://pbs.twimg.com/media/G1OoelMXAAAm1lf.jpg"
'1969089059709403439',"On National POW/MIA Recognition Day, we honor the American heroes who were held as prisoners of war and those still missing in action. Their courage and sacrifice will never be forgotten, and we will never stop fighting to bring them home. 🇺🇸 https://t.co/0feAtgBh1V",en,Tweet,0,16,2,0,714,2025-09-19 18:19:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OcA-mXIAAHVVG.jpg
'1969073264149320049',"Today, we passed @SpeakerJohnson’s resolution honoring the life and legacy of Charlie Kirk, condemning his assassination and all political violence, and calling for the respectful debate Charlie championed.

58 Democrats voted no, 38 voted present, and 22 did not vote at all. https://t.co/eLwoWlQ7y2",en,Tweet,4,34,11,7,2798,2025-09-19 17:17:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ONpbuWsAAlu3p.jpg
'1968762691859718619',Happy 78th birthday to the @usairforce! 🇺🇸,en,Tweet,0,12,0,0,965,2025-09-18 20:42:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968743826719490411',"I appreciated the opportunity to sit down with the @47G_Utah team to talk about our state’s growing role in innovation, technology, and national security. From aerospace to cyber, Utah is shaping the future and strengthening America’s defenses. https://t.co/TBqCgn8lPm",en,Tweet,0,5,0,1,612,2025-09-18 19:28:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EK8cTWEAAch0x.jpg
'1968707084926755312',Met with Pitman Farms and the @natlturkeyfed during their leadership conference in D.C. Proud to stand with Utah’s turkey farmers as they grow their workforce and help keep America fed. Thanks for stopping by! https://t.co/z0OA1M8GId,en,Tweet,0,6,0,0,592,2025-09-18 17:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1ESI7MXIAAenpj.jpg,https://pbs.twimg.com/media/G1ESI7GWEAI8Dfu.jpg"
'1968696515070939652',"Utah is one of the fastest-growing states in the nation, and @AGCofUtah is helping build that future. With 660+ member firms completing 85% of our state’s commercial construction, we talked about how to support this vital industry and continue growing our workforce. https://t.co/VVrMXODCk4",en,Tweet,0,9,1,1,549,2025-09-18 16:20:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1EO_AkWIAAD1RQ.jpg,https://pbs.twimg.com/media/G1EO_AtW4AAxL38.jpg,https://pbs.twimg.com/media/G1EO_AdW4AAHRmH.jpg"
'1968682673624559806',It's always a pleasure spending time with President Gayle Ruzicka and my friends at @UTEagleForum. Thanks for stopping by! https://t.co/o9l3Sv8ekD,en,Tweet,0,5,0,0,527,2025-09-18 15:25:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EKOHkXQAAZ9y4.jpg
'1968428750405579196',"Great visit with @tianetdotorg to discuss nationwide efforts to strengthen logistics and transportation, foster innovation, keep supply chains strong - and how we can support this mission on @TransportGOP. https://t.co/vPSu89JcFa",en,Tweet,0,8,2,1,715,2025-09-17 22:36:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EOMgRWkAETh9i.jpg
'1968409120832380947',"Appreciated meeting with the New Car Dealers of Utah to discuss the future of the auto industry and supporting our small businesses. From creating jobs to advocating for members, these entrepreneurs keep our economy moving, and I’m grateful for all they do. https://t.co/lw3Ze0LGtr",en,Tweet,0,4,1,0,647,2025-09-17 21:18:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1EISruWEAA28LD.jpg,https://pbs.twimg.com/media/G1EISroXUAA7Mgi.jpg"
'1968392259805777986',"Honored to meet with @VFW_Utah for an update on their work for veterans, military families, and communities in Utah's Fourth District and across our country. Grateful for their service, sacrifice, and continued leadership. https://t.co/6goKi1oa5O",en,Tweet,0,8,0,0,671,2025-09-17 20:11:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1EG73zXwAAcBHy.jpg,https://pbs.twimg.com/media/G1EG728WAAA2Zze.jpg"
'1968387981833814491',"Thank you to the @ECEConsortium for stopping by to talk about updates to the Child Care and Development Block Grant Act. Expanding access to quality early childhood education is critical, and it’s our mission at @EdWorkforceCmte to help every child reach their full potential. https://t.co/C0x3AllNiR",en,Tweet,0,5,1,2,767,2025-09-17 19:54:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EDK0BW4AAmxcw.jpg
'1968354077278163320',"Great to sit down with Stadler Rail’s Martin Ritter and Lucy Andres for an update on their Salt Lake City expansion. With 500 jobs in Utah and 300 more on the way, their growth proves our state leads in manufacturing - a success story I’m proud to bring back to @TransportGOP. https://t.co/Gf7BOZVNKi",en,Tweet,0,4,1,0,818,2025-09-17 17:39:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1D-LlWWwAIoHpB.jpg,https://pbs.twimg.com/media/G1D-RGlWwAMu_LD.jpg,https://pbs.twimg.com/media/G1D-RGiWwAU7lN_.jpg"
'1968350012729147533',"From passing the Working Families Tax Cuts to supporting our state's business community on @EdWorkforceCmte and @TransportGOP, I was proud to share a legislative update with 60+ business leaders from the @saltlakechamber. Thanks for all you do to keep Utah’s economy strong! https://t.co/SiW5rZCiLK",en,Tweet,0,6,0,1,583,2025-09-17 17:23:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1D7x6lXEAAVz37.jpg
