tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970590748727779760',"Illinois’ first 24-hour library is officially open in Palos Hills! Congratulations to the Green Hills Public Library District on this amazing news, which will make library materials even more accessible for the community.

https://t.co/RyvKh0upo5",en,Tweet,3,22,3,5,2136,2025-09-23 21:47:00,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.chicagotribune.com/2025/09/20/states-first-24-hour-library-palos-hills/,,
'1970499697610522679',The 2025 Congressional App Challenge application is open! The Congressional App Challenge is open to all middle and high school students in Illinois’ 6th Congressional District. Check out my website to learn more. https://t.co/gnMwYUBRJG https://t.co/B010ZtKjSY,en,Tweet,1,3,1,0,1405,2025-09-23 15:45:12,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://casten.house.gov/congressional-app-challenge,photo,https://pbs.twimg.com/media/G1ifCE2XgAAsJ9e.jpg
'1970210693807796658',"Scientific data should not be political. Halting research and suppressing data collection at the EPA in the name of political gain is detrimental for public health and the environment.

https://t.co/lddhj5bmwE",en,Tweet,1,4,1,2,607,2025-09-22 20:36:48,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.washingtonpost.com/climate-environment/2025/09/20/epa-scientists-research-publications/,,
'1969459544985076141',"Ensuring pilots have access to mental health care makes our skies safer.

Read my op-ed on my bipartisan legislation that recently passed the House of Representatives:
https://t.co/2Y8YMofzWr",en,Tweet,0,6,2,4,601,2025-09-20 18:52:00,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.chicagotribune.com/2025/09/17/opinion-pilots-mental-health-medication-aviators/?share=phitici7nshrienctnwa,,
'1969160072749019459',"Americans have a right to express themselves about government policy. Federal officers should never respond to First Amendment activities with physical force or escalating violence. This does not make our community safer.
https://t.co/X9z3DtCROi",en,Tweet,1,22,10,14,1442,2025-09-19 23:02:01,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://chicago.suntimes.com/live/ice-agent-broadview-facility-protest-today,,
'1969071785480954296',"In Illinois, 1,647,630 people are facing hunger. I met with Downers Grove Area FISH food pantry volunteers and learned about their programs that help feed members of our community. https://t.co/Hf2L3gDWEK",en,Tweet,0,10,1,7,638,2025-09-19 17:11:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OJoJ5W4AAVx9L.jpg
'1968797090206671155',"NEWS: I led all Democratic members of the Illinois Congressional delegation in support of EPA’s Endangerment Finding, which is the legal foundation for regulating greenhouse gas emissions. Read more: https://t.co/9vU3mhQ3pP https://t.co/Mr9eeM1g0R",en,Tweet,1,30,12,11,4304,2025-09-18 22:59:39,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://casten.house.gov/media/press-releases/casten-leads-il-democratic-delegation-in-support-of-epas-endangerment-finding,photo,https://pbs.twimg.com/media/G1KShQRW4AENA5e.jpg
'1968772529192935652',"Calling all middle and high schoolers in IL-06! My office is now accepting applications for the 2025 Congressional App Challenge. Check out my website to learn more. 

https://t.co/gnMwYUBRJG https://t.co/8Wzm8IwSQa",en,Tweet,1,4,2,1,1946,2025-09-18 21:22:03,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://casten.house.gov/congressional-app-challenge,photo,https://pbs.twimg.com/media/G1J8LotWMAAjmex.jpg
'1968719857530073358',"Happy Hispanic Heritage Month! 

Hispanic and Latino communities make IL-06 stronger. Today and every day, let’s celebrate the contributions Hispanic Americans have made to our country. https://t.co/XbTArub4Sk",en,Tweet,0,3,1,0,469,2025-09-18 17:52:45,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1JMRwyWcAY7C3Z.jpg
'1968390727076913374',"If you have imminent travel and are experiencing delays with getting a passport, my office may be able to help. Visit my website for more information:

https://t.co/Osk6GWhD9o https://t.co/UFR8UDZfkx",en,Tweet,2,3,0,3,511,2025-09-17 20:04:54,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://casten.house.gov/services/help-federal-agency,photo,https://pbs.twimg.com/media/G1Eg7yFX0AAFogz.jpg
'1968062018411225278',"This does nothing to make our community safer. The Trump Administration's goal is to stoke fear and cause confusion. Kristi Noem went to Elgin not out of concern for Illinoisans, but because she wanted to make a propaganda video. This is a performative stunt and shameful.
https://t.co/YFlUH8SsZT",en,Tweet,0,96,40,25,4725,2025-09-16 22:18:44,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1968052755496570920',"Last month, I visited 2 Bici Bicycle Shop in Willow Springs. I enjoyed hearing about their local business and the neighboring I&amp;M Canal Bike Trail. https://t.co/wvyGsKB8kB",en,Tweet,1,11,1,1,1982,2025-09-16 21:41:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_rSvHXQAAEWhZ.jpg
'1967963042156540131',"Administrator Zeldin has recklessly slashed hundreds of EPA grants that keep our air and water clean. The loss of these critical grants will undoubtedly accelerate the effects of climate change.

https://t.co/v07uxZ2YKI",en,Tweet,0,7,4,4,518,2025-09-16 15:45:26,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.politico.com/news/2025/09/15/grant-terminations-force-non-profits-to-reconsider-government-help-00545381,,
'1966537794139934734',"Know someone in our community who goes above and beyond to help others? Nominate them for my Constituent Spotlight Program.
Learn more here: https://t.co/zyX1EH5gCZ",en,Tweet,0,8,3,0,2428,2025-09-12 17:22:01,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://casten.house.gov/constituent-spotlight?fbclid=IwY2xjawMuiRtleHRuA2FlbQIxMQBicmlkETFCSkphSmcxdnFXbG8waHlGAR5Zwr2oVAc1EhZguxieLO3FMv5zRXlvFEEExW5kzZV7KXDUt1cqe42oOK5R-g_aem_KA3wveXmjexSBFLJMZsDOA,,
'1966482929640431934',"In this week's Financial Services Committee hearing, I discussed how shareholder proposals are an important mechanism for promoting good governance, corporate accountability, and transparency at public companies. https://t.co/8NPB0guxLz",en,Tweet,0,11,5,5,2056,2025-09-12 13:44:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1966239495415570432/vid/avc1/640x360/aAZrwDetkMGfUcqJ.mp4?tag=21
'1966239448909119843',"ICYMI: Earlier this week, my bipartisan Mental Health in Aviation Act passed the House! 

This bill makes our skies safer by expanding access to mental health care for pilots and air traffic controllers. https://t.co/6v17BJc1nu",en,Tweet,106,1534,62,10,544942,2025-09-11 21:36:30,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1966239048466391040/vid/avc1/1280x720/J7ZLo2vmFblBQTz8.mp4?tag=21
'1966160778488103152',"On the 24th anniversary of the September 11th attacks, we remember the 2,977 Americans who lost their lives and honor the bravery of first responders who answered the call.
We will never forget.",en,Tweet,0,8,3,2,810,2025-09-11 16:23:53,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1966135942843908157',"If you need help with a federal agency, our office may be able to help. Check out my website to learn more. https://t.co/Osk6GWhD9o",en,Tweet,0,9,3,2,789,2025-09-11 14:45:12,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://casten.house.gov/services/help-federal-agency,,
'1965879749319741596',Political violence of any kind is unacceptable. This has to stop.,en,Tweet,0,24,4,21,1745,2025-09-10 21:47:11,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1965843765626552539',"Gaps in FMLA coverage for janitorial staff, food service workers, bus drivers, clerical support staff, and other public school employees mean that the people we rely on to support our students can be unfairly forced to choose between caring for their families and keeping their jobs. I teamed up with Senator Duckworth to introduce the ESP, Paraprofessional, and Education Support Staff Family Leave Act to expand FMLA coverage for education support professionals. Read more:
https://t.co/u13r3k7GeF",en,Tweet,1,6,2,2,704,2025-09-10 19:24:11,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,"https://pbs.twimg.com/media/G0gUfJBWsAAdpGU.jpg,https://pbs.twimg.com/media/G0gUfEeXoAA_rXq.jpg"
'1965538780242149671',"The goal of President Trump’s “Operation Midway Blitz” isn't to reduce violence; it's to use authoritarian tactics to intimidate and bully Chicagoland communities. If this Administration truly cared about safety, it would stop illegally seizing federal funds from proven crime prevention programs.

Illinoisans don’t want masked, unidentified federal agents, including ICE, on our streets. That’s why I cosponsor the No Secret Police Act—to require officers to show ID and ban the use of homemade, non-tactical masks. I also joined Democrats in the Illinois delegation in demanding that President Donald Trump and the Pentagon suspend plans for deploying military personnel to Chicago.

Hate has no home in Illinois.",en,Tweet,1,15,4,17,1261,2025-09-09 23:12:17,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1965418790520234431',Know your rights if you have an encounter with federal agents: https://t.co/bHyrJ9YwIi,en,Tweet,0,8,3,3,580,2025-09-09 15:15:30,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://casten.house.gov/know-your-rights-2025,,
