tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970625726195056989',"A team @UofNH has been working on a NASA mission that is scheduled to launch into space on Wednesday.

Learn more about it below.

https://t.co/rM2WbydQ3k",en,Tweet,0,5,0,1,309,2025-09-24 00:06:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.bostonglobe.com/2025/09/23/metro/nh-nasa-space-mission-launch/?et_rid=262761455&s_campaign=NH:newsletter,,
'1970612388337443103',"The Congressional App Challenge is a competition to encourage Science, Technology, Engineering, and Math (STEM) in New Hampshire, and lets our students show their innovation and creativity!

#NH01 middle and high school students can apply. Learn more: https://t.co/0BnM4whcxR https://t.co/9J2Dxjdt20",en,Tweet,0,2,0,2,374,2025-09-23 23:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#NH01,https://pappas.house.gov/services/resources-for-students/congressional-app-challenge,photo,https://pbs.twimg.com/media/G1jzJe3WwAAwrVA.jpg
'1970587582573552051',"This year’s report once again shows that the Portsmouth Naval Shipyard is a pillar of our economy, communities, and national security.

I’ll always support the critical work being done there and the dedicated individuals who work to advance its mission.

https://t.co/YhHCrZq5HK",en,Tweet,0,2,0,1,319,2025-09-23 21:34:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.seacoastonline.com/story/news/local/2025/09/10/portsmouth-naval-shipyard-economic-impact-payroll-cities-towns-nh-maine-mass/85894452007/,,
'1970572322529780026',"I’m helping introduce three pieces of legislation to cut red tape for rural health clinics to deliver care and expand services for mental health and substance use disorder.

These bills are common sense and will deliver real reforms that our rural communities need.

Read more: https://t.co/LXLyRrTIX3",en,Tweet,0,3,1,1,399,2025-09-23 20:33:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jhFT4WoAAiLH_.jpg
'1970559104771867023',"I have heard from so many constituents who will struggle to put food on their tables without their full SNAP benefits.

It's a betrayal of working families for Republicans to take away food from families so they can give tax breaks to billionaires.

https://t.co/JDaOdH4U68",en,Tweet,0,1,1,1,293,2025-09-23 19:41:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.fosters.com/story/news/local/2025/09/11/nh-residents-snap-food-stamp-cuts-trump-beautiful-bill/85989872007/,,
'1970221793433862388',"To all those marking the beginning of #RoshHashanah tonight in New Hampshire and throughout the world: L’Shanah Tovah!

Wishing you a sweet, safe, and prosperous new year.",en,Tweet,0,6,1,4,559,2025-09-22 21:20:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#RoshHashanah,,,
'1970191898921836653',"GEAR UP NH serves over 4,000 students and helps prepare them to enter and succeed in post-secondary education.

That’s why I’m fighting for the restoration of this program’s funding which the Trump Administration canceled last week.

Read more: https://t.co/8XlLFHrJGF",en,Tweet,0,1,1,0,361,2025-09-22 19:22:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://pappas.house.gov/media/press-releases/nh-delegation-calls-on-department-of-education-to-restore-funding-for-program-that-helps-students-thrive-after-high-school,,
'1969579059194531865',"I am closely watching the events in Nashua as the situation develops, and my thoughts are with all those involved. 

Thank you to local law enforcement and first responders who are on the scene.",en,Tweet,0,12,3,4,3480,2025-09-21 02:46:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969509468992901396',"14 years ago, “Don’t Ask, Don’t Tell” was repealed - a critical step toward equality for LGBTQ+ service members.

The trauma of these policies isn't over, and neither is the fight. We must ensure that those unfairly discharged get the benefits they earned and that those who want to serve can.",en,Tweet,0,4,1,1,623,2025-09-20 22:10:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969195098412872168',"This week House Republicans pushed through government funding legislation that will cause health care costs to skyrocket as well as a procedural measure that blocks Congress’s ability to push back against President Trump’s chaotic tariffs.

Learn more. ⬇️ https://t.co/OiTc6M5W8q",en,Tweet,0,5,0,4,387,2025-09-20 01:21:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969194263855415296/vid/avc1/810x1440/YFz1a3TGBHfsbTHA.mp4?tag=21
'1969095561006502090',"Today the Republican majority in Congress abandoned bipartisanship and brought to the floor a highly partisan continuing resolution that fails to meet the needs of New Hampshire.

Read my full statement below. https://t.co/tZVTN6TO6I",en,Tweet,0,5,1,3,492,2025-09-19 18:45:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Oh-a7WcAAUH8n.jpg
'1969022603382636969',"On National POW/MIA Recognition Day and every day, we honor our U.S. service members who are Prisoners of War, Missing in Action, or otherwise unaccounted for.

We will not forget them or their sacrifice for our nation. https://t.co/oWNfiOGnfn",en,Tweet,0,2,1,1,313,2025-09-19 13:55:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1NfjxIW8AEpMNF.jpg
'1968787988516888936',"35,000 veterans received letters from the Department of Veterans Affairs wrongly indicating that they are facing foreclosure, causing distress, confusion, and financial hardship for our veterans and their families.

I’m demanding answers and accountability.

https://t.co/AQpYhGJwFF",en,Tweet,1,10,4,5,2088,2025-09-18 22:23:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968760281602928721',"I met with leaders and members of @NHAutoDealers to discuss supporting our businesses and consumers.

Thanks for stopping by! https://t.co/2bfuAPvRCe",en,Tweet,0,0,0,0,329,2025-09-18 20:33:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Jw_ZPWMAEmLP4.jpg
'1968747109076578685',"If Republicans refuse to extend the ACA’s premium tax credits before September 30, another 4 million more Americans will lose coverage, 22 million people’s premiums will rise by 75% next year, and health costs will rise for families across the board.

Congress must act. https://t.co/MaJEIdWU5D",en,Tweet,0,1,2,4,543,2025-09-18 19:41:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Jj5OfXsAIgU8C.png
'1968691424729133542',"House Republicans continue to engage in a partisan process that is driving us towards a shutdown and threatens the well-being of thousands of New Hampshire active duty and reserve personnel who would be forced to work without pay in the event of a government shutdown.

I helped introduce legislation that guarantees they would never miss a paycheck, no matter what happens in Washington.

Read more: https://t.co/AZoB0bInZf",en,Tweet,0,1,1,2,345,2025-09-18 15:59:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968670703567118426',"Happy 78th birthday to the @usairforce!

On September 18, 1947, the Air Force was officially established as a branch of the U.S. military. Thank you to all the men and women who have served our country over these years, protecting our skies and way of life.",en,Tweet,0,1,0,1,379,2025-09-18 14:37:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968409538610020600',"My office had a wonderful Pop-Up Passport Fair at Pope Memorial Library in North Conway today!

70 Granite Staters got help with their passport applications and renewals. Thank you to the staff of the National Passport Center! https://t.co/gA76OY2hJn",en,Tweet,0,0,0,0,325,2025-09-17 21:19:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1EyBbSXYAAUGY0.jpg,https://pbs.twimg.com/media/G1EyCEjWAAA5_Xf.jpg"
'1968391533553402281',"Thank you to leaders of New Hampshire Community Action Programs for stopping by today and for all they do for our communities and children, including Head Start and early childhood education programs! https://t.co/SiE33IXKdb",en,Tweet,0,3,0,0,698,2025-09-17 20:08:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EhqLgXIAAS2qC.jpg
'1968356239781544324',Read more: https://t.co/9lqpDjzzru,en,Reply,0,0,1,0,208,2025-09-17 17:47:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://pappas.house.gov/media/press-releases/pappas-helps-pass-legislation-to-fund-critical-small-business-rd-programs,,
'1968356237407580332',"I support SBIR and STTR because I’ve seen first-hand the positive impact they have on our small businesses and America’s global competitiveness.

Efforts to gut these programs could not be more misguided or detrimental to our small businesses and national security. https://t.co/7Dp8ljLLkg",en,Tweet,0,3,0,1,282,2025-09-17 17:47:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EBiT1XUAA152z.jpg
'1968078834655539308',"House Republicans just released their funding legislation. Here’s one thing you should know:

It does not include any extension for the Affordable Care Act’s premium tax credits, which are set to expire at the end of this year. 22 million Americans will see higher premiums if nothing is done.",en,Tweet,0,12,2,9,887,2025-09-16 23:25:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968077485091794944/vid/avc1/810x1440/wfjKhvnE7CWXYqZj.mp4?tag=21
'1968064888980541535',There are 5 spots left at tomorrow's Pop-Up Passport Fair!,en,Tweet,0,0,0,0,501,2025-09-16 22:30:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968054963625693187',"It’s National Truck Driver Appreciation Week!

Thank you to all our truckers in New Hampshire and across the country who deliver products and goods for us every day and keep our economy moving. #NTDAW25 #ThankATrucker",en,Tweet,0,5,1,1,629,2025-09-16 21:50:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#NTDAW25,#ThankATrucker",,,
'1968028484959343027',Read more: https://t.co/BVBNzopLex,en,Reply,0,0,0,0,242,2025-09-16 20:05:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://newhampshirebulletin.com/2025/09/15/in-new-hampshire-families-who-rely-on-snap-may-go-hungry-others-will-be-affected-too/,,
'1968028482606399543',"SNAP helps working families put food on the table, hungry kids get a meal, and supports our farmers.

Devastating cuts to this food assistance program are hurting Granite State parents, children, and farms. I’ll continue working to stop these cuts and support programs that help families make ends meet.",en,Tweet,0,0,1,3,363,2025-09-16 20:05:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_XbXiXAAEoBbl.jpg
'1967998339519287579',"President Trump’s tariffs are a national sales tax on the American people - raising prices for families &amp; leaving less money in your pocket.

House Republicans are trying to block our efforts to push back against this wrongheaded policy. I'm voting no.
https://t.co/MRGf2IT802",en,Tweet,1,12,8,3,699,2025-09-16 18:05:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.politico.com/live-updates/2025/09/15/congress/house-gop-to-extend-block-on-tariff-votes-00565091,,
'1967949893961732440',"Last week I met with Granite Staters representing the @NHWomensFndn!

Thank you for everything you do for women and girls across New Hampshire, from fighting for reproductive rights to demanding equality and representation in all areas of life. I stand with you in this fight. https://t.co/fBevr2zXbH",en,Tweet,0,4,2,4,566,2025-09-16 14:53:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-P_fvW0AALrRX.jpg
'1967656650795634832',"It is always great to meet with New Hampshire’s local Veterans of Foreign Wars representatives.

I’m proud to fight for our veterans on the House Veterans Affairs Committee and will continue working to get things done for all who have served. https://t.co/SEKGWwyApx",en,Tweet,0,1,0,1,395,2025-09-15 19:27:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06FQz9XcAAZFVG.jpg
'1966534182684832209',".@USDA’s drastic reorganization will close Northeast offices and take critical support away from our farmers and families on food assistance.

My colleagues and I are demanding answers, transparency, and for this plan to not move forward.

https://t.co/bV9zkTvgzv https://t.co/1hSTOrFyGf",en,Tweet,0,3,0,0,423,2025-09-12 17:07:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://manchester.inklink.news/pappas-goodlander-blast-usda-reorganization-for-impact-on-new-england/,photo,https://pbs.twimg.com/media/G0qIaX1WkAEn5wi.jpg
'1966105944980324740',"Today marks 24 years since the terrorist attacks of September 11th, 2001.

It’s up to all of us to never forget the horrors of that dark day, honor the memories of those lost in the attacks, and continue working to unite our country around our shared ideals. https://t.co/yEN1tstFIk",en,Tweet,0,3,1,0,471,2025-09-11 12:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0hEaaAWMAArtaY.jpg
'1965890879090208857',"There is no place for political violence in America. Ever.

Today’s horrific shooting is repulsive and must be repudiated by everyone who loves our country and our free and open society. My prayers and sincere condolences are with the family of Charlie Kirk.",en,Tweet,0,19,4,7,1999,2025-09-10 22:31:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965856477907972319',"UPCOMING IN NORTH CONWAY: A Pop-Up Passport Fair on Wednesday, September 17th.

To schedule an appointment or learn more ➡️ https://t.co/PCkAmwlnnA https://t.co/YCfpfGUUEg",en,Tweet,0,1,2,0,1325,2025-09-10 20:14:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://pappas.house.gov/passport,photo,https://pbs.twimg.com/media/G0ggC9jXYAApzL4.jpg
'1965836566862921817',"Today I joined a discussion on the importance of the Small Business Innovation Research and Small Business Technology Transfer programs for our small businesses, new research and development, and economy, but also for our national security and global competitiveness.

I’ll continue to support these programs and stand against proposals that would drastically cut their funding. I remain committed to ensuring that our small businesses have the support and access to resources to help develop the technologies of the future.",en,Tweet,0,1,0,3,469,2025-09-10 18:55:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0gN7gTWoAAZ3GM.jpg,https://pbs.twimg.com/media/G0gN8EFWMAAffsu.jpg"
'1965528577740603721',Read more: https://t.co/xc3P5J11XZ,en,Reply,0,0,1,0,273,2025-09-09 22:31:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://pappas.house.gov/media/press-releases/pappas-secures-provisions-in-funding-legislation-to-permanently-halt-consolidation-of-usps-processing-and-distribution-centers,,
'1965528575500845087',"By preventing harmful facility downsizing and enhancing service, these bipartisan measures will safeguard mail service for communities across New Hampshire.

I’ll continue to support efforts that strengthen transparency, protect our postal workers, and improve mail service. https://t.co/FQeqAbqywL",en,Tweet,0,1,2,7,422,2025-09-09 22:31:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0b1v3PWIAARVb3.jpg
'1965481423185563791',Read more: https://t.co/esNXphMiT1,en,Reply,0,0,0,0,233,2025-09-09 19:24:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://pappas.house.gov/media/press-releases/pappas-bill-will-protect-critical-american-infrastructure-from-foreign-purchase,,
'1965481373151666303',"New Hampshire must remain vigilant in protecting infrastructure from foreign interference by adversaries like China.

My legislation is a common-sense, bipartisan step that will help safeguard our infrastructure from those who may wish to do us harm. https://t.co/PPvSDMKpRX",en,Tweet,0,2,0,4,334,2025-09-09 19:24:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0bK1wjX0AA96nC.jpg
'1965410002933547506',"One of our most pressing challenges in New Hampshire is the nursing shortage.

I was glad to support the opening of Grappone Hall, so Saint Anselm and the Jean School of Nursing can continue to train the next generation of skilled nurses.

https://t.co/3xZdL1G3fm",en,Tweet,0,1,0,2,355,2025-09-09 14:40:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.unionleader.com/news/health/saint-anselm-dedicates-40-million-nursing-school/article_7fde191b-cda8-4635-9e37-9f2c5dd459dc.html,,
'1965153033689727393',"The Suicide and Crisis Lifeline is free, confidential, and available 24/7 for anyone needing support or experiencing a mental health or substance-related crisis.

Don’t hesitate to call or text 9-8-8 for help if you or someone you know is ever in need. #988Day https://t.co/HN23VEtxzP",en,Tweet,0,0,0,0,301,2025-09-08 21:39:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#988Day,,photo,https://pbs.twimg.com/media/G0WgRNgWQAARzOt.jpg
'1965141617041703175',"With the bipartisan infrastructure law, we created a program to connect communities in need to high-speed internet.

Now, the Trump administration is making changes to the program that will hurt its effectiveness and delivery. I joined the delegation in urging @CommerceGov to reverse course.

➡️https://t.co/Hzkem5YUBG",en,Tweet,0,3,1,7,491,2025-09-08 20:54:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0WV2aVWcAA1jZB.jpg
'1964811667067326794',"UPCOMING IN NORTH CONWAY: My office is holding a Pop-Up Passport Fair in North Conway on Wednesday, September 17th.

To schedule an appointment or learn more ➡️ https://t.co/PCkAmwkPy2 https://t.co/clxpZ4M16f",en,Tweet,0,3,1,3,441,2025-09-07 23:03:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://pappas.house.gov/passport,photo,https://pbs.twimg.com/media/G0G7SIlWoAAyApP.jpg
'1964745983545274375',"This economy is becoming unbearable for many New Hampshire families, from the cost of groceries, to cars, to child care. I’ll continue working to lower costs and fighting back against this Administration’s actions that are increasing prices.

Watch more. ⬇️ https://t.co/WRTLUjDTmd",en,Tweet,0,5,3,7,506,2025-09-07 18:42:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1964056496175538176/vid/avc1/720x720/MXM-OOgF73dY_qqd.mp4?tag=21
'1964327735028797623',"I was thrilled to join the ribbon cutting ceremony for Grappone Hall at St. Anselm’s Jean School of Nursing and Health Sciences.

I worked with St. Anselm to help secure federal funding for this project, and I look forward to seeing this facility help train the next generation of skilled nurses.",en,Tweet,0,9,2,5,528,2025-09-06 15:00:02,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G0G56o1XQAAtRFr.jpg,https://pbs.twimg.com/media/G0G57SyXgAAdl32.jpg,https://pbs.twimg.com/media/G0G58BQW0AEe2j_.jpg,https://pbs.twimg.com/media/G0G58yFWMAANlUr.jpg"
'1964089910761054674',"The Thunder Over New Hampshire show is this weekend at Pease. It’s a reminder to thank our military community and veterans in New Hampshire and celebrate what it means to be an American.

Learn more about the show and what it means to our veterans below.

https://t.co/Kw6y7O5tgM",en,Tweet,0,0,0,2,549,2025-09-05 23:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.fosters.com/story/lifestyle/features/2025/09/04/thunder-over-nh-air-show-seacoast-veterans-blue-angels-pease-maxine-graves/85953184007/,,
'1964054328693707126',"This week I:
🩺Introduced legislation to fight back against this Administration’s attacks on health care
🖊️Signed a discharge petition that would force a vote on the Epstein files
👮Helped the House pass my legislation to combat foreign drug trafficking

Watch below to learn more.",en,Tweet,0,2,0,1,293,2025-09-05 20:53:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1964054125051535360/vid/avc1/810x1440/NlctWIlX_ou8UmlP.mp4?tag=21
'1963978614292041915',"We know PFAS is harmful to people’s health and that families in Londonderry have contaminated water.

I’m calling on @EPA to take action to connect these households to the municipal water system so that they can access safe, clean water, which everyone deserves.

Read more: https://t.co/KF4gBRiIb5",en,Tweet,1,3,2,2,439,2025-09-05 15:52:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0F0IDtXMAAdLWD.jpg
'1963706886764540375',It was great to join @NECouncil today to discuss how actions in Washington are impacting our economy and communities in New Hampshire.,en,Tweet,0,5,1,1,753,2025-09-04 21:53:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963681598261616897',"URGENT: The Trump administration is ending the IRS’s Direct File program, despite evidence showing that Direct File saved the average user $160 in return fees and hours of effort in preparing their return.

If you used Direct File, fill out their survey to let them know.",en,Tweet,0,2,0,3,852,2025-09-04 20:12:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963620587118506165',"I’m hearing directly from parents and educators in NH about how this administration’s program cuts and chaotic tariffs are increasing costs as kids head back to school.

This is the opposite of what families need. I’ll keep working to lower costs.

https://t.co/E2IIIVJTwo",en,Tweet,0,4,3,5,845,2025-09-04 16:10:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.wmur.com/article/new-hampshire-rising-costs-school-81925/65824121,,
'1963383876056662339',"NEW: My office is holding a Pop-Up Passport Fair in North Conway on Wednesday, September 17th.

To schedule an appointment or learn more ➡️ https://t.co/PCkAmwkPy2 https://t.co/l2juAvZI9S",en,Tweet,0,1,0,1,349,2025-09-04 00:29:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://pappas.house.gov/passport,photo,https://pbs.twimg.com/media/Gz9XOd1WwAAYWBQ.jpg
'1963317577536737769',Read more ➡️ https://t.co/p6DJvfyy53,en,Reply,0,0,0,0,245,2025-09-03 20:06:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://pappas.house.gov/media/press-releases/pappas-introduces-the-protect-patients-from-costly-care-act,,
'1963317575598612686',"President Trump and Republicans in Congress didn’t just cut Medicaid, forcing providers to close and kicking millions off their health care. They are also forcing Medicaid patients to pay a ‘sick tax’ and helping Big Pharma evade accountability.

I introduced legislation to repeal these provisions.",en,Tweet,0,1,0,5,365,2025-09-03 20:06:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gz8a3ogWwAArAg5.jpg
'1963235152760287328',"The House passed my bipartisan legislation to crack down on foreign drug trafficking and sanction Chinese suppliers of key fentanyl ingredients last night.

Fentanyl overdoses continue to kill tens of thousands of Americans every year. We must do more.

Read more ➡️https://t.co/jCkPiEKGjf",en,Tweet,0,4,0,3,462,2025-09-03 14:38:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963036343052779795',"Signed onto this discharge petition tonight. 

The Administration’s refusal to release these files publicly is unacceptable. Speaker Johnson must do what is right and bring this legislation to the floor for a vote.",en,Tweet,0,35,9,10,2250,2025-09-03 01:28:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1962935360708550950',"I’m headed back to DC - and taking the stories I've heard from families, small businesses, and seniors with me.

Here’s what I’ve been up to. ⬇️ https://t.co/3WnImW8lSN",en,Tweet,0,7,2,2,449,2025-09-02 18:47:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1962935206865694720/vid/avc1/1080x1920/DrXXIs82VGg4MPKn.mp4?tag=21
