tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970592673422864584',"Inflation is going up, but Trump doesn’t know it. He’s surrounded by “yes men”.

I wonder whether he even understands what’s reality anymore? 🤷",en,Tweet,0,7,1,2,617,2025-09-23 21:54:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970591443057045793',"With this FTC termination decision, the US Supreme Court adds to Trump’s imperial presidency AGAIN. In the future, Congress will need to retake our authority aggressively to stop this unchecked executive branch. https://t.co/UsYBbz7EaC",en,Tweet,0,6,3,2,603,2025-09-23 21:49:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.washingtonpost.com/politics/2025/09/22/trump-supreme-court-ftc-firing-slaughter/,,
'1970583159243715021',"ICYMI: The Trump Admin’s decision to dismantle the Office of English Language Acquisition is a direct attack on English language learners across the country.

I joined @HouseDemocrats in urging them to protect English language learners, not abandon them.
https://t.co/V2r656hrkQ",en,Tweet,0,6,1,1,762,2025-09-23 21:16:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.wusf.org/education/2025-09-16/congressional-democrats-urge-trump-administration-to-protect-english-learners,,
'1970550259362492448',"We met with the @tianetdotorg to discuss including fraud in the supply chain and Trump’s harmful tariffs.

I am happy to express support for the many third-party logistics professionals who live in our district and beyond. https://t.co/le7pqEL8xm",en,Tweet,0,3,0,1,352,2025-09-23 19:06:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jNA3MW0AAFGMr.jpg
'1970533263480434694',"Trump refuses to meet with Democrats despite needing our votes in the Senate for the budget.

We are fighting to stop a HUGE HEALTHCARE HIKE of 75% or more on Obamacare plans before Nov 1 deadline. 📈",en,Tweet,0,5,3,1,1050,2025-09-23 17:58:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970507471597817977',"Trump’s gives his classic Fantasyland speech to the UN. This fools no one.

Meanwhile, back in reality his economy is crashing. So is his support.",en,Tweet,30,905,200,68,61163,2025-09-23 16:16:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970494540701409655',Read more here: https://t.co/sXNG0XyLMd,en,Reply,0,0,0,0,253,2025-09-23 15:24:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://floridapolitics.com/archives/757349-aif-poll-finds-resounding-support-for-health-care-tax-credits/,,
'1970494413462978626',"Save Obamacare! Sky high bipartisan support in Florida for extending premium tax credits.

Add it to the budget (CR) by 9/30 and stop a HUGE HEALTHCARE HIKE!!! https://t.co/BiTaVBQ9Dw",en,Tweet,0,4,3,2,738,2025-09-23 15:24:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iaOXJXIAAQbJ_.jpg
'1970474940068692151',"As we continue pushing forward with innovation &amp; automotives, it is critical that we keep AM radio alive. 

In times of severe weather, Central Floridians have relied time and time again on this tool to get up-to-date alerts. Proud to work on this issue in @EnergyCommerce. https://t.co/09vPkXU2xp",en,Tweet,1,5,1,1,307,2025-09-23 14:06:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970474723701129216/vid/avc1/720x1280/DxD5GYvGt3HRo2eU.mp4?tag=21
'1970290166913740810',"Shanah Tovah! Wishing all who celebrate a happy new year filled with health, unity, and renewal. 

Rosh Hashanah gives us time to reflect and embrace the year ahead with hope. https://t.co/cf0VvEavlP",en,Tweet,0,2,0,0,418,2025-09-23 01:52:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fgdobXcAABlvk.jpg
'1970219733724119081',UPDATE: Looks like @JimmyKimmelLive will be back on the air! 📺 👍🏽,en,Tweet,0,6,2,2,668,2025-09-22 21:12:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970213978228826393',"Colbert = CANCELED❌
Kimmel = CANCELED❌

This is a direct attack on the First Amendment just because Trump doesn't like what they have to say. In @EnergyCommerce, we're calling for an FCC oversight hearing to review this extortion by the Trump Admin &amp; Corrupt Carr. https://t.co/NbldiJdmiS",en,Tweet,0,6,1,4,1063,2025-09-22 20:49:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970213869839593472/vid/avc1/1080x1920/moVoPO5wCvy_ydyp.mp4?tag=21
'1970184444863451171',Congrats to ⁦@UCF for achieving⁩ 'preeminent' university status! We’re particularly grateful for your tremendous progress on graduation rates and new funding that may now be available. Go #SpaceU! 🚀  https://t.co/QCH2mY242Z,en,Tweet,1,2,0,0,416,2025-09-22 18:52:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#SpaceU,https://www.orlandosentinel.com/2025/09/22/ucf-earns-preeminent-status-and-should-be-in-line-for-more-state-money/,,
'1970150789512311175',".@TheJusticeDept works for the American people, not Trump. They are protected by law from his political retribution.

But will they stand up to him?",en,Tweet,0,5,2,3,677,2025-09-22 16:38:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970148015240569185',"Trump Family gets richer. The American people get poorer.

Are you paying attention yet?",en,Tweet,45,1837,388,59,51154,2025-09-22 16:27:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970147254905217360',"More corruption at Trump Administration! ICE Crony Homan caught taking $50,000 bag of cash from FBI. 💰 💰 💰 

How is he still working there???",en,Tweet,0,6,0,2,470,2025-09-22 16:24:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970111691619700752',"We had an incredible day on Capitol Hill with @The_USO!

Honored to join them in assembling 2,000 care packages for our deployed service members—offering them a meaningful connection to home while they serve far from their families. Thank you for defending our freedom. 🇺🇸 https://t.co/T7YEmfMqtK",en,Tweet,0,2,1,1,378,2025-09-22 14:03:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1c-EoxXkAA4NJ5.jpg,https://pbs.twimg.com/media/G1c-HrcXIAA4nEf.jpg,https://pbs.twimg.com/media/G1c-I1GXAAABB22.jpg"
'1969825275648344276',"Data centers increase demand for electricity. Trump cancels new wind and solar. His tariffs slow down other projects.

Remember when he said he would lower energy prices?",en,Tweet,0,5,0,4,733,2025-09-21 19:05:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969804464409448907',"Trump’s tariffs are killing manufacturing. It’s been declining for 6 months straight. 

Every real expert told him this wouldn’t work. He did it anyway…",en,Tweet,0,7,5,4,1085,2025-09-21 17:42:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969747417265533100',More art! ⬇️ https://t.co/QuN62EB7Cq,en,Reply,0,5,1,1,256,2025-09-21 13:55:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Xy1LtXkAAlTn2.jpg,https://pbs.twimg.com/media/G1Xy1LtWcAA9xH8.jpg,https://pbs.twimg.com/media/G1Xy1LwXUAA3tmV.jpg"
'1969747107663020145',More art! ⬇️ https://t.co/wY9upIg6Pl,en,Reply,0,3,1,1,252,2025-09-21 13:54:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Xyi7nXwAIA_TP.jpg,https://pbs.twimg.com/media/G1Xyi7mWIAAv2Ws.jpg,https://pbs.twimg.com/media/G1Xyi7nXUAAbdvM.jpg,https://pbs.twimg.com/media/G1Xyi7rXEAAn-R5.jpg"
'1969746906327711827',"At the @CHCI 48th Annual Awards Gala, we had the honor to recognize Pedro Brull, an award-winning Puerto Rican artist and his “Diaspora Boricua”: A Florida Rican Art Movement.

His group beautifully captures Puerto Rican culture and the Florida diaspora. 🇺🇸 🇵🇷 https://t.co/cvlk1o1R66",en,Tweet,0,5,2,1,512,2025-09-21 13:53:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1XyXYkXgAA5cMF.jpg,https://pbs.twimg.com/media/G1XyXYwWUAAZvxM.jpg,https://pbs.twimg.com/media/G1XyXYeWMAA9FlJ.jpg,https://pbs.twimg.com/media/G1XyXYeWAAAyf2F.jpg"
'1969399890686906509',"Trump’s economy is tanking because of tariffs, corruption and mass deportations.

His solution: Hide the numbers.",en,Tweet,3,85,42,5,12045,2025-09-20 14:54:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969388075915571340',"@PastorsSalguero In addition, we recognized former U.S. Dept. of Education Secretary Miguel Cardona &amp; Merengue King @ElvisCrespo. A big thank you to Elvis for bringing down the house with an unforgettable performance of Suavemente &amp; more!

We are proud to celebrate our culture &amp; our future. (3/3) https://t.co/JqHZBHvTfI",en,Reply,0,3,1,1,271,2025-09-20 14:08:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1SsBB_XAAAVE53.jpg,https://pbs.twimg.com/media/G1SsBCHXUAAtBmT.jpg,https://pbs.twimg.com/media/G1SsBCEWoAA5SVs.jpg"
'1969386922616201349',"We were thrilled to recognize Pedro Brull, an award-winning Florida Rican artist of Diaspora Boricua from St. Cloud. We also are grateful for the invocation by @PastorsSalguero from South Orlando. (2/3) https://t.co/w9qoBAy57H",en,Reply,0,1,1,1,322,2025-09-20 14:03:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Sq9p-WEAAJLgG.jpg,https://pbs.twimg.com/media/G1Sq9p_XoAEbNaf.jpg,https://pbs.twimg.com/media/G1Sq9qDXwAAKgcO.jpg,https://pbs.twimg.com/media/G1Sq9qDXkAAfV4E.jpg"
'1969386394255610030',"This week I had the honor as Chair to host the @CHCI 48th Annual Awards Gala. 🎉

CHCI is helping young Hispanic fellows and interns with opportunities to work in Washington. These inspiring young people show us the future is bright! (1/3) https://t.co/FY6VBTObKS",en,Tweet,0,6,1,1,420,2025-09-20 14:01:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1SqfJIXMAAoswf.jpg,https://pbs.twimg.com/media/G1SqfI8WMAA-pju.jpg,https://pbs.twimg.com/media/G1SqfJeXMAEYUEv.jpg"
'1969127409006862344',"Happy #NationalTradesmenDay!

Today and every day, we appreciate our trade workers in #FL09. Thank you for helping build and maintain our communities. We will continue the fight for better wages and safer workplaces. https://t.co/AU0K5OdGlY",en,Tweet,0,3,0,0,318,2025-09-19 20:52:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#NationalTradesmenDay,#FL09",,photo,"https://pbs.twimg.com/media/G1O-56uWoAAmzin.jpg,https://pbs.twimg.com/media/G1O-567XgAAdXe5.jpg,https://pbs.twimg.com/media/G1O-55GX0AAM55g.jpg"
'1969063809928097839',"Protecting the Middle Class is the real issue. 

Culture wars are the distraction. 🤷‍♂️",en,Tweet,0,3,1,4,867,2025-09-19 16:39:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969046796576989260',"You know Trump’s economy is bad when he’s even losing Fox News. 

His tariffs, corruption and mass deportations are crushing America.",en,Tweet,5,65,20,7,4831,2025-09-19 15:31:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969023916770197760',"Had an informative Congressional Modeling &amp; Simulation Caucus ""Lunch and Learn"" on use of AI, data fidelity, and digital twins.

We're working together to better train our military, save money, and strengthen jobs at places like UCF tech park. https://t.co/jWCg8U6t2O",en,Tweet,0,1,0,1,305,2025-09-19 14:00:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Ngl8SXsAAMgyi.jpg,https://pbs.twimg.com/media/G1Ngl8QXMAEfAhg.jpg"
