tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970144464912945159',"It’s been truly moving to witness the countless number of people from across the country come together to honor the life and legacy of Charlie Kirk. Charlie was more than a devoted husband, father, and Conservative activist. He was, above all, a man of deep Christian faith with comprehensive knowledge of the Scripture. He dedicated his life to spreading the message of Christ and empowering the next generation to think for themselves and stand up for their beliefs.

Charlie ignited a movement, inspiring countless young Americans to engage and get involved. That legacy was on full display during Sunday’s powerful memorial in Arizona with people traveling from across the nation to pay their respects and listen to the tributes from Charlie’s pastor, Vice President J.D. Vance, President Trump, and Charlie’s widow, Erika Kirk. Erika’s words, especially her forgiveness of the man who took her husband’s life, were a profound testament to her strength grounded in unshakable faith. Erika will do a great job carrying on Charlie’s mission at Turning Point USA.

Thank you to everyone who has shared kind words and memories of Charlie. His legacy and influence will continue to grow with each passing day.",en,Tweet,1,124,19,18,8768,2025-09-22 16:13:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1da6hdWcAAB96i.jpg
'1968766344549253171',"This morning, I led a bipartisan roundtable with my colleagues on the Highways and Transit Subcommittee along with transit leaders & law enforcement from around the country to discuss deterring transit crime. This fall, the T&I Committee will work to craft a Surface Transportation Reauthorization bill to improve and fund our roads, bridges, and public transit— improving safety on public transit is an important part of that equation.",en,Tweet,1,1,1,6,671,2025-09-18 20:57:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1J0-HoW8AA0RZy.jpg,https://pbs.twimg.com/media/G1J0-IFW0AAb2_q.jpg"
'1968720033774727445',"The tragic stabbing of Iryna Zarutska in Charlotte underscores the urgent need for transit safety reforms. My Subcommittee’s roundtable was a crucial step toward ensuring our public transportation systems are safe for all Americans. Read more below! 
https://t.co/pipl4YIvhG",en,Tweet,0,62,22,20,6797,2025-09-18 17:53:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.foxnews.com/politics/scoop-iryna-zarutska-stabbing-fuels-transit-safety-overhaul-talks-house,,
'1968376367181103191',"Today we honor the foundation of our great nation, the Constitution! It’s the cornerstone of our freedoms, limited government, and rule of law. I’m proud to serve and protect these principles! https://t.co/WzjTK2CSCQ",en,Tweet,0,2,1,5,518,2025-09-17 19:07:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ET2dbWQAAQEED.jpg
'1968328033141748211',"Today is National App Challenge Day! I'm proud to support the Congressional App Challenge, which gives middle &amp; high school students across NC-07 a chance to showcase their creativity and coding skills!

Details below! https://t.co/Tu0JBlWFcp",en,Tweet,0,3,1,1,558,2025-09-17 15:55:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Dn3iiWUAA-F9K.jpg
'1968078271020437852',"The destruction of the memorial honoring Charlie Kirk in Wilmington is deeply disappointing. Charlie was a true conservative voice who inspired countless Americans, and this act of vandalism disrespects his legacy. In moments like this, it's important we come together to uphold our shared values and continue the respectful dialogue which Charlie championed.",en,Tweet,16,566,181,107,22244,2025-09-16 23:23:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968017705044247020',"My district offices are still holding an American flag recycling drive. Just as there's etiquette for displaying your flag, there's also etiquette for disposing of flags. If you bring your American flag to one of my offices listed below, we will properly dispose of it in a respectful manner.",en,Tweet,0,2,0,1,494,2025-09-16 19:22:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_NpMkX0AACZJF.jpg
'1967746748966752663',"What an incredible gathering in Wilmington tonight to honor and remember the life of Charlie Kirk. While I wasn’t able to attend due to votes in Washington, I was grateful to join a moving tribute led by Speaker Johnson in the Capitol this evening. It’s truly inspiring to see people from across the country coming together to honor Charlie’s life and legacy.",en,Tweet,6,166,29,32,12446,2025-09-16 01:25:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G07XPTUWMAEcFWA.jpg,https://pbs.twimg.com/media/G07XPTaWIAAdEkE.jpg"
'1966138206585565384',"Today, we pause and remember the nearly 3,000 lives lost on September 11, 2001. We honor the bravery of our first responders, firefighters, police and all who ran towards danger. Never forget. https://t.co/6eErM6XHim",en,Tweet,0,4,0,3,499,2025-09-11 14:54:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kgP7KXgAAA6d-.png
'1965903241813606563',"A significant milestone was reached this afternoon as my legislation to grant full federal recognition to the Lumbee Tribe of North Carolina was passed as part of the House FY26 National Defense Authorization Act. This marks an important step forward in securing the rights and benefits the Lumbee people have long been denied. I look forward to the Senate’s consideration.

Watch my full remarks on the Lumbee Tribe below.",en,Tweet,3,17,1,4,993,2025-09-10 23:20:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965902787377541120/vid/avc1/1920x1080/Vr3WFVOlfArHxje_.mp4?tag=21
