tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970630782357029267',"We need to make more stuff in America, support good-paying union jobs, and protect our clean air. Glad to join @Tenaris and local leaders in Koppel today to cut the ribbon on a new $85 million fume exhaust system to keep dust and other pollutants out of our air. 

It's great to see Western PA’s proud history of steelmaking moving into the future.",en,Tweet,0,4,0,3,412,2025-09-24 00:26:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kWP6KWMAAt5js.jpg,https://pbs.twimg.com/media/G1kWP6FW0AAGGza.jpg,https://pbs.twimg.com/media/G1kWP6FWkAA4j6v.jpg"
'1970584665808351679',"Everyone should be able to come home safely at the end of a hard day's work—and that means farm workers, too, who have some of the most dangerous jobs. 

Family farmers are hurting right now, with Trump's chaotic tariffs and cuts to food programs making it even harder to get by. 

This National Farm Safety and Health Week, let's all support our family farms and help them do well.",en,Tweet,0,3,3,1,513,2025-09-23 21:22:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jsTfDXEAA0X4i.jpg
'1970540114658177489',Thanks to the @steelworkers for meeting with me down in Washington last week! Western PA helped build this country—and still does—and we won't ever let folks forget that. https://t.co/eYQKakZaSY,en,Tweet,0,8,1,2,385,2025-09-23 18:25:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jDt7sWMAAPOqs.jpg
'1970495494876168565',"Unemployment is at a 4-year high. Prices keep going up. Washington Republicans have full control of our government and they’re failing, period.
https://t.co/qXG8piEeMd https://t.co/UKMlOXKIK5",en,Tweet,0,7,3,7,459,2025-09-23 15:28:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.usatoday.com/story/opinion/columnist/2025/09/16/trump-jobs-unemployment-economy-inflation/86165026007/,photo,https://pbs.twimg.com/media/G1ibKaKXcAACtCj.jpg
'1970212851395555338',We need to end corruption and ban Congressional stock trading. I just added my name to the 'ETHICS Act' to stop Washington politicians from personally profiting off their office.,en,Tweet,0,9,1,2,550,2025-09-22 20:45:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970189598773969036',Health insurance costs are pummeling PA families. Washington Republicans are making it worse. They're kicking people off their healthcare and jacking up the costs for everybody. https://t.co/ubu8iDQGL3,en,Tweet,1,9,2,7,497,2025-09-22 19:12:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eE_vTXAAAvgcs.jpg
'1970148564685775230',"In the United States of America, we have a First Amendment and a Constitution that are crystal clear about free speech. No President has the power to censor TV networks, or comedians, or any other political speech. We don’t do speech police here.",en,Tweet,0,9,1,3,469,2025-09-22 16:29:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969914018027757854',"We can't trust big railroads to regulate themselves. Too many rail workers are getting hurt on the job and communities along the tracks face too much risk, even after the East Palestine derailment. We need to pass my Railway Safety Act! #RailSafetyWeek https://t.co/neB5cIz16A",en,Tweet,0,7,4,2,817,2025-09-22 00:57:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#RailSafetyWeek,,photo,https://pbs.twimg.com/media/G1aKW-FXQAA3MVu.jpg
'1969854363259580723',"Imagine you're a combat veteran who had to retire because of your battle wounds—and now your government is denying your full retirement pay and VA disability compensation. That's the reality for more than 50,000 of my fellow veterans under federal law. 

The Major Richard Star Act would fix this problem—but I'm disappointed it was taken out of the annual defense bill. The bill has strong support, and I’ll keep pushing to pass it into law. 
https://t.co/xDGptia4cV",en,Tweet,0,17,2,4,3324,2025-09-21 21:00:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969387493943316743',"I know what it's like to be deployed overseas, serving your country while missing home. Thanks to @The_USO for the chance to help put together some care packages for our troops this week. https://t.co/4lQjeOMtim",en,Tweet,0,12,3,7,483,2025-09-20 14:05:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Sre3CXAAEkYAp.jpg
