tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970627185737351413',"Artificial intelligence will be an engine of economic growth around the world. I gathered energy, AI, and data center leaders in Aberdeen to discuss how South Dakota can help the United States win the AI race against China. https://t.co/hrgcl9UdCa",en,Tweet,0,8,1,5,956,2025-09-24 00:11:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kS-EtWoAA_mvE.jpg,https://pbs.twimg.com/media/G1kS-EkXEAAqApa.jpg,https://pbs.twimg.com/media/G1kS-EjWwAA0FVr.jpg"
'1970575746344047054',It was great to talk with students this morning at Central High School in Aberdeen. These students were great examples of how to talk about tough issues in a respectful manner. We also discussed which was better: cake or pie. It’s definitely cake. https://t.co/T51gTs7P66,en,Tweet,1,3,1,2,737,2025-09-23 20:47:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jkMlwXEAAwMsn.jpg,https://pbs.twimg.com/media/G1jkMl5XsAALTDi.jpg,https://pbs.twimg.com/media/G1jkMl5WsAAtciF.jpg,https://pbs.twimg.com/media/G1jkMlzWAAAZjdl.jpg"
'1969109989890380127',"Today, we remember those who didn’t come home from combat. Our nation owes a debt of gratitude to the servicemembers who served our country and were held as a prisoner of war or missing in action. They will never be forgotten. https://t.co/ogkZUIsXhI",en,Tweet,0,9,0,3,716,2025-09-19 19:43:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0boJ8lW8AA-v7k.jpg
'1968718409484366330',Happy Birthday to the U.S. Air Force! I join in celebrating the legacy of excellence in the Air Force with the men and women who have served at Ellsworth Air Force Base and across South Dakota. https://t.co/vfmKyQpI1b,en,Tweet,0,10,0,2,771,2025-09-18 17:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0botiDWMAAzQcu.png
'1968686727075176925',"Ocean shipping impacts every American. My bill just passed @TransportGOP to strengthen the Federal Maritime Commission, protecting our ports and supply chains while pushing back on China’s abuse of our shipping laws. https://t.co/micffNxTy6",en,Tweet,1,6,2,8,897,2025-09-18 15:41:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968686623358349312/vid/avc1/1920x1080/wJWVMO91ctGJ0mun.mp4?tag=21
'1968457837383696731',I stopped by the DC Armory to say thank you to South Dakota National Guard who are currently serving here. https://t.co/yHgp0BNj2B,en,Tweet,0,12,1,4,1087,2025-09-18 00:31:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Fd-FtWkAAyxpe.jpg,https://pbs.twimg.com/media/G1Fd-FzX0AA-Hya.jpg,https://pbs.twimg.com/media/G1Fd-FwWYAEpPc5.jpg,https://pbs.twimg.com/media/G1Fd-FlWwAA7xZ9.jpg"
'1968332868897448117',"On September 17, 1787, our founders signed the Constitution in Philadelphia. It’s important to recognize and celebrate this bedrock document of the United States. https://t.co/O657bMEFgG",en,Tweet,0,8,0,7,658,2025-09-17 16:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0bncuwWUAADYvY.jpg
'1967975820150051153',"I’m glad to see that @Interior is rolling back a Biden-era Public Lands Rule that would have prohibited many activities on multiple-use lands. Americans should be able to use these lands as they see fit – from livestock grazing to mining to recreation.

https://t.co/lOnF5RMFUE",en,Tweet,0,15,4,4,780,2025-09-16 16:36:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonexaminer.com/news/3800469/interior-withdraw-biden-public-land-rule-prioritized-conservation/,,
'1967699844346331334',"It’s National Truck Driver Appreciation Week. Truck drivers are the backbone of our economy, keeping food, products and fuel moving across the country. South Dakota employs more than 30,000 people in the trucking industry.
Thank a truck driver today! https://t.co/AFLBN45bQw",en,Tweet,0,12,5,4,1340,2025-09-15 22:19:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06sXgrWQAAj50O.jpg
'1967657490344030633',Black Hills Works provides employment opportunities for individuals with disabilities and veterans on AbilityOne federal contracts in South Dakota. I got to meet with Mark to hear how AbilityOne has provided him the opportunity for mission-driven employment at Ellsworth Air Force Base.,en,Tweet,0,7,1,5,927,2025-09-15 19:31:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G06GDvgWQAA4COb.jpg
'1966619903160438896',I had an incredible time substitute teaching at Lincoln High School today. I learned a lot from the students and faculty. https://t.co/2ehHDgx4R2,en,Tweet,0,15,1,5,1255,2025-09-12 22:48:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0rWXLHXcAAjM-W.jpg,https://pbs.twimg.com/media/G0rWXLDXcAAICZ8.jpg,https://pbs.twimg.com/media/G0rWXLKWYAA9jRh.jpg,https://pbs.twimg.com/media/G0rWXLHX0AAePcI.jpg"
'1966237370295910553',"Thank you, @POTUS for approving $500,000 of disaster relief for the Sisseton-Wahepton Oyate Tribe. The need for this relief was part of our conversation when I visited last month.

I joined @LeaderJohnThune and @SenatorRounds a few days ago to ask for this relief and I am grateful for the administration’s quick response.",en,Tweet,0,9,2,8,2652,2025-09-11 21:28:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966142184002040296',"I’ll never forget the tragic day of September 11, 2001. I join with the rest of America to reflect on 9/11 and honor those who served and those who lost their lives. https://t.co/LFFSsSfvZi",en,Tweet,0,5,1,1,797,2025-09-11 15:10:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0bnC9PWAAAc0Xx.png
'1965901842908639326',"I voted to ensure America remains safe and secure by making a generational investment in our national security. The 2026 annual defense bill raises service member pay, further secures our borders, and improves military readiness, all while providing $20 billion in savings. https://t.co/9Yj7yA2PnF",en,Tweet,0,30,9,5,2966,2025-09-10 23:14:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0hJNYRWoAAr4lq.jpg
'1965873106368778725',"Praying for Charlie Kirk and his family. 

Political violence has no place in our country.",en,Tweet,2,49,6,11,4184,2025-09-10 21:20:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965133170913018324',"Congrats to Howard High School, Jones County Middle School, and Warner Elementary School for being selected as National Blue Ribbon Schools. These schools are great examples of excellent education in South Dakota.",en,Tweet,0,1,0,6,1226,2025-09-08 20:20:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965111662434046192',"If you or someone you know needs help, 988 is a lifeline for anyone struggling with their mental health. This 24/7 resource provides counselors who can help via phone, text, or chat. #988Day https://t.co/qkGl78MTRi",en,Tweet,0,3,3,4,879,2025-09-08 18:55:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#988Day,,photo,https://pbs.twimg.com/media/G0V6ZNSXgAAySmN.jpg
