tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970616163269788133',"Here in DC, I’m proud to work with Senator Duckworth to bring $210,000 home to Peoria for economic development that will create new jobs. https://t.co/IveFSlM17h",en,Tweet,0,0,0,3,180,2025-09-23 23:28:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1i_bZ7XUAAef-8.jpg
'1970541210625364102',https://t.co/xgyYXZlQvc,zxx,Reply,0,0,0,0,152,2025-09-23 18:30:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.kwqc.com/video/2025/09/23/savanna-man-picked-astronaut-candidate/,,
'1970541208155136453',"Congratulations to Savanna, Illinois’ own Cameron Jones on being included in NASA's All American 2025 Class of Astronauts!

#IL17 https://t.co/u2N8KJee80",en,Tweet,1,0,1,2,193,2025-09-23 18:30:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#IL17,,photo,https://pbs.twimg.com/media/G1jEqyJXwAAvUid.jpg
'1970262835537035570',"Wishing a sweet and joyful Rosh Hashanah to all who celebrate in Central and Northwest Illinois and around the world!

May this new year bring peace, health, and happiness! https://t.co/foOVnNeRZs",en,Tweet,0,3,0,0,279,2025-09-23 00:04:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eRqe3XYAAxlnM.jpg
'1970204672599245084',"My team was proud to join community leaders at the groundbreaking ceremony for the City of Moline’s South Slope Wastewater Treatment Plant. 

This project is a major investment in modern infrastructure that will strengthen the future of our community!",en,Tweet,0,2,0,0,228,2025-09-22 20:12:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1eSrtKXoAAobou.jpg,https://pbs.twimg.com/media/G1eSrtPWIAExvtj.jpg,https://pbs.twimg.com/media/G1eSrtVWgAAOCOy.jpg"
'1970125936336285993',"I am so grateful for the pilots and air traffic controllers who keep us safe in the skies. Behind the scenes, I know they are working demanding, stressful, and challenging shifts.

That’s why I am proud to support and help pass legislation that connects people with mental health care. Better brain health means safer skies! ✈️",en,Tweet,0,1,0,1,244,2025-09-22 15:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G1D8y1aW0AAyrgx.jpg
'1969416261961420812',"September marks #HungerActionMonth

It’s a time to raise awareness and inspire action to end hunger in America. I love to see neighbors helping neighbors.

When we put aside politics, division, and hate, we come together to solve problems, including hunger.

https://t.co/XWOewFs1yj",en,Tweet,0,3,1,2,216,2025-09-20 16:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#HungerActionMonth,,photo,https://pbs.twimg.com/media/G1ECNlBWoAAGlr9.jpg
'1969099175662141808',"Thank you, Capt. Jason Anglin for your decades of public service to your neighbors in Bloomington!

We’re grateful for your bravery and compassion to save lives.

https://t.co/hxwHSrx3vI https://t.co/L1SAEKTOCG",en,Tweet,0,1,0,1,261,2025-09-19 19:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.centralillinoisproud.com/news/local-news/bloomington-fire-captain-retires/,photo,https://pbs.twimg.com/media/G1EA1R4XEAAwO4s.jpg
'1969038775021179096',"It’s always great to see my neighbors in Washington D.C.

Had a great meeting with Rockford Public School Board members to talk about how we can best support students and our local community school districts across Illinois.

If you’re in DC, don’t hesitate to reach out to my office and come visit the Longworth House Office Building!",en,Tweet,0,1,0,1,229,2025-09-19 15:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G0-0CesWMAI584Q.jpg
'1968824105274167470',"This is un-American and wrong.

Legal immigrants shouldn’t be fearing for their lives. These are our co-workers, friends, family, and loved ones.

I’m not afraid to take action against harassment of our neighbors. https://t.co/DXS3cOHm6c",en,Tweet,1,1,0,2,285,2025-09-19 00:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06Tbh5XYAAG98E.jpg
'1968751881377009946',"Thank you Growth Energy for meeting with me to talk about how important year-round E-15 is to support farmers growing our fuel and for consumers who need a break at the pump.

I am also honored to receive the 2025 Fueling Growth Award for my work on behalf of farmers in Illinois! https://t.co/LUOmWT5W0r",en,Tweet,0,4,3,1,533,2025-09-18 20:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G05vUIXWwAAOxrm.jpg,https://pbs.twimg.com/media/G05vUH2W8AAVUgI.jpg"
'1968700793562804535',"“It’s like buying a car ‘and then running it into a tree after a few years, just to save the price of a tank of gas’”

That’s what the Trump Administration is doing by destroying two satellites that collect critical data for weather forecasting, farmers, and scientists.

When you fire all the scientists and send in Washington DC bureaucrats, you get dysfunction. I am fighting back against this.",en,Tweet,0,1,2,2,267,2025-09-18 16:37:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G06Sg18XAAAlZID.jpg
