tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970559789173481761',"¡Tuve una excelente conversación con @foodtank esta mañana!

Los inmigrantes impulsan nuestro sistema alimentario, los estudiantes merecen acceso directo a la agricultura sostenible y las comunidades más vulnerables necesitan inversiones climáticas globales. Desde la Ley de Cosecha de Conocimientos hasta el Fondo Verde para el Clima, trabajo para proteger la dignidad, las oportunidades y nuestro futuro.",es,Reply,0,0,0,0,219,2025-09-23 19:43:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970559693006479414',Una cosa está clara: Donald Trump y los republicanos son responsables de las consecuencias de un posible cierre del Gobierno.,es,Reply,0,1,1,0,213,2025-09-23 19:43:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970555091611484239',"Had a great conversation with @foodtank this morning! 

Immigrants power our food system, students deserve hands-on access to sustainable agriculture, and frontline communities need global climate investments. From the Harvesting Knowledge Act to the Green Climate Fund, I’m working to protect dignity, opportunity, and our future.",en,Tweet,0,2,1,2,448,2025-09-23 19:25:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jRaWUW4AAMgX5.jpg,https://pbs.twimg.com/media/G1jRaWWXgAATQQx.jpg"
'1970520172428751160',One thing’s clear: Donald Trump and Republicans own the fallout from a potential government showdown. https://t.co/3ZwOTsLfIs,en,Tweet,1,12,4,2,1041,2025-09-23 17:06:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ixpwEW4AAf4L_.jpg
'1970252577473175823',"La lucha por la libertad de expresión reafirma nuestra lucha por defender los derechos civiles y las libertades del pueblo estadounidense.

La voz del pueblo es difícil de ignorar.",es,Reply,0,2,0,0,216,2025-09-22 23:23:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970231736383742211',"The fight to defend free speech reaffirms our fight to defend the civil rights and liberties of the American people. 

The voice of the People is hard to ignore.",en,Tweet,0,6,1,3,951,2025-09-22 22:00:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970157960677540149',"Shana Tova!

May this Rosh Hashanah bring renewal, reflection, and hope for brighter days ahead. 

Wishing you a sweet, healthy, and peaceful New Year.

L’Shanah Tovah U’Metukah — to a good and sweet year!

I am proud to stand with our Jewish brethren in celebration of friendship, family, and tradition.",en,Tweet,0,9,2,1,538,2025-09-22 17:07:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dn8v1XgAAKrdB.jpg
'1970148509216026929',"¡Shana Tová!

Que este Rosh Hashaná les traiga renovación, reflexión y esperanza para días mejores.

Les deseo un Año Nuevo dulce, saludable y lleno de paz.

¡L’Shaná Tová U’Metukah! ¡Por un año bueno y dulce!

Me enorgullece acompañar a nuestros hermanos judíos en la celebración de la amistad, la familia y la tradición.",es,Reply,0,1,0,0,216,2025-09-22 16:29:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969822661413867593',"Nos enorgullece estar con nuestra comunidad en la inauguración del Día de Reconocimiento Afroamericano de este año, en honor a las importantes contribuciones de los afroamericanos a lo largo de la historia de nuestra ciudad y de la nación.

Hoy, nos unimos para reconocer ese legado y asegurar la promesa a las generaciones futuras.",es,Reply,0,1,0,0,281,2025-09-21 18:54:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969816404338880784',"Proud to stand with our community to kickoff this year’s African American Day of Recognition honoring the significant contributions of African Americans throughout the history of our city and the nation. 

Today, we stand united to recognize that legacy and to ensure the promise to future generations.",en,Tweet,2,8,2,1,585,2025-09-21 18:30:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Yxk-sXYAAIdXO.jpg,https://pbs.twimg.com/media/G1Yxk-zXgAA_wob.jpg,https://pbs.twimg.com/media/G1Yxk-xXMAAvo-C.jpg,https://pbs.twimg.com/media/G1Yxk-wXYAAJEKE.jpg"
'1969071373097238681',"Esta mañana me uní a los @HouseDemocrats para refutar rotundamente el proyecto de ley de gastos partidista republicano.

Demasiados estadounidenses se enfrentan a la pérdida de su atención médica y cupones de alimentos tras el recorte republicano de programas esenciales. Los demócratas nos mantenemos unidos en nuestro esfuerzo por proteger a las familias estadounidenses.",es,Reply,0,2,1,0,311,2025-09-19 17:09:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969070263854575969',https://t.co/a3AmUNHTWb,zxx,Tweet,9,173,52,14,23040,2025-09-19 17:05:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969070124901519360/vid/avc1/1920x1080/ZnoB8qYpbWVaItRk.mp4?tag=21
'1969048842633895938',"I joined @HouseDemocrats this morning to unequivocally refute the partisan Republican spending bill.

Too many Americans are facing the loss of their healthcare and food stamps in the wake of Republicans gutting essential programs. Democrats stand united in our effort to protect everyday American families.",en,Tweet,0,33,15,21,4533,2025-09-19 15:40:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1N3T7hWQAE0aTJ.jpg,https://pbs.twimg.com/media/G1N3T7wXcAAgaas.jpg,https://pbs.twimg.com/media/G1N3T7hWMAEeU4A.jpg,https://pbs.twimg.com/media/G1N3T7aXYAAhjEU.jpg"
'1969029506401722818',"Sara, de 11 años, es ciudadana estadounidense y se encuentra varada en México con una enfermedad que pone en riesgo su vida.

El @HispanicCaucus está luchando por su regreso a casa para que reciba la atención médica que necesita.",es,Reply,0,1,1,0,451,2025-09-19 14:23:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968848127181328657',"11-year old Sara is a U.S. citizen stuck in Mexico with a life threatening condition. 

@HispanicCaucus is fighting for her return home to receive the healthcare she needs. https://t.co/t2CbpibGSH",en,Tweet,0,14,4,3,1214,2025-09-19 02:22:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968848039272972289/vid/avc1/720x1280/3Vxu9FI0df4rvwtp.mp4?tag=21
'1968444357675204852',"Hoy, el senador Schumer y yo introdujimos una resolución congresual para honrar la vida y el legado de Lloyd A. Williams.

Sus más de 50 años de servicio público y su dedicación al empoderamiento económico, el orgullo cultural y la equidad social de Harlem serán recordados por generaciones.",es,Reply,0,0,1,0,280,2025-09-17 23:38:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968421621405802504',"Today, @SenSchumer and I introduced a congressional resolution to honor the life and legacy of Lloyd A. Williams.

His 50+ years of public service and dedication to Harlem’s economic empowerment, cultural pride, and social equity will be remembered for generations. https://t.co/4GyZrjFKuF",en,Tweet,0,4,2,1,556,2025-09-17 22:07:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1E87bdWAAAE7wS.jpg
'1968324500912590963',"Hoy honramos la vida y el legado de Lloyd A. Williams, presidente y CEO de la Cámara de Comercio del Gran Harlem y cofundador de la HARLEM WEEK (SEMANA DE HARLEM).

Lloyd fue un querido amigo y un pilar de Harlem. Durante más de 50 años, abogó por el empoderamiento económico, el orgullo cultural y la equidad social, dejando una huella imborrable en nuestra comunidad. Su impacto se sentirá durante generaciones.",es,Reply,0,1,0,1,282,2025-09-17 15:41:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968318111330836706',"Today, we honor the life and legacy of Lloyd A. Williams, President & CEO  of the Greater Harlem Chamber of Commerce and Co-Founder of HARLEM WEEK.

Lloyd was a dear friend and a pillar of Harlem. For more than 50 years,  he championed economic empowerment, cultural pride, and social equity,  leaving an indelible mark on our community. His impact will be felt for  generations.",en,Tweet,0,8,2,3,594,2025-09-17 15:16:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968317856598147072/vid/avc1/1280x720/izswbVkLf6gqRPfI.mp4?tag=21
'1968109859746038174',"La reciente decisión de la Corte Suprema de permitir la discriminación racial es una grieta en el cristal de la democracia.

Hoy, el @HispanicCaucus se unió a las juezas Sotomayor, Kagan y Brown-Jackson para decir: ""Nosotros también discrepamos"".",es,Reply,0,3,1,0,347,2025-09-17 01:28:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968067939757855158',"The Supreme Court’s recent decision to allow racial profiling is a crack in the glass floor of democracy.

Today, the @HispanicCaucus joined Justices Sotomayor, Kagan, and Brown-Jackson to say “we dissent, too.” https://t.co/mV6A5SSKUN",en,Tweet,0,7,2,1,717,2025-09-16 22:42:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968067766360965120/vid/avc1/576x1024/FRziB7P6BATi_7oJ.mp4?tag=21
'1967991819381387546',Conferencia de prensa del CHC en desacuerdo con el ataque de la Corte Suprema a la Cuarta Enmienda,es,Reply,0,1,0,0,230,2025-09-16 17:39:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967988160329289933',CHC Press Conference in Dissent Against the Supreme Court's Attack on the 4th Amendment https://t.co/VRxXxtZWbM,en,Tweet,1,4,1,2,478,2025-09-16 17:25:15,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",,https://x.com/i/broadcasts/1vAxRQjbNZqJl,,
'1967697346872922330',"🚨 Casi 5 millones de Estudiantes de Inglés en EE. UU. están en riesgo. La decisión de la Administración de reducir las protecciones y desmantelar los programas de apoyo socava décadas de derechos civiles.

Por eso, me uno a mis colegas, @RepChuyGarcia y @RepWilson, para exigir al Departamento de Educación y al DOJ que restablezcan las salvaguardias para que todos los niños tengan acceso equitativo a la educación.",es,Reply,0,5,3,13,1064,2025-09-15 22:09:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967690753515389296',https://t.co/B6KwOEQA0R,zxx,Reply,0,3,1,1,462,2025-09-15 21:43:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G06kNXZWIAAG6vi.jpg,https://pbs.twimg.com/media/G06kOzrXwAADSEv.jpg,https://pbs.twimg.com/media/G06kP59W8AAkUl7.jpg"
'1967690751019458783',"🚨 Nearly 5 million English Learners across the U.S. are at risk. The Administration’s decision to roll back protections and dismantle support programs undermines decades of civil rights law.

That's why I'm joining my colleagues, @RepChuyGarcia  and @RepWilson, to demand the Dept. of Education & DOJ restore safeguards so every child has equal access to education.",en,Tweet,0,10,9,6,1672,2025-09-15 21:43:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06kJxpXAAA06FL.jpg
'1967658445320167576',¡Feliz Mes de la Herencia Hispana! Celebramos la rica y vibrante cultura de las comunidades hispanas de toda la nación y reconocemos sus invaluables contribuciones a la historia y la sociedad de nuestro país.,es,Reply,0,3,3,0,328,2025-09-15 19:35:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967622156826599587',Happy Hispanic Heritage Month! We are celebrating the rich and vibrant culture of Hispanic communities across the nation and recognizing their invaluable contributions to our nation’s history and society. https://t.co/3sfUI4g7PS,en,Tweet,0,3,3,1,725,2025-09-15 17:10:53,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G05l7IfWcAAFBcY.jpg
'1966150712125174168',"Hoy se conmemora el 24.º aniversario del ataque terrorista más mortífero en suelo estadounidense. Al recordar las vidas perdidas, honramos a los sobrevivientes, a los socorristas y a las familias cuyas vidas cambiaron para siempre el 11 de septiembre de 2001.",es,Reply,0,2,1,0,383,2025-09-11 15:43:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966121068055216384',"Today marks the 24th anniversary of the deadliest terrorist attack on American soil. As we remember the lives lost, we honor the survivors, first responders, and families whose lives were forever changed on September 11, 2001. https://t.co/LWdkfzQvI1",en,Tweet,1,12,3,1,791,2025-09-11 13:46:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0kQr39XMAAxTS8.jpg
'1965901463756091647',"La violencia política es inaceptable y jamás debe tolerarse.

Oramos por Charlie Kirk y su familia en estos momentos.",es,Reply,0,2,1,0,692,2025-09-10 23:13:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965861723518443545',"Political violence is unacceptable and should never be tolerated. 

We are praying for Charlie Kirk and his family at this time.",en,Tweet,0,13,6,1,2699,2025-09-10 20:35:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965850324222066961',"Los republicanos de la Cámara de Representantes están trabajando para reducir los fondos para las escuelas, mientras que los maestros pagan los útiles escolares de su propio bolsillo.

Los republicanos están fallando a nuestros maestros, a nuestros estudiantes y al futuro de nuestra nación.",es,Reply,0,1,1,1,393,2025-09-10 19:50:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965844232176021788',"House Republicans are working to reduce funding for schools, all while teachers are paying for school supplies out of their own pockets.

Republicans are failing our teachers, our students, and our nation's future. https://t.co/ePHrArUVZw",en,Tweet,0,4,3,3,622,2025-09-10 19:26:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965843872149327872/vid/avc1/1280x720/ngKWZnOauHdy7vt8.mp4?tag=21
'1965841023243800842',"CHOCANTE: Un Partido Republicano sin respeto por la ley está desfinanciando a las fuerzas del orden y recortando miles de agentes y analistas. El crimen violento, el espionaje y el terrorismo quedarán sin control, dejando que los estadounidenses paguen el precio.

Mírame CONTRAATACAR:",es,Reply,0,2,1,1,256,2025-09-10 19:13:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965840339345830324',"Me indigna el flagrante desprecio del DHS hacia DACA. En las últimas semanas, se ha registrado un aumento alarmante de beneficiarios de DACA secuestrados por agentes de inmigración, incluyendo a Xochitl. Los beneficiarios de DACA se someten a un riguroso proceso de solicitud y aprobación, sometiéndose a exhaustivas verificaciones de antecedentes y seguridad cada vez que solicitan o renuevan su estatus. #SuHogarEstáAquí #ProtegeDACA",es,Reply,0,3,2,1,233,2025-09-10 19:10:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965800751432974633',"SHOCKER: A Republican party with no regard for the law is defunding law enforcement and cutting thousands of agents and analysts. Violent crime, espionage, and terrorism will go unchecked, leaving Americans to pay the price.

Watch me FIGHT BACK: https://t.co/Pomq1Bc7Gy",en,Tweet,0,4,2,2,768,2025-09-10 16:33:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://youtu.be/kB2zq7ykPTg,,
'1965800122064712171',"I am outraged by DHS’ blatant disregard for DACA. In recent weeks, there has been an alarming spike in DACA recipients kidnapped by immigration agents, including Xochitl. DACA recipients undergo a rigorous application and approval process, submitting to comprehensive background and security checks every time they apply for or renew their status. #HomeisHere #ProtectDACA",en,Tweet,0,11,4,2,892,2025-09-10 16:30:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965455105379238184',Los republicanos literalmente están tratando de convencerte de que lo que ves con tus propios ojos es falso.,es,Reply,0,1,0,1,234,2025-09-09 17:39:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965440851968221626',Republicans are literally trying to convince you that what you see with your own eyes is false.,en,Tweet,0,11,3,3,3061,2025-09-09 16:43:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965131447096016983',RELEASE THE EPSTEIN FILES!,en,Tweet,0,5,0,0,592,2025-09-08 20:13:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965098710863675806',https://t.co/Hy6KnPxtLV,zxx,Tweet,1,14,2,1,990,2025-09-08 18:03:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0Vuzw1WQAA2V08.jpg,https://pbs.twimg.com/media/G0Vu0pgXcAAgmSr.jpg,https://pbs.twimg.com/media/G0Vu1fnW4AAfY3o.jpg,https://pbs.twimg.com/media/G0Vu2I4XkAAKpBV.jpg"
'1965059355537031592',"Guarda esto para futuras consultas:

Control de la Cámara -> Republicanos
Control del Senado -> Republicanos
Control de la Casa Blanca -> Republicanos

Solo dejo esto aquí mientras nos encaminamos directamente a un cierre del gobierno. Asegúrate de que todos los que conoces lo vean.",es,Reply,0,1,0,0,328,2025-09-08 15:27:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965051668254601499',"Bookmark this for future reference:

House control -&gt; Republicans
Senate control -&gt; Republicans
White House control -&gt; Republicans

Just putting this here as we head straight towards a government shutdown. Make sure everyone you know sees this.",en,Tweet,3,12,4,2,735,2025-09-08 14:56:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
