tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1966310236362518608',"The threats that were made against HBCUs across this nation today, including Southern University here at home, were unacceptable and quite frankly, shameful. No student should ever have to fear for their safety while at school, and no parent should send their child off to college and fear they might get a lockdown call. This was wrong, disruptive, and those responsible should be held accountable.",en,Tweet,0,3,1,1,419,2025-09-12 02:17:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965896958725537981',"The tragic death of Charlie Kirk is a reminder of the painful moment our country is living through. No matter our political differences, violence is unacceptable and has no place at all in our democracy. My thoughts and prayers are with Charlie Kirk’s family, especially his wife and children, as they mourn this loss.",en,Tweet,0,4,0,8,935,2025-09-10 22:55:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965871747116503181',"I joined my Congressional Black Caucus colleagues to send one clear message: our constituents deserve to be heard, counted, and fairly represented. The redistricting fight is about nothing less than our democracy. https://t.co/BdROf2Txsz",en,Tweet,0,1,0,2,350,2025-09-10 21:15:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965871390508085250/vid/avc1/1920x1080/ghHG7rtGuTR-StgP.mp4?tag=21
'1963416392633315799',"Watch my interview with Blake Burman of The Hill on NewsNation here. Deploying the National Guard to cities is a great disservice to the men and women who sacrifice so much to serve our country. Their duty is to defend the nation, not replace local law enforcement. https://t.co/7l9QIjeQHb",en,Tweet,0,3,0,11,587,2025-09-04 02:38:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1963416248428978176/vid/avc1/960x540/Z2FHL3HVuSe9bOsj.mp4?tag=21
'1963381208492228813',"Fair representation is not optional. It is a constitutional right, and I will fight to make certain ALL Louisiana citizens are never denied their rightful seat at the table of democracy. https://t.co/Wf5K9Zylzv",en,Tweet,0,3,3,1,406,2025-09-04 00:18:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1963341823167881216/vid/avc1/1080x1920/LAQMHRxKWApNWce9.mp4?tag=21
'1963336483428773983',"TONIGHT at 6 PM ET, Congressman Fields will join The Hill on NewsNation’s own, Blake Burman, to discuss crime in our nation. Don’t miss it! https://t.co/S9KHqTp2hZ",en,Tweet,0,1,0,1,169,2025-09-03 21:21:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gz8sHHoWYAAfJ1j.jpg
'1961101990508839063',https://t.co/Hbw3Fh1CKU,zxx,Tweet,0,0,0,2,142,2025-08-28 17:22:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gzc73SCXQAMLZF9.jpg
'1960814698535776373',https://t.co/kaJJhXik5T,zxx,Tweet,0,3,3,0,209,2025-08-27 22:20:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GzY2kkXWUAAXdBz.jpg
'1960167584344736081',https://t.co/CQ43az2mJ2,zxx,Tweet,0,4,1,0,174,2025-08-26 03:29:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GzPqBvOXYAAOfWx.jpg,https://pbs.twimg.com/media/GzPqBvPXUAAmtyX.jpg"
'1953461543292510388',"Thank you, Lafayette Parish for giving me so much to take back to Washington. From redevelopment talks at Northgate Mall and a visit to the Holy Rosary Institute Project, to community stops at SMILE Community Center Project and Acadians CARES, and lunch at Creole Lunch House. We ended the day with a powerful town hall covered by C-SPAN. Communities like this are what make Louisiana’s 6th District Strong. Keep showing up and remain engaged! #6thdistrictlisteningtour #LA06",en,Tweet,0,2,0,3,299,2025-08-07 15:21:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GxwW6sjWsAAt4K9.jpg,https://pbs.twimg.com/media/GxwW6siWIAASdsA.jpg,https://pbs.twimg.com/media/GxwW6r2WEAAEVNF.jpg,https://pbs.twimg.com/media/GxwW6sbWgAAG2-s.jpg"
