tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970128449634214375',"It is officially the first day of fall today and, in #MN07, we are starting to see the leaves change color in parts of the district as the weather changes. Happy Fall! https://t.co/njCEl5QkwA",en,Tweet,0,5,0,9,425,2025-09-22 15:10:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#MN07,,photo,https://pbs.twimg.com/media/G1O-gthXkAAeg0Z.jpg
'1969125756266508742',We honor and remember our Prisoners of War and those who are Missing in Action. We are reminded of the great sacrifices they were willing to make for our country and future generations. https://t.co/T0hS65mA9I,en,Tweet,0,1,1,8,343,2025-09-19 20:45:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1O8Q2iW4AAPhvB.jpg
'1968734597979476031',"Happy 78th birthday to the @usairforce! Fly, Fight, Win! https://t.co/JxYczuUmCa",en,Tweet,0,3,0,5,330,2025-09-18 18:51:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JZlOCXIAAJNeu.jpg
'1968452514073973007',"Congratulations to Sergeant Ledoux on his retirement after over 30 years serving with the Minnesota State Patrol and as President of the Minnesota State Patrol Troopers Association. I was honored to thank my friend, Mike, and his wife, Melissa, for their service on the House floor.",en,Tweet,0,5,1,4,303,2025-09-18 00:10:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968452375347101696/vid/avc1/1280x720/4-msHFG9QiqAfrhr.mp4?tag=21
'1967946620475150509',Congress and the Trump Administration are committed to supporting rural America. Read more here.,en,Tweet,0,1,1,12,617,2025-09-16 14:40:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966867715102032258',"In Elbow Lake, I visited with Mayor Deb Hengel and community members. They shared about the needs of their community, like affordable housing, healthcare, and the importance of education. https://t.co/lmNEBPFpSk",en,Tweet,0,1,0,13,527,2025-09-13 15:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0rHm4VWAAAVWeq.jpg
'1966602436686279117',"I hosted my Law Enforcement Advisory Board at my Willmar office. This committee is made up of around ten officers from across the Seventh District and they help keep me informed of their biggest concerns. At this meeting, there was a great deal of discussion about how local forces can support ICE. In particular, they noted they are having some difficulties because oftentimes they cannot detain someone that is here illegally until someone from ICE is present. As always, this was a very productive discussion and I greatly appreciated the Advisory Board's input so that when I'm back in D.C. I can work with my colleagues to find meaningful ways to support law enforcement at home.",en,Tweet,0,3,2,12,489,2025-09-12 21:38:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0rGcXqW8AAArGB.jpg,https://pbs.twimg.com/media/G0rGcXpXgAA0zUz.jpg"
'1966575249031397441',"This is a huge win for the pro-life movement and upholds my legislation, the Defund Planned Parenthood Act, which was included in the OBBBA and restricts federal funding for Planned Parenthood and its affiliates. https://t.co/JA7FW3hAgT",en,Tweet,0,4,0,5,390,2025-09-12 19:50:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.msn.com/en-us/news/politics/trump-administration-can-stop-medicaid-spending-to-planned-parenthood-for-now-appeals-court-rules/ar-AA1MnCfr?ocid=BingNewsSerp,,
'1966126953875841469',"Like so many, I remember the deep tragedy of this day 24 years ago and I remember the fear felt across the country. But I also remember the unity that followed. And I am truly heartbroken to see how far we’ve fallen from that unity. I am heartbroken to see the rampant hatred and disregard for our fellow man that’s taken hold in the dark corners of this country and I pray for a return to unity as fellow Americans and human beings.",en,Tweet,0,4,0,3,393,2025-09-11 14:09:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0kWCuiW8AAc8sM.jpg
'1965864338629259390',Please join me in praying for Charlie Kirk and his family.,en,Tweet,0,12,0,13,2160,2025-09-10 20:45:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
