tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970553321535537211',"Happy National #PublicLandsDay! Today we celebrate the stewardship that has protected our shared outdoors for generations.

From Guadalupe Mountains National Park to #TX07's Buffalo Bayou Park, we're fortunate to enjoy so many beautiful outdoor spaces in Texas. https://t.co/daNUYuzc8T",en,Tweet,0,29,6,2,4730,2025-09-23 19:18:17,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>","#PublicLandsDay,#TX07",,photo,https://pbs.twimg.com/media/G1jPzSCWEAASEjP.jpg
'1970516140280484082',"An important read spelling out how President Trump's Big, Ugly Bill will directly lead to families going hungry here in Texas. https://t.co/ehT46sTr7d",en,Tweet,2,18,12,13,3264,2025-09-23 16:50:32,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",,https://www.houstonpublicmedia.org/articles/arts-culture/food/2025/08/18/528648/taking-away-food-is-taking-away-everything-texans-brace-for-snap-cuts/?utm_source=rss-food-article&utm_medium=link&utm_campaign=hpm-rss-link,,
'1970244640818200868',Sending best wishes for a healthy and peaceful new year to all those celebrating #RoshHashanah! https://t.co/UFwVqHzN1W,en,Tweet,0,6,1,0,376,2025-09-22 22:51:42,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",#RoshHashanah,,photo,https://pbs.twimg.com/media/G1e3Dw3WkAEHOtT.jpg
'1970222439079526759',"Texas already has the highest uninsured rate in the country, and the Big, Ugly Bill will push it even higher. Read about how the Republican Budget Bill will take health care away from Texas children here ⬇️ #LivesAreInTheBalance https://t.co/16VLmVFeQC",en,Tweet,0,2,2,3,352,2025-09-22 21:23:29,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",#LivesAreInTheBalance,https://www.houstonpublicmedia.org/articles/news/health-science/healthcare/2025/09/15/530798/more-than-13-of-texas-kids-dont-have-health-insurance-experts-warn-it-could-get-worse/,,
'1969882836816511303',"All students deserve the opportunity to learn, including the 69,000 HISD students learning English. Recently, I joined my colleagues in sending a letter urging the full reinstatement of protections for English learners that the Trump administration has rescinded. ⬇️ https://t.co/lYr8QtltIe",en,Tweet,0,3,1,2,474,2025-09-21 22:54:01,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",,,photo,"https://pbs.twimg.com/media/G1Zt-nKXgAAKbjH.jpg,https://pbs.twimg.com/media/G1Zt-9yWkAAas4s.jpg,https://pbs.twimg.com/media/G1Zt_vIWAAEW8EB.jpg,https://pbs.twimg.com/media/G1ZuAD4XwAEkieB.jpg"
'1969809056446423260',"It is International Week of Deaf People! We're fortunate to have a thriving deaf community in #TX07. This week, we celebrate them and the ways people who are deaf contribute to families, workplaces, and communities, here at home and across the country. https://t.co/HUNtoHAQmS",en,Tweet,0,4,2,0,362,2025-09-21 18:00:50,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",#TX07,,photo,https://pbs.twimg.com/media/G1Yq5bmWQAAI_GY.jpg
'1969508078824390814',"Each week I'm in Washington, I send an end-of-week wrap up covering the legislative and other developments and news in Washington.

To stay in the know, sign up at: https://t.co/y7Sl0OUSSE https://t.co/L9zIuRTbb6",en,Tweet,0,3,3,0,373,2025-09-20 22:04:52,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",,http://fletcher.house.gov/newsletter,photo,https://pbs.twimg.com/media/G1UZKPRXIAAaD07.jpg
'1969420283586232495',"Once again this year, we have seen the devastating impacts of flooding in Texas. It is critical that Congress works to protect communities across the country from the devastating impacts of flooding, so I am glad to reestablish the Congressional Flood Resilience Caucus. More ⬇️ https://t.co/HF8idnL6U8",en,Tweet,0,3,1,3,409,2025-09-20 16:16:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1969138169862816106',"As Americans struggle to keep up with the rising cost of living, the Trump administration is making health care more expensive by imposing tariffs on vital drugs and gutting key health care subsidies. Read more here ⬇️ https://t.co/HV6aZqBAeS",en,Tweet,0,7,2,5,405,2025-09-19 21:34:59,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",,https://www.washingtonpost.com/health/2025/09/12/tariffs-ozempic-health-insurance-premiums/,,
'1969097165201961290',"Many people across #TX07 have shared with me their concerns about HR 1—the Big, Ugly Bill that Congress passed and President Trump signed into law. I put together a timeline of when its devastating provisions will go into effect.

Download the PDF: https://t.co/wDxI1eqdZP https://t.co/I2kD0XX7Gr",en,Tweet,2,9,4,1,632,2025-09-19 18:52:02,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",#TX07,https://fletcher.house.gov/obbatimeline,photo,"https://pbs.twimg.com/media/G1Oja2uXwAAnAev.jpg,https://pbs.twimg.com/media/G1OjbM1XcAAIEpp.jpg,https://pbs.twimg.com/media/G1OjbidWEAAs0Zg.jpg,https://pbs.twimg.com/media/G1Ojb6MWcAAfY2f.jpg"
'1969065685104885971',"President Trump's tariffs are making life less affordable, not more. And, sadly, Republicans in the House just passed a resolution this week to prevent Congress from doing anything about it now. https://t.co/su5ln2eTvn",en,Tweet,0,6,2,2,440,2025-09-19 16:46:57,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>",,,photo,https://pbs.twimg.com/media/G1OGzifXIAAFrxu.jpg
