tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970591876249199049',"The SHIPS for America Act would revitalize our national security and bring good-paying jobs back to America.

It's good for our workers and it's good for our nation.

Let's get it done.
https://t.co/NTCWvFOBZG",en,Tweet,0,8,5,2,1520,2025-09-23 21:51:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.reuters.com/world/us/unions-push-us-lawmakers-pass-ships-act-secure-shipbuilding-funding-2025-09-23/,,
'1970551087380967589',"In one week from today, Republicans are set to shut down the government.

@HouseDemocrats are asking for one thing: lower health care costs for the American people.

Stop with the games. Let's do the right thing.",en,Tweet,0,7,2,1,312,2025-09-23 19:09:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970494666702237718',"Is Trump's Watergate the Epstein files?

Comment below your thoughts. https://t.co/2BHe38lZ7R",en,Tweet,0,3,1,4,353,2025-09-23 15:25:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970494548385087488/vid/avc1/1080x1920/4aYkW8FBsy9zPXJ1.mp4?tag=21
'1970228190389190805',"Each day, Trump marches our nation closer to a dictatorship.

Today, he sends troops into cities; tomorrow, who knows?

We must hold Trump accountable. https://t.co/KlBMQIxzHq",en,Tweet,0,4,0,1,263,2025-09-22 21:46:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970228051465134080/vid/avc1/1080x1920/kTsqGh73xU43H8EY.mp4?tag=21
'1969148625763676329',"Today we celebrate the @usairforce’s 78th birthday! Since 1947, U.S. Airmen have safeguarded our nation in the air, space &amp; cyber domains. 

Grateful to the brave men &amp; women at Travis AFB—the “Gateway to the Pacific”—and worldwide for their courage &amp; service. https://t.co/y2Wt4yJmOZ",en,Tweet,0,3,0,5,394,2025-09-19 22:16:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PSOucWgAAZYBX.jpg
'1969110280907977112',"To the dedicated trades workers of CA-08, I will always have your back as your Representative in Congress. 

You keep our community connected day-in and day-out, and that’s why I’m fighting for you in Washington. 

#NationalTradesmenDay https://t.co/mnCHmbNGOk",en,Tweet,0,3,0,2,326,2025-09-19 19:44:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NationalTradesmenDay,,photo,https://pbs.twimg.com/media/G1OvXWxWkAAS5S3.jpg
'1969097906528346116',"Before the media blames Democrats for a shutdown, remember: we want to fund the government, but won’t vote for a bill that rips healthcare from millions. 

Republicans could have negotiated—yet they chose to cut us off, just like the millions they’re cutting off from care.",en,Tweet,0,4,0,1,308,2025-09-19 18:54:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969097341987680717',"I joined more than 100 @HouseDems in opposing the @EPA’s dangerous rollback of greenhouse gas emission standards—a move that will only lead to more pollution. 

Trump doesn’t want you to have clean air. 

We’ll always fight for it. #RouteZero

https://t.co/Ea1ZcVh62j",en,Tweet,0,4,2,1,363,2025-09-19 18:52:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#RouteZero,https://www.reuters.com/sustainability/climate-energy/democratic-lawmakers-urge-trump-drop-plan-kill-vehicle-emission-limits-2025-09-17/,,
'1969074966927691834',"Trump is running scared from the Epstein file issue. Does Trump know he's in the files?

Stop running. Release the files. https://t.co/bH7zPGhLxX",en,Tweet,0,14,7,2,434,2025-09-19 17:23:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969074742872166405/vid/avc1/1080x1920/glx3DnuT2S-QsEFm.mp4?tag=21
'1969042349989708157',"Trump again tries to rig the system for himself. But from Georgia to California, Democrats are fighting back.

When the people speak, Trump must listen. Stop the madness. https://t.co/Op1JXQZ4VW",en,Tweet,0,7,3,0,298,2025-09-19 15:14:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969041941716197377/vid/avc1/1080x1920/xyWtSly8b-w7u4F2.mp4?tag=21
'1968798429355655554',"Today, I spoke at @RepJayapal's immigration shadow hearing about Harjit Kaur, a 73-year-old grandmother detained last week— one of countless families ripped apart by this cruel administration.

Republicans know the pain caused by ICE and Trump, but lack the courage to hold them accountable.",en,Tweet,1,23,16,3,2958,2025-09-18 23:04:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968797727728205824/vid/avc1/1080x1920/PMK4MbQsgr1Wgal_.mp4?tag=21
'1968780613793558893',"FCC Chair Brendan Carr’s silencing of Jimmy Kimmel is pure authoritarianism.
 
Unlike Trump and Republicans, @HouseDemocrats will defend the First Amendment.
 
https://t.co/o4IdhSChYz",en,Tweet,0,11,0,1,385,2025-09-18 21:54:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.cnn.com/2025/09/17/media/jimmy-kimmel-charlie-kirk-trump-fcc-brendan-carr,,
'1968731883514020211',"#NationalAppChallengeDay is here! 

Students in CA-08 have until October 30th to submit their applications.

The Congressional App Challenge is your chance to shine and contribute to the future of technology! 

https://t.co/ZFF8v74pke https://t.co/76YQcj9b4A",en,Tweet,0,3,0,1,337,2025-09-18 18:40:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NationalAppChallengeDay,https://www.congressionalappchallenge.us/,photo,https://pbs.twimg.com/media/G1JXNtcXUAQobyu.jpg
'1968726158381297696',"ICE detained Harjit Kaur—a 73-year-old grandmother who’s lived in the U.S. for 30 years, has no record, and checked in every 6 months for 13 years.

Under Trump’s cruel policy, she’s now cut off from her family and medication.

@RepLSimon and I are fighting for her.

https://t.co/U1p9nL2Gpw",en,Tweet,0,17,7,3,818,2025-09-18 18:17:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968717992096653558',"This week, I met with @CCTA to discuss how we can deliver better roads, safer bridges, and better transit.

Investing in our infrastructure means investing in the future of our communities. https://t.co/6RaM2i9QZv",en,Tweet,0,4,0,1,330,2025-09-18 17:45:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JKlBpWcAgRl1r.jpg,https://pbs.twimg.com/media/G1JKlBbWcAg7WWR.jpg,https://pbs.twimg.com/media/G1JKlBQWcAEj8JL.jpg,https://pbs.twimg.com/media/G1JKlBXWcAQbxUK.jpg"
'1968434315986973180',"Republicans would rather shut down the government than fund your healthcare.

If their partisan spending bill passes 24 million people could see their health insurance premiums rise up to 75%.

Come to the table, do the right thing.",en,Tweet,0,9,4,4,579,2025-09-17 22:58:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968308098759836140',"It’s unacceptable that ICE forcibly took Harjit Kaur, a 73-year-old grandmother with no record, from her community.

She does not deserve detention and should be allowed to self-deport.

I’ll keep doing everything I can to support Ms. Kaur and her family. https://t.co/WqXhvoOKOL",en,Tweet,0,18,10,7,1374,2025-09-17 14:36:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968307919109189632/vid/avc1/1080x1920/qemP95PGvPDBqQcd.mp4?tag=21
