tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970232384726450414',"To all those celebrating Rosh Hashanah in #NY02 and across the country, may this new year bring peace, health, and prosperity to you and your families. Shanah Tovah. https://t.co/eZHRyBxd9X",en,Tweet,1,6,6,1,478,2025-09-22 22:03:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#NY02,,photo,https://pbs.twimg.com/media/G1ej2kmWcAA7biY.jpg
'1970218856464687404',Americans deserve more choice in how they invest for retirement. That’s why I joined my @FinancialCmte colleagues in calling on @SECGov Chair Atkins to support @POTUS’ EO to expand 401k options and put investment decisions in the hands of the workers saving for their future.,en,Tweet,2,14,8,15,2938,2025-09-22 21:09:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970174016271810940',"Grateful to @RepPatRyan, @RepMikeLawler, @RepNicole, @RepLaLota, @RepTenney, and @RepJoeMorelle for joining me in this effort. 

We stand united to confront the crisis of veteran and servicemember suicide and to honor those we’ve lost. More here ➡️https://t.co/lGVliGniHy",en,Reply,0,3,2,0,216,2025-09-22 18:11:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://garbarino.house.gov/media/press-releases/garbarino-ryan-lead-resolution-recognize-suicide-awareness-and-remembrance,,
'1970174014178959398',"Too many of our nation’s heroes return home only to be lost to the unseen wounds of war.

That’s why I introduced a resolution to officially recognize the Suicide Awareness and Remembrance Flag and to designate Sept. 22 as National Veterans Suicide Awareness and Remembrance Day. https://t.co/Lh0JBgMkqM",en,Tweet,0,6,5,3,423,2025-09-22 18:11:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1d0qjUXcAASvZL.jpg
'1969023683277496561',"On POW/MIA Recognition Day, we honor America’s prisoners of war, those still missing, and the families who bear their sacrifice. You are not forgotten. https://t.co/h1ekgs47KP",en,Tweet,0,10,3,6,358,2025-09-19 14:00:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JrllJWEAAkvzd.jpg
'1968702183852896321',Happy 78th Birthday to the @usairforce! https://t.co/J6kUp1R3Dt,en,Tweet,0,5,1,3,384,2025-09-18 16:42:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1I7zJKXgAAn1Vz.jpg
'1968310297409757584',"Today we celebrate Constitution Day, honoring the signing of the document that laid the foundation of our great Republic.

The Constitution set the framework for our democracy, secures our freedoms, and stands as a testament to the strength of the American people. https://t.co/hEMr88yZpO",en,Tweet,0,12,2,6,755,2025-09-17 14:45:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DV-EqWYAAnFUF.jpg
'1967704881327636736',I’m thankful that a strike has been averted and that negotiations will move forward. I urge all parties to remain at the table and reach an agreement for the sake of the hundreds of thousands of Long Island commuters who rely on the LIRR every day. My office will continue to closely monitor the situation as it progresses.,en,Tweet,0,4,1,5,807,2025-09-15 22:39:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966170527363670242',"I joined @MorningsMaria this morning to honor the lives lost 24 years ago today and to highlight the tens of thousands still suffering from 9/11-related illnesses. 

This summer, we lost my friend Jamie Atkinson to that fight. Congress must safeguard the @WTCHealthPrgm to give heroes like Jamie the care they need to face this battle.",en,Tweet,1,14,4,3,1169,2025-09-11 17:02:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966166329582329856/vid/avc1/1920x1080/pIPt5-THomcbvOS4.mp4?tag=21
'1966121148732572112',"24 years ago at 8:46 AM, Flight 11 struck the North Tower of the World Trade Center, marking the start of the deadliest terror attacks on U.S. soil. In the hours that followed, 2,977 innocent lives were taken in New York City, at the Pentagon, and in Shanksville.

Today, we honor their memories and all those still suffering the lasting impacts of September 11, 2001.

We will #NeverForget.",en,Tweet,2,27,9,5,2981,2025-09-11 13:46:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kPASyWMAAUYsM.jpg
'1965890878926630933',"My prayers are with Charlie Kirk’s wife and two young children as they endure this heartbreaking loss. There is never an acceptable justification for political violence, and this assassination of a public figure is a tragedy that must be unequivocally condemned by all.",en,Tweet,1,27,12,7,2119,2025-09-10 22:31:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965862205506887883',"Thank you to @RepJoshG for co-leading this Resolution and @RepLaLota, @RepMikeLawler, @RepTenney, @RepNicole, and @RepLangworthy for joining us in this effort to preserve the memory and lessons of 9/11 and ensure our nation never forgets.",en,Reply,0,1,0,0,649,2025-09-10 20:37:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965862203296530724',"September 11, 2001, changed our nation forever. For future generations who did not live through that day, we must keep our promise to “Never Forget.” 

I’m calling on all 50 states to require 9/11 education in schools. ⬇
https://t.co/URv9eXlGKd",en,Tweet,0,6,1,4,990,2025-09-10 20:37:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://garbarino.house.gov/media/press-releases/garbarino-calls-all-50-states-require-911-curriculum-schools,,
'1965535699324542977',"On September 11, 2001, nearly 500 innocent Long Islanders were taken from their families and loved ones, never to return home. 

May we Never Forget their names, their stories, and their sacrifice.
https://t.co/HqPHorIX6n",en,Tweet,1,8,4,6,1638,2025-09-09 23:00:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://projects.newsday.com/feature-grid/long-island/911-victims-memorial/,,
'1965080229971657013',"Twenty-four years later, our 9/11 heroes and survivors are still paying the price. Nearly 50,000 are now battling cancer.

Protecting the @WTCHealthPrgm is a moral imperative to honor their sacrifice and ensure they receive the care they earned. 

https://t.co/rM0ib99ZG4",en,Tweet,0,5,3,2,444,2025-09-08 16:50:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://nypost.com/2025/09/06/us-news/number-of-first-responders-others-with-cancers-linked-to-sept-11-skyrockets/,,
