tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970586863430713830',Dangerous and un-American.,fr,Tweet,0,10,1,7,901,2025-09-23 21:31:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970520533247873435',"Trump telling Republicans not to work with Democrats on a budget is a huge problem.

We need a bipartisan budget to keep the government open and protect healthcare for millions of Americans.",en,Tweet,1,9,1,7,1517,2025-09-23 17:08:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970506585542693335',"Political retribution is never the answer. Glad to see Kimmel back on air. I will say, the Truth Social post from Trump to “Pam” was one to remember. Did he think it was an email?

Regardless, very bad. https://t.co/gyTwWeUYcm",en,Tweet,0,3,2,1,455,2025-09-23 16:12:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970506441405456385/vid/avc1/720x1280/WcWqRjjr_nZjthGe.mp4?tag=21
'1970497421886275646',Trump’s shutdown will hurt American workers and our economy - and millions will lose their healthcare.,en,Tweet,0,19,7,4,1605,2025-09-23 15:36:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970479803095527896',"Utility bills are going up, making the affordability crisis in America even worse.

One of the reasons: we’re all paying for these massive AI data centers. We’re digging into this and other drivers of higher costs. We have to solve this. Huge issue.",en,Tweet,0,4,1,1,812,2025-09-23 14:26:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970254417652793491',"Grateful to spend Rosh Hashanah with my family, deep in prayer, and reflecting on how we can bring more love, compassion, and grace to our community during these tough times. 

May this year bring healing and hope to you all. L'Shanah Tovah. https://t.co/bnaLg6tDBa",en,Tweet,0,14,2,0,697,2025-09-22 23:30:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e_800WcAAOaWK.jpg
'1970205468459958516',My statement on the Unilateral Recognition of a Palestinian State. https://t.co/LNyCVI9hE3,en,Tweet,1,16,1,13,2494,2025-09-22 20:16:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eTXeyXkAAzRuo.jpg
'1970164631886082149',👇🏼,art,Tweet,0,7,0,2,920,2025-09-22 17:33:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970155871029330255',Read the Pledge: https://t.co/uZKZl0K6eN,en,Reply,0,1,0,2,275,2025-09-22 16:58:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://open.substack.com/pub/davidpepper/p/landsman-a-pledge-to-america?r=37xnry&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false,,
'1970155868495765729',"America needs shared purpose, something to believe in and work on together.

We need a clear and compelling roadmap for the future. This is our “Pledge to America.” 👇🏼 https://t.co/4PmC2jLjDY",en,Tweet,0,4,1,2,493,2025-09-22 16:58:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dmCSRXwAAcCVW.jpg
'1969148647485927562',"The majority has two weeks to pass a budget and protect people's health care. 

That's it.",en,Reply,0,4,1,0,367,2025-09-19 22:16:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148642998030555',"In our state, 
➡️ 500,000 Ohioans will see their health care costs go up.
➡️ 120,000 Ohioans will lose their health care.",en,Reply,0,1,1,3,377,2025-09-19 22:16:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148638526906672',"If they do,
➡️ 20 million Americans will see their premiums go up
➡️ 4.2 million Americans will lose their health care",en,Reply,0,1,0,1,59,2025-09-19 22:16:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148634072576452',Those subsidies are set to expire at the end of the year.,en,Reply,0,1,0,1,45,2025-09-19 22:16:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148629207179550',"3. The path forward is really simple — we just want to protect health care.

And when we say health care, we're talking about the Affordable Care Act subsidies that make it affordable.",en,Reply,0,1,1,2,81,2025-09-19 22:16:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148624211775679',"To get this done, the majority will have to sit down with Democratic leaders and work out a budget.",en,Reply,0,1,0,1,52,2025-09-19 22:16:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148621133152484',"2. This budget has to be bipartisan – it’s the only way it can get passed.

The problem is, Trump told Republicans not to work with Democrats.",en,Reply,0,1,0,1,60,2025-09-19 22:16:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148616091545787',"Small businesses can’t access federal grants they rely on, veterans won’t get all the care they need, and historically, government shutdowns have always hurt the economy.",en,Reply,0,1,0,1,54,2025-09-19 22:16:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148611851169814',"Millions of federal workers will have to go to work and not get paid, or they'll be sent home and not get paid.",en,Reply,0,1,0,1,51,2025-09-19 22:16:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969148606373330989',"1. It's terrible for workers, veterans, small businesses, and the economy. https://t.co/S92CNXUSXm",en,Reply,0,2,1,1,121,2025-09-19 22:16:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969148544633147392/vid/avc1/720x1280/VDZBGZCqaGkxIG4P.mp4?tag=21
