tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970574001073455596',"Cancer has impacted nearly every American in one way or another. As Chairman of @HouseCommerce, I am committed to supporting new advancements in detection and treatments for those living with cancer.

Take a look at our Committee's work last week. ⬇️
https://t.co/ZC7ZeFnXow",en,Tweet,0,1,1,4,523,2025-09-23 20:40:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.wnky.com/congressman-brett-guthrie-discusses-health-in-energy-and-commerce-committee-hearings/,,
'1970507090390077557',"On this Gold Star Families Remembrance Week, we honor the men and women who laid down their lives in service to our nation.

Last week, I met with family members of servicemembers who died while on Active Duty from #KY02. We will never forget the sacrifice of these families and their loved ones.",en,Tweet,0,2,0,1,339,2025-09-23 16:14:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#KY02,,photo,https://pbs.twimg.com/media/G1iiq6ZXcAA6ETh.jpg
'1970174086476374462',"I had a jam packed time working on behalf of #KY02 last week! Read about some of the highlights in the latest edition of Brett’s Bulletin.👇
https://t.co/mILA1ppOIA",en,Tweet,0,1,0,0,368,2025-09-22 18:11:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#KY02,https://guthrie.house.gov/news/email/,,
'1969437083652481159',"As Chairman of @HouseCommerce, one of my top priorities is ensuring our energy grid is both resilient and reliable to meet our growing energy demand.

Thank you to the nation’s largest supplier of cable, who has a plant in Hancock County, Southwire, for meeting this week to discuss what you are doing to support the growth of our energy industry.",en,Tweet,0,6,1,1,733,2025-09-20 17:22:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1TYVLtWgAAtMml.jpg
'1969101040076063194',Busy week in @HouseCommerce. Take a look at all we accomplished! ⬇️,en,Tweet,0,2,1,0,1117,2025-09-19 19:07:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969060637125857711',"Without investing in our energy grid, America’s energy dominance is at risk. Last night, the House passed @HouseCommerce’s GRID Power Act to prioritize projects that improve grid reliability and resiliency. This isn’t just an important step for American energy, but for our national security!",en,Tweet,0,3,0,7,385,2025-09-19 16:26:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OA-p8XsAAlL3r.jpg
'1968791029613478026',"Under the Biden-Harris Administration, reckless energy policies saw the cancellation of essential new energy projects and a war on coal-powered energy. 

Not on the @HouseGOP’s watch. The House just passed H.R. 3062 and H.R. 3015 to assert Congressional oversight over cross-border infrastructure and to re-establish the National Coal Council. These bills are a huge win for America’s energy dominance.",en,Tweet,1,85,27,24,9513,2025-09-18 22:35:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1KEY3UWcAAPuww.jpg,https://pbs.twimg.com/media/G1KEaAoWQAAN1k-.jpg"
'1968771298294906900',"Earlier today, the @HouseCommerce Subcommittee on Health held a hearing to examine several bills that would enhance Americans’ access to breakthrough health care technologies, including a bill to allow Medicare coverage for multi-cancer early detection tests.
 
Special thank you to #KY02’s Kim Lindgren with @ACSCAN for being in Washington to advocate for these important policies!",en,Tweet,0,9,4,2,1020,2025-09-18 21:17:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/amplify_video/1968762358848786432/vid/avc1/1280x720/TcSUzb7ZK7UsZmrb.mp4?tag=21,,"
'1968709092391731644',"We don't need to compete with Europe to regulate. We need to compete with China to innovate. 

This morning, I sat down with @PunchbowlNews to talk about the work @HouseCommerce is doing to ensure America wins the race for AI against China.⬇️ https://t.co/0anlarUlse",en,Tweet,1,38,12,14,18884,2025-09-18 17:09:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968707740588470272/vid/avc1/888x500/a-mwdByFkUvpvC8r.mp4?tag=21
'1968435138838040810',"Busy day of meetings with Kentuckians here in D.C. today. Thank you to the Kentucky Sheriffs' Association, KY Association of Equipment Manufacturers, eBay CEO Jamie Iannone &amp; sellers from Glasgow, Kentucky Head Start, and more for making the trip to advocate for Kentuckians. https://t.co/Cac3D7Sd9Q",en,Tweet,0,4,4,0,602,2025-09-17 23:01:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1FA85mW4AA8sf4.jpg,https://pbs.twimg.com/media/G1FA-UoWoAEx4M6.jpg,https://pbs.twimg.com/media/G1FBACGWMAAFEp7.jpg,https://pbs.twimg.com/media/G1FBCMeWQAAPK5M.jpg"
