tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970623310905123147',I want to make your next trip to the grocery store cheaper. My No Tariffs on Groceries Act will do just that. https://t.co/e0nMNCAObn,en,Tweet,0,9,2,9,885,2025-09-23 23:56:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970623096466849792/vid/avc1/1080x1080/KMvsroqDN3cVh-Ex.mp4?tag=21
'1970263203499421763',https://t.co/Slv8BlTZSZ,zxx,Tweet,0,7,3,3,766,2025-09-23 00:05:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fH8LkWgAEDJl6.jpg
'1969925349690560940',"🎥Watch: Standing on the House floor to honor Michigan’s community violence intervention workers, who save lives every day.

Their work, supported by CVI funding, helped cut shootings & homicides in Detroit by 30% this summer. 

Under Trump, their work is on the chopping block. Congress must act to restore CVI funding.",en,Tweet,0,5,1,6,1172,2025-09-22 01:42:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969925256224612352/vid/avc1/1964x1080/5MyXCmfVK-fTOcQK.mp4?tag=21
'1969181778557522143',"As a proud member of the @Labor_Caucus, on #NationalTradesmenDay, I'm taking a moment to recognize the incredible trades workers who build and maintain our communities across our state. Michigan is home to the best trades workers in the country. Thank you for all you do! https://t.co/HUZcECKZUl",en,Tweet,0,4,2,1,914,2025-09-20 00:28:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NationalTradesmenDay,,photo,https://pbs.twimg.com/media/G1PwZFLXQAM-hML.jpg
'1969145052262740276',"Maybe while she's in my state, she can finally answer why she hired an unqualified Trump campaign staffer to lead the counterterrorism office.

https://t.co/5uTpeUAAuw",en,Tweet,0,17,2,5,1244,2025-09-19 22:02:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.mlive.com/news/2025/09/kristi-noem-joining-republicans-on-mackinac-island-for-leadership-conference.html,,
'1968755341241336003',"As long as Republicans refuse to help Michigan, count me as a hard no on their CR. https://t.co/ldjX7rOLj8",en,Tweet,0,4,1,3,908,2025-09-18 20:13:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JsGKHXQAECpvY.jpg
'1968653508300726297',Hardworking Michiganders should not be crushed under the weight of high grocery prices thanks to Trump’s chaotic tariffs. That’s why I introduced the No Tariffs on Groceries Act. https://t.co/Mp0dPwXN54,en,Tweet,1,5,2,3,1115,2025-09-18 13:29:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1IP7nTWEAEpjbP.jpg,https://pbs.twimg.com/media/G1IP7nSX0AEsBlm.jpg"
'1968443337599275356',"Groceries are a necessity, and Michiganders are feeling the pain of Trump's price hikes. My No Tariffs on Groceries Act will lower costs for Michiganders. https://t.co/NrgxB2hYSl",en,Tweet,0,13,3,2,1991,2025-09-17 23:33:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968441420814950400/vid/avc1/1350x1080/rFQkcwwVdyO-EC2a.mp4?tag=21
'1968390889262260517',"I hear you, Michigan — Trump’s reckless tariffs are driving grocery prices up and up and up. We can’t afford to let this administration continue down a path that makes everyday essentials even more expensive. That’s why I introduced the No Tariffs on Groceries Act, to lower costs and bring relief to hardworking families.",en,Tweet,23,49,8,70,181817,2025-09-17 20:05:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968390148476776449/vid/avc1/1080x1920/pCi6RK3HIBO4EimO.mp4?tag=21
'1968107616867176548',I’ve said it before and I’ll say it again – the Trump economy does nothing for Michigan workers. https://t.co/OxVA2EIwdh,en,Tweet,0,7,0,8,1349,2025-09-17 01:19:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1AfcnSW0AAyOXa.jpg
'1967948194152886370',"Trump and RFK are playing politics with cancer research funding. This is unacceptable — @SecKennedy needs to resign.

https://t.co/rbFdqQGMFH",en,Tweet,0,6,0,5,1080,2025-09-16 14:46:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nytimes.com/2025/09/14/magazine/cancer-research-grants-funds-trump.html?unlocked_article_code=1.l08.EC0F.LEuurX6gQKLk&smid=url-share,,
'1967657187880448089',"This #HispanicHeritageMonth, we celebrate the Hispanic communities right here in Michigan. Your contributions enrich our culture and make our state stronger every day.",en,Tweet,0,4,1,2,1010,2025-09-15 19:30:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HispanicHeritageMonth,,,
'1967618967360733603',"RFK must resign.

https://t.co/1mgYe0uDY8",en,Tweet,0,5,0,5,937,2025-09-15 16:58:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nytimes.com/2025/09/07/us/politics/kennedy-health-vaccines-cdc.html,,
'1966921363509154250',Protect union jobs! https://t.co/awdkx7AZa3,en,Tweet,0,4,1,10,3127,2025-09-13 18:46:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966921301123059712/vid/avc1/720x1280/AP2w2QLATkNrC7mX.mp4?tag=21
'1966604378057400603',"Our weather is getting more unpredictable every year. Tornadoes are striking the Upper Midwest with alarming frequency, including right here in Michigan. Keeping Michiganders safe is my top priority. That’s why I introduced the TWISTER Act: to modernize and expand NOAA’s tornado research and forecasting, so that we can stay one step ahead of severe weather.",en,Tweet,0,7,2,9,2845,2025-09-12 21:46:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966569015985267011',"You deserve better. Here in Michigan, we understand just how important our union workers are. That’s why I’m fighting for you with my UAW Job Protection Act. https://t.co/IzD9zRhj7j",en,Tweet,69,57,9,173,669556,2025-09-12 19:26:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966568908661395456/vid/avc1/1280x720/eMzv_XmuqVH3Hh3O.mp4?tag=21
'1966531026886246472',"Our auto workers are essential to Michigan, and I’m here to make sure they are protected. This is why I introduced the Union Auto Workers Job Protection Act. https://t.co/vFuB3uzrsb",en,Tweet,0,3,2,2,1725,2025-09-12 16:55:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0qFgojXcAEjWTS.jpg
'1966146054224802117',"On the 24th anniversary of 9/11, we remember the lives lost, keep their families in our hearts, and honor the bravery of first responders who put their lives on the line.",en,Tweet,0,7,2,0,1613,2025-09-11 15:25:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965925846121943531',"We all can have political disagreements, but violence is horrific and unacceptable. I’m keeping Charlie Kirk and his family in my thoughts after this terrible tragedy.",en,Tweet,0,26,2,52,67223,2025-09-11 00:50:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965851494923776100',You won't make children healthy again by cutting pediatric cancer research funding. Resign. Now.,en,Tweet,1,11,1,3,3172,2025-09-10 19:54:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965837442411630982',"I just got off a press conference with Dr. John Prensner about @SecKennedy's devastating cancer research cuts. This is unacceptable, and that’s why I’m calling on RFK to resign. https://t.co/8AVqgCtt0S",en,Tweet,2,16,3,3,1412,2025-09-10 18:59:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965837386727755776/vid/avc1/1080x1920/4LKZjXF-1pge8_fr.mp4?tag=21
'1965782933442298334',"I demanded @SecKennedy stop his dangerous cuts to lifesaving cancer research. Here's what I got back when I called on him to stop cutting cancer research. 

Enough. He needs to resign, now. https://t.co/9GcWQ3z2cY",en,Tweet,1,12,3,3,1621,2025-09-10 15:22:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0fcjTxWgAA63_l.jpg
'1965512488390160889',"Our servicemembers fight for us every day, and now it's our turn to fight for them. 

That’s why I reintroduced the SHIELD Act, legislation I was proud to introduce with my friend Elissa Slotkin last year. This bill ensures our military is equipped to face a new kind of battlefield – one fought online.

The SHIELD Act would provide the tools and training to recognize disinformation from adversaries and other online threats, helping stop extremist conspiracy theories before they take hold. It’s about protecting those who protect us.",en,Tweet,0,3,1,2,873,2025-09-09 21:27:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
