tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970588794199167484',"Yesterday, I hosted an education roundtable with local administrators to discuss the challenges and opportunities facing our students. Their input is invaluable as I work to support our schools and ensure every child has access to a quality education. Thanks to all who participated!",en,Tweet,0,4,0,3,286,2025-09-23 21:39:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jwD0oXwAAVMUF.jpg
'1968784965631443313',"I took to the House floor to pay tribute to Charlie Kirk — a man who loved God, loved his country, and never backed down from standing for the truth. https://t.co/van28QpRiG",en,Tweet,0,29,6,9,976,2025-09-18 22:11:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968784841710723072/vid/avc1/1920x1080/GB-i5yxZZM0OjKjl.mp4?tag=21
'1968781453723849165',Please join me in praying for Senator Banks and his family as they mourn the loss of his brother. 🙏🏻,en,Tweet,0,10,0,2,485,2025-09-18 21:57:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968780931373924760',"📢 Team Houchin is hosting Academy Day at North Decatur Jr./Sr. High School!

🗓 Saturday, September 20, 2025
⏰ Registration at 9:30 AM | Program 10 AM – 12 PM

Middle and high school students — and their parents — are invited to learn more about our nation’s five U.S. Service Academies. Representatives will share about academy life, admissions, service opportunities, and be available to answer questions directly.",en,Tweet,0,3,1,0,245,2025-09-18 21:55:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1KD0f6WwAAsiSb.jpg
'1968400193532956680',"Celebrating #NationalAppChallengeDay! Encouraging #IN09 students to showcase their skills in the Congressional App Challenge. The deadline to register is October 30!

https://t.co/fNL5rhXdqJ",en,Tweet,0,3,1,5,419,2025-09-17 20:42:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#NationalAppChallengeDay,#IN09",https://houchin.house.gov/services/congressional-app-challenge,,
'1968388381206806880',"Families across Indiana and across America are feeling the strain of a housing crisis that continues to drive up costs and limit options. The Affordable HOMES Act is a commonsense solution to get government out of the way, lower costs, and give more families the opportunity to achieve the American dream of homeownership.

https://t.co/PXGtrhoy17",en,Tweet,0,9,1,6,592,2025-09-17 19:55:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968063042719191464',"Every single House Democrat voted to raise taxes on manufacturers and working families. With the Working Families Tax Cuts, @HouseGOP is protecting small businesses from crushing tax hikes and preserving 5.9 million manufacturing jobs.",en,Tweet,2,8,2,3,790,2025-09-16 22:22:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967949565077660065',"Sergeant Larry Barrett bravely served our country, but when he was diagnosed with Alzheimer’s, the VA couldn’t provide memory care near his home. His family was forced to travel hours just to see him. The Larry Barrett Veterans’ Memory Care Act fixes these gaps by allowing veterans to receive memory care near home, requiring faster approval for providers, and expanding support for families. Proud to carry this bill forward in Larry’s name.",en,Tweet,0,23,10,15,1542,2025-09-16 14:51:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967949419107491840/vid/avc1/960x540/U1tpics196uMZcDD.mp4?tag=21
'1967698097842291036',"I'm thrilled to announce that my office has helped return $5 MILLION to hardworking individuals and families in Indiana's 9th District through casework assistance! 
 
If you or someone you know needs help with a federal agency including veterans' benefits, Social Security, Medicare, IRS issues, or passport delays, our team is ready to help.",en,Tweet,0,8,2,1,281,2025-09-15 22:12:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G06q_eNXcAARScW.jpg
'1967622019077320993',"The Trump Administration has launched the $50 billion Rural Health Transformation Fund, opening the application process for states to receive funding. This historic investment will strengthen rural health care and ensure long-term sustainability for our communities. 

https://t.co/iNtVSUk4Yd",en,Tweet,0,5,4,4,1489,2025-09-15 17:10:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
