tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970231658889535567',25% of North Carolina workers regularly work overtime — and President Trump's Working Families Tax Cut eliminates taxes on those extra hours.,en,Tweet,0,2,0,0,151,2025-09-22 22:00:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970231203782447320',"Rural America is stronger under President Trump's Working Families Tax Cut. Family farms get permanent death tax relief. 

Small farms keep their land in the family. And new incentives drive billions into rural communities. 

That’s how we make America grow again.",en,Tweet,0,1,0,0,188,2025-09-22 21:58:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970230268372906326',"The President Trump's Working Families Tax Cut boosts growth, jobs, and wages. It protects or creates 7.2 million jobs, raises real wages by $7,200, and increases GDP by nearly 5% in just four years. 

That’s America First economics delivering results.",en,Tweet,0,2,0,1,159,2025-09-22 21:54:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970228120952115683',President Trump's Working Families Tax Cut means $126 billion more in manufacturing wages. That’s America-first growth.,en,Tweet,0,3,0,0,173,2025-09-22 21:46:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970227955969445970',91% of taxpayers benefit from a larger standard deduction under President Trump's Working Families Tax Cut. That’s commonsense relief for working families.,en,Tweet,0,1,0,0,163,2025-09-22 21:45:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970092783462694934',💪,art,Tweet,0,2,0,0,371,2025-09-22 12:48:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969915470477226233',"Tonight in Moore County, we honored Charlie Kirk. 

In grief, but also in gratitude for his courage and conviction.  His mission lives on. https://t.co/Xvdg5jxWgn",en,Tweet,0,5,0,1,530,2025-09-22 01:03:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1aLrY8XIAA1KEc.jpg,https://pbs.twimg.com/media/G1aLrY3W0AAIyX5.jpg,https://pbs.twimg.com/media/G1aLrY6XkAAwj_1.jpg,https://pbs.twimg.com/media/G1aLrY3WUAAz_EP.jpg"
'1965852944831754382',Pray for Charlie Kirk,da,Tweet,0,5,2,1,824,2025-09-10 20:00:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965188896503071214',"President Trump's Working Families Tax Cut also modernizes air traffic control, improving safety and reliability for travelers.",en,Tweet,0,0,0,0,154,2025-09-09 00:01:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965188855461720419',President Trump's Working Families Tax Cut doubles small business expensing to $2.5 million. That’s growth and hiring that helps families.,en,Tweet,0,1,0,1,176,2025-09-09 00:01:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965188810301440019',"President Trump's Working Families Tax Cut is delivering real results for North Carolina. A typical family of four will gain $7,100–$10,100 in take-home pay. Wages rise by $3,500–$6,400. 

Seniors, nearly 2 million of them, will pay no taxes on their Social Security. One in four workers regularly work overtime and will now keep more of those extra hours. 

Tipped workers — 5% of our labor force — keep more of their pay too. President Trump's Working Families Tax Cut protects 206,000 jobs, boosts manufacturing, and gives relief to 153,000 small businesses. 

This bill isn’t about Washington talking points. It’s about real dollars and real relief for North Carolina families.",en,Tweet,0,0,0,1,177,2025-09-09 00:01:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965187499489480825',@SpeakerJohnson @NRCC This didn’t have to happen.,en,Reply,0,3,0,0,113,2025-09-08 23:56:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965187335282151436',"Once again, soft-on-crime Democrat Roy Cooper has chosen silence after his reckless policies cost an innocent North Carolinian refugee her life.

The murderer who brutally stabbed Iryna Zarutska on the Charlotte Light Rail had a rap sheet going back nearly two decades — including armed robbery and threats of violence. 

He was released from prison in 2020 after Roy Cooper began granting criminals early release during COVID. Since then, he has been arrested and re-released multiple leading up to this tragedy.

This is the result of Roy Cooper’s empathy for criminals. Instead of keeping violent repeat offenders behind bars, Cooper caved to the far left, put politics above public safety, and left families across North Carolina more vulnerable. His policies are costing people their lives.",en,Tweet,1,2,2,1,839,2025-09-08 23:55:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1963354914773688529',"Do you live in Randolph County?  

Check out the graphic below from the leading non-partisan tax policy nonprofit to see how much money you will save because Republicans passed President Trump's Working Families Tax Cut. https://t.co/lG5RDEeDMP",en,Tweet,0,0,0,1,191,2025-09-03 22:34:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gz884v6WkAAvCGo.jpg
'1958614181911175536',Taxes are going DOWN thanks to the One Big Beautiful Bill! https://t.co/aOkzw3hq5j,en,Tweet,1,12,2,5,1379,2025-08-21 20:36:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gy5lN83XEAAZwwv.jpg
'1958197540425244977',It was great to hear from small business owners about how The One Big Beautiful Bill Act will help them and our local communities!,en,Tweet,0,5,1,0,841,2025-08-20 17:00:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1956508505692651589',"Gavin Newsom failed to solve the homelessness, crime, drug, and cost epidemics plaguing the Golden State. 

Now he is shredding California’s Constitution and disenfranchising voters to prop up his Presidential ambitions. Californians oppose Newsom’s stunt because they won’t let a self-serving politician rig the system to further his career. 

The NRCC is prepared to fight this illegal power grab in the courts and at the ballot box to stop Newsom in his tracks.",en,Tweet,0,22,8,1,1822,2025-08-16 01:09:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1949813988906213546',"Roy Cooper spent decades dragging North Carolina left and now he wants to do the same to America. 

Roy Cooper supports men playing in girls sports and raising taxes on working families. 

Roy Cooper marched with protestors and then let them burn Raleigh. And Roy Cooper assured all of America that Joe Biden was perfectly capable of being President for four more years. 

Roy Cooper doesn’t want to make America great again, he just wants to take America Left.",en,Tweet,10,910,519,97,54926,2025-07-28 13:47:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1946368291426996381',"Proud of the incredible momentum @NRCC has built, outraising the Dems with a massive haul.

Our candidates are strong, our message is winning, the American people know their agenda is the Republican agenda, and they are ready to take our country back.",en,Tweet,1,55,13,4,5268,2025-07-19 01:35:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
