tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1968699366849249486',"Happy Birthday to the United States Air Force! 🇺🇸✈️

Grateful for the Airmen past and present who defend our Nation with courage and excellence.",en,Tweet,0,13,2,10,645,2025-09-18 16:31:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965962189707378978',"What MSDNC did today is disgusting and surprisingly, a new low. 

I’ll be reaching out to FCC Commissioner Brendan Carr tomorrow.",en,Tweet,1,79,12,35,2734,2025-09-11 03:14:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965953186289557722',"This afternoon, the world watched one of the leading forces of conservatism and free speech get assassinated. Charlie Kirk articulated conservative views to younger generations clearer than anyone. 

Solving political differences through violence has no place in our Nation, and these instances are becoming far too frequent. We must do better.

Those of us who value free speech and conservative values vow to carry Charlie’s torch and pass it on for generations to come. 

Our prayers are with the entire Kirk family, his friends, and all those he impacted throughout his life.",en,Tweet,0,22,7,8,1562,2025-09-11 02:38:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965868153709408614',"Please pray for Charlie Kirk and his young family. 

Solving political differences through violence has no place in our Nation and these instances are becoming far too frequent. 

We must do better. https://t.co/H9sO7XHoCx",en,Tweet,1,21,3,2,1632,2025-09-10 21:01:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0gqqmtWgAEosxe.jpg
'1964446747465306463',"Today, I had the distinct honor of hand-delivering a letter from President @realDonaldTrump to fellow Marine Corps Veteran and local hero, Derrick Perry.

While Derrick doesn’t seek the spotlight, his service and sacrifice embody the very best of our Nation, and he is truly deserving of the recognition.

It was an honor to have breakfast with both he and Katrina and talk about life, the Marine Corps, service, and most importantly - his poise and proactive response against the senseless stabbing at the Traverse City Walmart. 

President Trump said it best:

“There is no doubt that you have maintained your track record of selfless heroism as a Veteran of the United States Marine Corps. The values you learned during your time in the military have certainly translated to your civilian life as you continue to protect and defend the American people.

“Your unwavering leadership has ensured mission success and represented the very best of our great Nation.”",en,Tweet,0,13,1,34,1125,2025-09-06 22:52:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0Md5eXXMAARzmx.jpg,https://pbs.twimg.com/media/G0Md5eVW8AAn-e5.jpg"
'1952418067117658117',"For three summers in a row, residents in my District have dealt with hazardous air quality, limited outdoor activities, and real threats to public health - all caused by wildfires burning across the border. 

It’s time for Canada to take this seriously and implement the forest management strategies needed to protect both their citizens and ours. 

https://t.co/P3LexiLK9U",en,Tweet,2,58,9,74,9274,2025-08-04 18:15:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1952400669262172252',"Locking up over 100 Pakistani opposition leaders isn’t what democracies do. The United States should reevaluate its stance towards Pakistan’s military led crackdown on civil discourse and human rights.

https://t.co/jHdA8mWBbA",en,Tweet,196,19639,8808,772,751504,2025-08-04 17:06:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.bbc.com/news/articles/c4gzj4p7p64o,,
'1947781617411342851',"While the damage cost to electrical infrastructure alone in Northern Michigan is in the hundreds of millions of dollars, this is a good first step - and I will continue working together with the President, our Congressional Delegation, the Governor, and our partners in the State Legislature to ensure the best possible outcomes for our communities.",en,Reply,0,8,0,14,3549,2025-07-22 23:11:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1947781615104446682',"I’m heading into the White House now- and I plan to personally thank President @realDonaldTrump and his team for just now approving $50 million in FEMA Public Assistance for our counties affected by the devastating ice storm. 
1/",en,Tweet,0,24,2,18,5178,2025-07-22 23:11:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1938605300405186843',"Looking forward to joining “National Report” on @NEWSMAX at 11:00. 

Tune in! https://t.co/9rYId0Utav",en,Tweet,1,8,1,75,3664,2025-06-27 15:28:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GudPPqUWIAA8SCs.jpg
