tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970595066273014244',"Every season we display scenes from the district in our office. This week we said goodbye to summer and embraced Autumn 🍂
Nobody does leaf peeping, apple cider, sweater weather and fairs better than CT05 https://t.co/J1FWZ0KHLX",en,Tweet,0,8,3,1,541,2025-09-23 22:04:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1j1xLxWoAA0Z94.jpg,https://pbs.twimg.com/media/G1j1xL2XgAAMmKh.jpg,https://pbs.twimg.com/media/G1j1xLyWMAA81KR.jpg"
'1970574861866311711',The Gun Violence Prevention Task Force continues to meet in an attempt to find any way to work with our colleagues to address the gun violence epidemic. https://t.co/l4UaSI9SuP,en,Tweet,1,8,2,2,517,2025-09-23 20:43:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jjZIZXEAA6Tq3.jpg,https://pbs.twimg.com/media/G1jjZIdWoAAmxD9.jpg,https://pbs.twimg.com/media/G1jjZIXXMAAZE0s.jpg,https://pbs.twimg.com/media/G1jjZIeWUAAY5O8.jpg"
'1970540820009730110',"The USDA announced the termination of the annual Household Food Security Report, critical data on hunger in the U.S. Without this report, insight into the scope and severity of food insecurity will be lost. Refusing to collect the data, does not make the hunger crisis go away. https://t.co/E3bZnLPxnS",en,Tweet,1,3,4,8,422,2025-09-23 18:28:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970540734366261248/vid/avc1/1080x1920/YHGNnU2d2IPHkWEW.mp4?tag=21
'1970515005230530933',"The cost of healthcare will soar for millions as programs are cut and costs rise.
 
@HouseDemocrats stand united in rejecting this Republican budget and calling for bipartisan negotiations. https://t.co/E4Itb5ZUwj",en,Tweet,0,6,2,6,401,2025-09-23 16:46:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1is9AhW4AAo22G.jpg,https://pbs.twimg.com/media/G1is9AqWsAANPQN.jpg,https://pbs.twimg.com/media/G1is9AmWkAAsFmy.jpg,https://pbs.twimg.com/media/G1is9AgXoAEKAGj.jpg"
'1970262166419931195',"Wishing all those celebrating Rosh Hashanah in #CT05 a happy, healthy and sweet new year. May this season of renewal bring you and your family peace, happiness and good health. https://t.co/CtM9NcDzpg",en,Tweet,0,2,0,3,510,2025-09-23 00:01:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#CT05,,photo,https://pbs.twimg.com/media/G1fG_3bXQAA8ttv.jpg
'1970184515470397552',"It is great when casework produces positive outcomes. This time we helped John from Newtown get a resolution from the VA. 
If you need help with securing military records, VA benefits, service medals and more, please contact my office: https://t.co/iOBW2tI3Dw https://t.co/xa0VBFHpoW",en,Tweet,0,6,1,4,453,2025-09-22 18:52:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://hayes.house.gov/help-with-a-federal-agency,video,https://video.twimg.com/amplify_video/1970184457215700994/vid/avc1/1080x1920/O_tQdgTdTsGN_F76.mp4?tag=21
'1970131269456478443',"What does the One Big Beautiful Bill mean for Connecticut?

+50k residents statewide will lose coverage over the next decade
11k in the City of Waterbury will lose coverage
Higher health care costs & insurance premiums
Reduced services

All this for tax breaks for the ultra-wealthy.",en,Tweet,0,5,4,10,937,2025-09-22 15:21:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1dP8rhW0AA2faS.jpg
'1969506617218535801',"We heard from agriculture, clean energy, human rights, &amp; child safety advocates this week.

Your input is vital to our work. https://t.co/PkB0hFCgdP",en,Tweet,0,5,1,7,591,2025-09-20 21:59:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1UX0rVXgAAfVrs.jpg,https://pbs.twimg.com/media/G1UX0rKXQAAa0I6.jpg,https://pbs.twimg.com/media/G1UX0rLX0AAqr-G.jpg,https://pbs.twimg.com/media/G1UX0rPWgAAEZZ0.jpg"
'1969443937543741480',"I am thrilled to announce $210,000 in federal grant funding for Northwest Hills Council of Governments in #Litchfield. This funding will help bring together the public and private sectors in creating an economic development roadmap to diversify and strengthen the regional economy.",en,Tweet,1,5,1,1,501,2025-09-20 17:49:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Litchfield,,photo,https://pbs.twimg.com/media/G1Te0kKX0AArDPc.jpg
'1969076943032144147',I voted no on the Charlie Kirk Resolution. Read my full statement: https://t.co/nmNyMpL4iB,en,Tweet,2,31,6,46,3821,2025-09-19 17:31:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://hayes.house.gov/2025/9/hayes-issues-statement-on-resolution-honoring-charlie-kirk,,
