tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970627001863082187',"Natural gas prices are up 13.8%. Electricity prices are up 6.2%.
 
The cost of groceries went up last month at its fastest rate in three years.
 
Inflation INCREASED last month, the fastest pace since January.
 
Stop lying.",en,Tweet,2,69,29,47,4874,2025-09-24 00:11:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970600341709173013',"Renewables like wind and solar generate cheap energy and create jobs.

Trump wants Americans to pay more for energy and to cede good-paying manufacturing jobs to China.

For Trump it's not America first—It's America last.",en,Tweet,0,34,9,9,2553,2025-09-23 22:25:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970590578523152779',"Why are food prices rising?

Because of Trump’s tariffs, climate change, and a shortage of farm workers.

Let’s face it: Trump’s agenda—reckless tariffs, denying climate change, mass deportations—is driving up costs for American families.
https://t.co/XVwcRoXFR9",en,Tweet,1,110,58,96,6030,2025-09-23 21:46:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cbsnews.com/news/rising-food-prices-us-tariffs-climate-labor-shortage/,,
'1970518021107273952',"The cost of essentials like housing, food, health care, and electricity is outpacing inflation.

Trump promised to cut these costs but is instead launching trade wars, seeking retribution against “enemies,” and injecting chaos into our economy.
https://t.co/VxWjuq0Dnp",en,Tweet,1,18,6,4,1014,2025-09-23 16:58:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/business/2025/09/21/inflation-utilities-housing-healthcare/,,
'1970477851431538867',"The cost of coffee has jumped nearly 21% compared to a year ago.

A big reason is Trump’s 50% tariff on goods from Brazil—the world’s largest coffee producer and America’s main supplier.

This is Trumpflation.
https://t.co/8JrauwI3JW",en,Tweet,3,120,67,41,3076,2025-09-23 14:18:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cnn.com/2025/09/12/food/coffee-prices,,
'1970285735862481356',"The cost of groceries last month went up at its fastest rate in three years.

Trump keeps claiming grocery prices are coming down, but grocery bills don’t lie.
https://t.co/0foxAxA0SY",en,Tweet,4,145,80,49,3712,2025-09-23 01:35:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.axios.com/2025/09/11/trump-tariffs-grocery-prices-rise-cpi,,
'1970257298443374870',"Trump’s “Border Czar” Tom Homan, leading Trump’s destructive ""mass deportation"" effort, was caught last year taking a $50K cash bribe to help land Trump admin contracts.

Trump ended the investigation.
https://t.co/fiz2IgzWuV",en,Tweet,1,31,13,5,1528,2025-09-22 23:42:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/national-security/2025/09/21/trump-administration-bribery-probe-homan/,,
'1970250503859904854',"Sending warm wishes to those celebrating Rosh Hashanah in America and around the world.

May the new year bring peace, hope, and joy to all. Shanah Tovah!",en,Tweet,0,24,3,1,1392,2025-09-22 23:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970240105706410354',"Trump forced out a federal prosecutor for being unwilling to bring bogus charges against his so-called “enemies,” replaced him with someone who will, and is now pressuring his AG Pam Bondi to get it done.

He’s using the presidency to target opponents—not to fight for Americans. https://t.co/KFewc42uVK",en,Tweet,1,24,8,3,1314,2025-09-22 22:33:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ey131XcAAHoK9.jpg
'1969757254397386884',"Over 800,000 job cuts have been announced this year—the most since the pandemic.

Businesses are pulling back on hiring as Trump’s chaotic tariff policies and attacks on the Fed fuel economic uncertainty.

Our economy should be moving forward. Under Trump, it's going backward.",en,Tweet,7,369,168,94,5723,2025-09-21 14:35:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
