tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970595160250818807',"An attack on one person’s freedom is an attack on all of us.

That’s what Trump is doing–attacking all of our rights. He is labeling those who disagree terrorists, scum, and enemies of the state.

They want to decide what is hateful, or who can speak.

We can’t be silent. https://t.co/lTL5JKL3Bc",en,Tweet,37,2496,687,858,48291,2025-09-23 22:04:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970595102444699648/vid/avc1/1920x1080/gv55Iy6HnF7mUAwT.mp4?tag=21
'1970570181479981227',"Housing is too expensive &amp; rising costs are hurting too many Coloradans.

I’m hosting a free Affordable Housing &amp; Family Resources Fair. 

If you’re looking for affordable housing or a new home, join me &amp; dozens of community organizations Wednesday!

RSVP: https://t.co/Lvq5R0gVbE https://t.co/tbVSi6YjuO",en,Tweet,0,21,6,9,2047,2025-09-23 20:25:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://crow.house.gov/news/events,photo,https://pbs.twimg.com/media/G1jfIuVWoAAno3h.jpg
'1970523376746717630',"America is at best when our alliances are strong.

When we retreat and isolate ourselves from the world, it hurts our economy &amp; makes us less safe at home.

The President is failing to lead at a critical moment.",en,Tweet,9,743,240,169,15177,2025-09-23 17:19:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970511068687454602',"We must stand for free speech &amp; democracy. 

Trump is exploiting the death of Charlie Kirk to try &amp; silence opponents.

Introducing a bill w/ @ChrisMurphyCT to protect Americans from politically motivated harassment &amp; prosecution by the federal government.https://t.co/KDikGC3616",en,Tweet,13,477,173,340,22975,2025-09-23 16:30:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://crow.house.gov/media/press-releases/crow-introduces-new-legislative-effort-to-protect-free-speech-stop-trump-s-politically-motivated-prosecution-of-critics,,
'1970250600370614414',"Trump is replacing science with conspiracy theories.

This from the same man who once told the American people to inject themselves with bleach.

A complete failure in leadership.",en,Tweet,20,1519,406,494,35893,2025-09-22 23:15:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970217666917880145',A win for free speech.,en,Tweet,16,1175,178,1097,42748,2025-09-22 21:04:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970211417715359761',"Once we start letting those in power decide who has the right to speak, protest, and dissent, we are in a dangerous place.

Whether you are a Republican, Independent, or Democrat–now is the time to stand up and say NO. https://t.co/Vk5uMFsH9q",en,Tweet,34,2915,705,884,40082,2025-09-22 20:39:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970211360890916864/vid/avc1/1920x1080/bF4HIa2xFKo_whFn.mp4?tag=21
'1970164992570716583',Trump’s tariffs mean you’re now paying a hell of a lot more for groceries.,en,Tweet,7,540,151,240,18899,2025-09-22 17:35:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970128981631619090',"A White House official accepted $50,000 in cash from undercover FBI agents as a bribe in exchange for federal contracts.

Pam Bondi and Kash Patel knew. But Donald Trump's administration shut down the investigation.

Pure corruption—top to bottom.",en,Tweet,111,6348,2088,1504,248296,2025-09-22 15:12:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969809552523882531',"Every American must condemn political violence.

We can have real debates and disagree with one another, without attacking and killing each other.

America deserves leaders who work to heal &amp; bring the country together after tragedy, not divide us further.",en,Tweet,7,290,51,346,20156,2025-09-21 18:02:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969527561509069156',"Media corporations, universities, law firms––they’re all shamefully bowing to pressure from Donald Trump.

He is trying to create a culture of fear and intimidation.

But the American people are standing up.

They are saying no and enough is enough. https://t.co/AZD5efO2bc",en,Tweet,27,1536,397,569,41991,2025-09-20 23:22:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969527478176681984/vid/avc1/1920x1080/sBuxYXzWiel3U-PS.mp4?tag=21
'1969484690424770932',"No matter who’s in charge, you have the right to speak your mind, protest, and question authority.

Those fundamental American rights are under attack.

If we lose that right–we all lose it. https://t.co/TJ1YMhaqKG",en,Tweet,62,4622,1021,1276,116825,2025-09-20 20:31:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969484607830499328/vid/avc1/1920x1080/u0SQhrYOY2xRhLTY.mp4?tag=21
'1969451457184190559',"When I was fighting in Iraq &amp; Afghanistan, I needed to know that journalists could ask tough questions to hold those in power accountable.

It's a dangerous moment when our leaders require the press to self-censor their reporting, or face punishment.

Free speech is under attack.",en,Tweet,5,659,194,207,15188,2025-09-20 18:19:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969417373066174651',"Now is the time to stand up for our democracy.

As a paratrooper who led an infantry platoon in Iraq, I often think about the men who fought with me for our country. 

Paratroopers have a tradition—the leader of the unit jumps out of the plane first. Then others follow.

I’m ready to jump.",en,Tweet,35,2114,501,349,36571,2025-09-20 16:04:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969417156270997504/vid/avc1/1920x1080/46UGPp91QFG6TYSG.mp4?tag=21
'1969141169402572918',Trump's actions are hurting our economy &amp; making life more expensive for you.,en,Tweet,1,266,63,87,12632,2025-09-19 21:46:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969093214251405650',"I went to war to defend the rights of people to say things I may disagree with.

What is more American than the ability to question authority? 

Questioning authority is, in fact, our foundation and how we came about as a nation. https://t.co/sg1JPwUgS5",en,Tweet,21,2081,453,414,37076,2025-09-19 18:36:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969093156516884481/vid/avc1/1920x1080/rx2cTVAc9k82r4tF.mp4?tag=21
'1969056895580152032',This didn’t age well. https://t.co/rozDTnbque,en,Tweet,11,918,230,217,20081,2025-09-19 16:12:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N-z9qXsAAa0qb.jpg
'1968825567265845498',"An attack on one person’s freedom is an attack on all of us.

Today, I took to the floor of the U.S. House to speak on why we must stand up to the Trump administration — and how we can work to reunite our country.

Listen: https://t.co/43GPPObE3E",en,Tweet,61,1602,404,712,79664,2025-09-19 00:52:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968825034824118272/vid/avc1/1280x720/FTEsS4T-R-pvguKp.mp4?tag=21
'1968793334714904861',"I went to war three times.

I served and put my life on the line to protect the free speech rights of my fellow Americans, some of whom I disagree with. That’s who we are as a country.

Trump is now trying to silence critics. That’s not what I fought for.

I won't remain silent. https://t.co/PVqLhKjKmj",en,Tweet,1426,66436,13071,4223,1522584,2025-09-18 22:44:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968792834019934209/vid/avc1/1920x1080/lLpIP8iBEC5EjIqi.mp4?tag=21
'1968781282596233714',"We are at an important moment in American history.

This evening around 6p ET, I’ll be speaking on the House floor about the rise of political violence, the concerning state of U.S. politics, and the path forward to unite all Americans.

Tune in: https://t.co/16gZV28yYq",en,Tweet,4,99,23,42,15338,2025-09-18 21:56:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.youtube.com/live/x3yl6CWsClo?si=97MZIxtNHucoJ_gh,,
'1968731163352035715',"Never thought I’d say this, but–

Listen to Tucker Carlson.

Trump is trying to squash political dissent &amp; silence free speech.",en,Tweet,8,179,46,35,9543,2025-09-18 18:37:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968712243496829311',"Tune-in!

About to unveil new legislation w/ @ChrisMurphyCT pushing back against Donald Trump’s attempts to squash dissent and silence free speech.

Watch live: https://t.co/gXhgPvoUqx https://t.co/avuwwIC9ax",en,Tweet,0,69,18,47,3764,2025-09-18 17:22:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.youtube.com/live/8rQFMzIjusI?si=FaA3hLY13b1KxGMK,photo,https://pbs.twimg.com/media/G1JDy4tXQAw6vWQ.jpg
'1968701625096134777',"I will not be silent as Trump tries to crack down on political opponents.

He’s failing to lead or lower the temperature.

He’s dividing Americans, instead of bringing us together.

It’s an outright power grab to reduce the guardrails of our democracy. https://t.co/Y14rJET69s",en,Tweet,50,3134,722,916,47016,2025-09-18 16:40:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968701424335745024/vid/avc1/1920x1080/20OEA47sJxfjEhA_.mp4?tag=21
'1968484509592031303',"We need to call this what it is: censorship. 

Donald Trump is trying to take advantage of the Kirk tragedy to silence opponents. 

We cannot be quiet. https://t.co/7ibV4dejxN",en,Tweet,37,4419,998,3414,98480,2025-09-18 02:17:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1F2OmpWMAAkJ2l.jpg
'1968431420105273759',"America has a gun violence problem.

Mass shootings are traumatizing our children &amp; hurting our communities.

Lawmakers need to take ACTION, not send more thoughts &amp; prayers.",en,Tweet,10,260,84,306,16732,2025-09-17 22:46:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968360204556484843',Trump’s tariff taxes are raising prices &amp; hurting America’s farmers.,en,Tweet,1,124,31,39,6364,2025-09-17 18:03:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968312244082503802',"Umm @SpeakerJohnson–have you met @realDonaldTrump?

Political violence is bad. PERIOD. Condemn it all.

Don’t be hypocritical. Don’t politicize a terrible tragedy. https://t.co/vcajhJ56KX",en,Tweet,3,181,68,50,6986,2025-09-17 14:53:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1DZiv9WIAALz-v.jpg,https://pbs.twimg.com/media/G1DZiv9WkAARqbe.jpg,https://pbs.twimg.com/media/G1DZiwMXkAAW8Py.jpg"
'1968127243550650377',"Donald Trump is threatening to send the Justice Department after the press if he doesn’t like their questions.

This doesn’t happen in democracies.",en,Tweet,24,1310,372,140,35034,2025-09-17 02:37:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968011219199238232',"Charlie Kirk’s murder is horrific. Every American must condemn political violence.

After such a tragedy, past presidents have worked to heal and bring the nation together.

Trump is using this moment to seize power &amp; silence his political opponents.

We cannot be silent. https://t.co/3Z4cDKYYAr",en,Tweet,48,3657,739,1678,84128,2025-09-16 18:56:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968011158066958336/vid/avc1/1920x1080/uKMD9I17rGXKnCd3.mp4?tag=21
