tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970610718027194759',"Today, I joined with other members of the Missouri Congressional Delegation in a letter to Governor Mike Kehoe, Missouri Department of Social Services Director Jessica Bax, and Missouri Department of Health and Senior Services Director Sarah Willson highlighting the Rural Health Transformation Program (RHTP) as a critical lifeline for rural Missouri and calling on officials to incorporate key policies in their application for RHTP resources.

Under the new tax cuts for working families law, the $50 billion RHTP was created to help expand access to care in rural communities. It will help improve the health and well-being of the nearly 60 million Americans that live in rural communities and support critical steps to address the rural health care crisis.",en,Tweet,2,11,5,8,1810,2025-09-23 23:06:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1kD_VKXoAISs33.jpg,https://pbs.twimg.com/media/G1kD_VRWAAEsWSg.jpg,https://pbs.twimg.com/media/G1kD_VPWMAEZ7j2.jpg"
'1970500865908691297',"Americans shouldn’t be forced to subsidize drug costs for the rest of the world.

President Trump is putting American patients first by ending the practice of foreign freeriding and protecting our innovation ecosystem.",en,Tweet,0,25,7,6,2428,2025-09-23 15:49:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970474979725561970',"President Trump and Republicans passed the largest tax cut for working families in American history.

Republicans are the party of working families, and after passing these tax cuts, our tax code now makes it easier to raise a family in America.. https://t.co/ZV2Via1qML",en,Tweet,10,408,95,134,30816,2025-09-23 14:06:59,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1970474936507490305/vid/avc1/1280x720/V2Mbm4ana2ByJjeU.mp4?tag=16
'1969157456971309517',"Life Alliance Organ Recovery’s decision to not appeal HHS’s decision to decertify their facility tells us all we need to know. The Ways and Means Committee’s investigation had uncovered severe allegations of Medicare fraud and patient safety concerns that were too great to overcome. For years, Life Alliance Organ Recovery continued to prioritize their pocket books over their patient’s health, and patients are safer now that this facility is decertified.

I will continue pursuing aggressive oversight into organ procurement organizations to ensure that they are focused on providing life saving services, rather than raising their bottom line.",en,Tweet,2,10,6,3,1953,2025-09-19 22:51:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PaRUTXIAA9Bgv.jpg
'1969048291695300813',"Washington Democrats are DEMANDING that Congress bail out insurance companies with Obamacare subsidies, or they will shut down the government.

These subsidies go directly to insurance companies, not consumers, and would cost $40 billion annually. https://t.co/VElIC6fdIv",en,Tweet,2,29,14,16,1929,2025-09-19 15:37:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969048144592728064/vid/avc1/1280x720/sAwDRvRsoIS4GEvD.mp4?tag=21
'1968826323830235193',"Violence is never the answer, which is why the Ways and Means Committee has been investigating radical organizations that may be abusing the tax code for years now. 

We have already called for the revocation of the tax exempt status of the Alliance for Global Justice a year ago.

https://t.co/9FOzgIq5vb",en,Tweet,1,80,27,12,4341,2025-09-19 00:55:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968724939344891925',"I applaud @SecKennedy and @HHSGov’s actions to decertify the Life Alliance Organ Recovery Agency in Miami, Florida.

The Ways and Means Committee has been investigating organ procurement organizations like Life Alliance given serious allegations of Medicare fraud and multiple lapses in patient safety. These tax-exempt organizations must be held accountable, and I appreciate the Trump Administration standing up for patients and enforcing the law.",en,Tweet,5,23,6,5,3088,2025-09-18 18:12:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JQ4UWXgAA3_0e.jpg
'1968703362297221628',"Democrats complaining about Jimmy Kimmel magically forget that in 2019 and 2020 they repeatedly pressured social media companies to deplatform the sitting President of the United States.

And Democrats cheered when it happened.

We haven't forgotten. https://t.co/AGhTZySRK3",en,Tweet,4,29,7,9,2856,2025-09-18 16:47:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1I7g8VXcAAT1eB.jpg,https://pbs.twimg.com/media/G1I7g8jXQAEnUqk.png,https://pbs.twimg.com/media/G1I7g9GX0AEUmfJ.jpg"
'1968482034700984681',"🚨TUNE IN: Shortly, I’ll be joining @LelandVittert on @NewsNation to discuss the Federal Reserve’s long overdue decision to lower interest rates.",en,Tweet,0,8,1,3,1512,2025-09-18 02:07:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968380573673804174',"I opened today’s Ways and Means Committee markup with a tribute to my friend, Charlie Kirk.

Charlie's faith and dedication to free speech are an incredible inspiration to us all.

His wife, Erika, and two children remain in my prayers. https://t.co/oRTa8hcAgj",en,Tweet,0,73,16,4,1680,2025-09-17 19:24:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968380482564853760/vid/avc1/1920x1080/SK2XyK4wP5RryrMl.mp4?tag=21
