tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970275961385165261',"To all those in #CO05 and across the nation who celebrate, Shana Tova! 

May this new year bring blessings, health, and joy. https://t.co/TaY389v0BR",en,Tweet,0,5,0,1,248,2025-09-23 00:56:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CO05,,photo,https://pbs.twimg.com/media/G1fTDdGWMAAA7nt.jpg
'1970200581919908180',"It was an honor to join Patriot Day in #CO05. 

Thanks to all who have joined in on providing food resources to our military and first responders. https://t.co/Gmf7uJ6tae",en,Tweet,0,9,0,0,285,2025-09-22 19:56:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#CO05,,photo,"https://pbs.twimg.com/media/G1eO-r9W0AA9CMC.jpg,https://pbs.twimg.com/media/G1eO-r1XkAACKk1.jpg,https://pbs.twimg.com/media/G1eO-r_XMAAn-e5.jpg,https://pbs.twimg.com/media/G1eO-r9XIAAeHvQ.jpg"
'1969053335316464056',"The passage of today's seven-week continuing resolution funds our government while Congress works towards an agreement for a full year spending plan.

This ensures that crucial services continue, including those for our military and veterans, while protecting the American taxpayer from increases in bureaucratic spending.",en,Tweet,0,9,3,4,581,2025-09-19 15:57:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969044743351861283',"On POW/MIA Recognition Day, and every day, may we honor and never forget our service members who were prisoners of war and those who are still missing in action.🇺🇸

Freedom is never free. https://t.co/vUP2ueZv7F",en,Tweet,0,10,3,1,324,2025-09-19 15:23:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1NzwVFWIAAuhYu.jpg
'1968724120662589560',"Had the opportunity to welcome our own Colorado Springs Chamber of Commerce on Capitol Hill this week, including giving them a tour of our nation’s Capitol Building. #CO05 https://t.co/oD5OSc1nv8",en,Tweet,0,5,0,2,377,2025-09-18 18:09:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#CO05,,photo,"https://pbs.twimg.com/media/G1JQJy_WYAAg0-f.jpg,https://pbs.twimg.com/media/G1JQJz2XEAAs0nY.jpg"
'1968680280287314157',"Happy 78th birthday to the @usairforce!

Colorado Springs is proud to be home to four Department of the Air Force facilities and thousands of Airmen working every day to dominate the overhead battlefields. 

Thank you for all that you do to keep us safe! https://t.co/RXTfflHLVM",en,Tweet,0,20,5,1,669,2025-09-18 15:15:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1IoN-AWYAAd6rs.jpg
'1968429719105183926',"🚨🚨

As promised, I have continued to engage in productive conversations with the Administration since the Space Command announcement to protect El Paso County. 

I am pleased to share that the White House has committed to bringing new jobs and significant federal investment to our community, strengthening our local economy and preserving Colorado Springs’ status as a leading hub for military space.",en,Tweet,2,41,4,13,2321,2025-09-17 22:39:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968356103215030763',"Today, we celebrate our nation’s founding document, the U.S. Constitution.

May we always use this national treasure to guide our principles. https://t.co/XnQwFwB6yt",en,Tweet,0,18,2,9,537,2025-09-17 17:47:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EBPN2WsAAmE3U.jpg
'1968304292089229529',"Crime is running rampant in Colorado - it's past time that our Governor notices. 

@GovofCO - do the right thing. Put Coloradans first and take action on crime. 

With @repgabeevans and @RepBoebert 👇 https://t.co/oQUV6TBtVV",en,Tweet,10,995,261,85,24694,2025-09-17 14:21:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1DSUj9WIAANLXj.jpg,https://pbs.twimg.com/media/G1DSUkCW4AA4XEp.jpg"
'1968009359444894201',"Last night in our nation’s Capitol Building, I joined my colleagues to honor the life and legacy of Charlie Kirk. 

May God bless the Kirk family. https://t.co/INvtx6ni06",en,Tweet,0,22,0,3,619,2025-09-16 18:49:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_F-HjWEAAC3ZL.jpg
