tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969499815189860714',"For years I have demanded transparency from the City to release what it knew and when about toxins in the air following 9/11.  For years they denied the existence of any critical records. We now know that was a lie. These records hopefully now will be public and provide the truth and long overdue accountability for the devastating decisions that cost thousands of lives.

https://t.co/K24ERfEFg3",en,Tweet,4,75,29,62,5892,2025-09-20 21:32:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969078569813889524',"I could not in good conscience vote for the GOP continuing resolution, which leave tens of millions of Americans facing higher costs and lost coverage.

Democrats put forward a plan to extend ACA tax credits and repeal Medicaid cuts. 

Republicans refused to even negotiate. https://t.co/Q1bBSBKCIN",en,Tweet,40,2705,778,1708,70586,2025-09-19 17:38:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969078465358905344/vid/avc1/1280x720/VEVkpysAUzS_2qjr.mp4?tag=21
'1968779314112893167',"Trump’s latest threat to strip broadcast television networks of their licenses for reporting critically on him is an attack on the First Amendment itself. 

The Constitution does not give presidents the power to decide what press coverage is acceptable. 

Trump's threat is the hallmark of an authoritarian state, not a democracy.",en,Tweet,7,256,88,318,15839,2025-09-18 21:49:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968760186539229380',"When I went to 26 Federal Plaza to exercise my congressional right to conduct oversight, ICE blocked me from entering.

They don’t want the public to see just how inhumane and neglectful the conditions inside truly are.

I welcome the federal court’s decision ordering ICE to improve conditions for detainees at Federal Plaza. 

Now ICE must also allow Members of Congress to do our jobs and conduct oversight on behalf of the American people.",en,Tweet,11,403,161,273,20171,2025-09-18 20:33:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968675733749788932',https://t.co/5oTpcemVlA,zxx,Reply,0,12,6,15,1524,2025-09-18 14:57:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.cnn.com/2025/09/17/media/jimmy-kimmel-charlie-kirk-trump-fcc-brendan-carr,,
'1968675729849118769',"@BrendanCarrFCC forced ABC to bow to Trump and punish Jimmy Kimmel. He must answer for his actions and resign immediately.

Trump and the Republican Party are now the party of censorship. The American people will remember who stood on the side of free speech. https://t.co/NMOYAXvAG7",en,Tweet,1,32,6,22,1839,2025-09-18 14:57:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1IkJK6W0AAGrYd.jpg
'1968046387834105956',"No, @SpeakerJohnson, extending ACA enhanced tax credits isn’t a “December policy issue.” Open enrollment starts Nov 1.

If they’re not extended in time, 15 million will see premiums spike and 3 million will lose coverage.

American families can’t wait. Congress must include this in the CR.",en,Tweet,4,125,61,149,11621,2025-09-16 21:16:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967959337222979734',"Today is National Voter Registration Day! Your voice matters and registering to vote is the first step in shaping the future of our communities and country. If you haven’t registered yet, now’s the time. 

Go to https://t.co/R2SXbGdXZZ to check your registration. Let’s protect our democracy together.",en,Tweet,0,14,4,38,4077,2025-09-16 15:30:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://vote.gov,,
'1967690740915654681',"This kind of divisive rhetoric is beneath the dignity of the office of the Vice President of the United States.

The Vice President’s claim also isn’t backed by evidence. In fact, most data points in the opposite direction.",en,Tweet,420,16854,2672,8777,773803,2025-09-15 21:43:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967672410230149554',"Trump and RFK Jr. have cut hundreds of millions of dollars in cancer research. 

Our country has been the global leader of cancer research for 50 years, and that will come to an end because of this Administration. These cuts will cost lives. 

So much for “Make America Healthy Again”

https://t.co/n6ACu1Yzt7",en,Tweet,6,321,197,201,10083,2025-09-15 20:30:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967583682866332109',"Calling all middle and high school students interested in coding! Submit an app for the 2025 Congressional App Challenge by October 30, 2025.

Learn more: https://t.co/865oqzIVlV https://t.co/HBf1D6M42b",en,Tweet,0,11,2,16,3839,2025-09-15 14:38:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://nadler.house.gov/serving-you/congressional-app-challenge.htm,photo,https://pbs.twimg.com/media/G05C7KuW8AAis_i.jpg
'1966570677713969610',"Yesterday was the 24th anniversary of the 9/11 attacks. For almost 24 years, responders, survivors, doctors, and advocates met monthly to advise on 9/11 health issues.

@SecKennedy has shut those meetings down, frozen research, stalled action on new conditions, and kept the program understaffed.

Our 9/11 first responders and survivors deserve better from their federal government.

https://t.co/I2C9xBJLPl",en,Tweet,5,125,73,59,5151,2025-09-12 19:32:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966541766368039243',"While Democrats work in good faith to keep the government open, Trump tells Republicans: “Don’t even bother dealing with them.”

Republicans control the White House and Congress, and Trump refuses to negotiate.

If there’s a shutdown, they own it.",en,Tweet,10,506,239,450,22267,2025-09-12 17:37:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966126906127811009',"For New Yorkers, 9/11 is a tragedy we carry in our hearts every single day. On the 24th anniversary we feel it deeply.

We will never forgot the horrors of 9/11 and today especially we remember the heroes.

We remember the first responders, those we lost, the survivors, and everyone who fights for their memory. My heart is with New Yorkers and Americans across the country on this solemn day.",en,Tweet,0,67,19,33,4392,2025-09-11 14:09:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0kV_8CXMAAxFVf.jpg,https://pbs.twimg.com/media/G0kV_8cXgAAVIJR.jpg"
'1965857768109494419',Political violence is horrific and has no home in our country. Full stop.,en,Tweet,8,260,43,465,27680,2025-09-10 20:19:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965771767256862867',"Republicans are openly admitting they want 4 million Americans to lose coverage and 25 million to pay higher premiums. 

How can the health and livelihoods of millions of American families mean that little to them? 

If Democrats were in control, these subsidies would already be extended, just as we did in the American Rescue Plan and Inflation Reduction Act.",en,Tweet,8,212,125,106,13288,2025-09-10 14:38:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965556012666245141',"My friend @rweingarten is a courageous trailblazer and a celebrated American Jewish icon. She has fearlessly stood up to confront antisemitism in America and around the world time and time again, as you can see from the receipts below.

By attacking Randi and claiming she “has not said anything about antisemitism,” @RepWalberg’s true motives are showing—he is simply a capitulating pawn in the Trump Administration’s dystopian and chilling attack on academic freedom in our country. 

America deserves an Education Committee Chairman who will take seriously the constitutionally-mandated Congressional oversight responsibility—not a partisan puppet who exploits the dangerous and deadly rise in antisemitism in America to actualize an abhorrent assault on higher education, in service of a repugnant ideological agenda. His words today show us who he really is and are disqualifying as a credible antisemitism investigator.",en,Tweet,2,20,12,11,10244,2025-09-10 00:20:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965106224518897848',"I stand with @AmazonTeamsters as they rally in Queens today to hold Amazon accountable for its unlawful anti-union activity.

The overwhelming majority of drivers at Amazon's DBK4 facility in Maspeth voted to unionize. Amazon responded by cutting their delivery routes. 

@Amazon stop union-busting and start bargaining a fair contract now!",en,Tweet,1,81,30,30,8989,2025-09-08 18:33:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964093701828870237',"I have long championed banning noncompete agreements because they trap workers, hold down wages, and stifle opportunity. I will not give up the fight because American workers deserve the freedom to build better futures without corporate restrictions designed to keep them down.",en,Reply,2,59,13,12,4495,2025-09-05 23:30:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964093699136114753',"Yesterday, the Trump Administration killed an airline rule that would have put up to $775 back in the pockets of American families if flights were canceled.

Today, it dropped the defense of the noncompete ban, protecting corporate power to suppress pay and block workers from better opportunities.

Every single decision out of the Trump Administration puts corporate donors first and leaves American families to pay the price.",en,Tweet,28,558,353,59,38183,2025-09-05 23:30:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964058771757387849',I’m grateful that @GovKathyHochul has acted to ensure New Yorkers can easily get the COVID vaccine after Trump and RFK Jr. shamefully sided with conspiracy theorists over doctors and made it harder for American families to protect themselves.,en,Tweet,4,117,43,102,10259,2025-09-05 21:11:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964036655784018042',"Donald Trump, insulter-in-Chief, recently made comments about me. 

Here's my statement: 

""I’ve known Donald Trump almost as long as he’s known Jeffrey Epstein. I’ve always known him for the charlatan he is. Now I know him as a twice impeached president, convicted felon, and chief insurrectionist. I don’t take anything he says seriously and neither should anyone else.”",en,Tweet,300,22076,5746,2653,667174,2025-09-05 19:43:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964020716992430446',"Unemployment is rising and the country is losing thousands of jobs. Hard working Americans are feeling the effects of Trump’s reckless economic policies and job-killing tariffs. 

These are numbers we haven’t seen since the pandemic — this is entirely Trump’s doing.",en,Tweet,1,37,15,26,5248,2025-09-05 18:40:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964003489031307587',"As I told @ErrolLouis, the Trump Administration has been subverting key Constitutional provisions: civil liberties, spending power, and undermining Congress. 

Republicans have no backbone when it comes to standing up to Trump and will do what he asks at the drop of a hat. https://t.co/5WBfSMt3YG",en,Tweet,1,137,44,143,8377,2025-09-05 17:31:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1964003328473354241/vid/avc1/960x540/k2wqH3l9f3fgo9RO.mp4?tag=21
