tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970577842258722927',"Medical experts overwhelmingly agree that acetaminophen (a·ce·ta·min·o·phen), when used properly, is one of the safest options available to pregnant women. 

Families deserve evidence-based health guidance, not Trump conspiracy theories.",en,Tweet,0,17,7,4,2097,2025-09-23 20:55:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970527734595236040',This guy is delulu.,en,Tweet,43,2679,276,166,172133,2025-09-23 17:36:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970517958414958902',"Republicans are coming for your Social Security and not even trying to hide it.

It’s almost as if their Big Beautiful Bill was written BY billionaires FOR billionaires. https://t.co/YKQsUwet3o",en,Tweet,4,41,22,9,1679,2025-09-23 16:57:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970517802072096768/vid/avc1/1080x1920/G_RPUKBXw9Tk8v55.mp4?tag=21
'1970277787748704730',"Shanah Tovah to everyone in Los Angeles and across the country celebrating Rosh Hashanah. Wishing you all a happy, healthy, and peaceful New Year! https://t.co/R3cE9bMHjB",en,Tweet,0,11,1,1,757,2025-09-23 01:03:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fT5ybX0AAOaO7.jpg
'1970235620355391697',Who do you think Jimmy Kimmel's first guest back will be?,en,Tweet,0,6,2,6,1485,2025-09-22 22:15:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970221430009991435',"BREAKING: Tomorrow, Jimmy Kimmel Live! is BACK. 

But the fight isn’t over against Trump, his cronies, and censorship.",en,Tweet,1,21,5,4,1728,2025-09-22 21:19:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970134878806028563',"If Tom Homan is on tape receiving bribes in exchange for contracts, the public needs to hear the tapes. Now. The DOJ and FBI must come clean.",en,Tweet,0,29,11,3,1725,2025-09-22 15:35:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969840013408936102',"#TeamGomez presented @LACCNP a certificate to celebrate 25 years of serving our community.

While families fear leaving their homes because of ICE, CCNP is delivering essentials and providing services to help them survive. https://t.co/9GylQVJfs7",en,Tweet,0,2,0,3,840,2025-09-21 20:03:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#TeamGomez,,photo,"https://pbs.twimg.com/media/G1ZAtmbWAAA-B_6.jpg,https://pbs.twimg.com/media/G1ZAtmdWsAAbcj8.jpg,https://pbs.twimg.com/media/G1ZBFE1W0AAlLPt.jpg,https://pbs.twimg.com/media/G1ZHDTFWEAAlDh2.jpg"
'1969449975848350000',"Prices are soaring: food, clothing, housing, even health insurance.

Trump's economy is destroying the middle class and driving working families off a cliff. https://t.co/MuZLmgwzwi",en,Tweet,0,12,6,83,3979,2025-09-20 18:13:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969449813360906240/vid/avc1/1440x2560/KSAS7RDuWE6dcJuq.mp4?tag=21
'1969199796180369627',"Look at the date, dumb shits…Trump got banned 2 days after he incited an insurrection that attempted to stop the peaceful transfer of power, and steal an election he lost. And
5 police officers lost their lives because of it. 

Damn. I don’t know who’s behind this account by you dumb.",en,Reply,6,19,0,358,43959,2025-09-20 01:39:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969198514828951876',"Hey Gunthie…it’s been awhile. Trump got banned 2 days after he incited an insurrection that attempted to steal an election he lost, and cost their lives of 5 officers as a result and injured a lot more.  

But of course you forgot about Jan 6th….damn…you’re one big dumb, dumb, gunthie.",en,Reply,11,42,5,647,104051,2025-09-20 01:34:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969195870634578331',"@Suffragent_ Yeah, I said that…..that was 2 days after Trump tried to incite an insurrection to stop the peaceful transfer of power. 

wow, you’re not very bright are you.",en,Reply,7,27,2,400,23491,2025-09-20 01:24:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969104983497773296',What would you rename Trump’s disastrous “Big Beautiful Bill”? https://t.co/UqieRDEYhE,en,Tweet,1,10,2,81,6068,2025-09-19 19:23:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969104793902673920/vid/avc1/1080x1920/yLuG9bqxmIbr1DvM.mp4?tag=21
