tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970618782227083775',"I'm proud to co-sponsor the Protect Our Letter Carriers Act to put a stop to the increasing crimes and assaults committed against letter carriers on the job.

Read more: https://t.co/cPtd3m3FbU",en,Reply,1,5,1,0,317,2025-09-23 23:38:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.congress.gov/bill/119th-congress/senate-bill/463,,
'1970618779735404775',"Our letter carriers do essential work to keep our community connected, and they deserve to feel safe on the job.

We've got to come together to protect our letter carriers and hold those who commit these crimes accountable.
https://t.co/K0gM0BP0mS",en,Tweet,0,9,3,2,2328,2025-09-23 23:38:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://spectrumlocalnews.com/section/the-big-deal/news/2025/09/15/push-to-keep-mail-carriers-safe,,
'1970526339506868577',"Join me live with @evandawson on @WXXINews Connections today at 1:00pm!

As we start the new school year, I'll be joined by @ROCtheFuture's Brian Lewis to discuss our ongoing work to support early childhood education in our community.",en,Tweet,0,4,1,0,340,2025-09-23 17:31:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970513875318489123',"@Oak_Orchard is a lifeline for so many families in our community, providing comprehensive healthcare for neighbors in rural and agricultural communities.

Grateful to spend some time with their team in Brockport today and discuss how we can support their critical work. https://t.co/MizNwui31i",en,Tweet,0,1,1,0,50,2025-09-23 16:41:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1ire3JWIAATE0t.jpg,https://pbs.twimg.com/media/G1ire3HW0AA0K0I.jpg"
'1970492728644354339',"This isn’t a reality show—stop playing around with Americans lives. 

We just want to make sure people’s health insurance costs don’t go up. Let’s figure it out. https://t.co/igVqRC2uvh",en,Tweet,0,6,1,5,407,2025-09-23 15:17:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.cnn.com/2025/09/23/politics/trump-cancels-meeting-democrats-shutdown,,
'1970227695977173449',"Proud to celebrate a $4.2 million investment in high-speed, affordable internet access in our community with @CountyExecBello & @CityRochesterNY.

This means more children can complete their work online, seniors can access telehealth, & businesses can compete in a digital economy.",en,Tweet,0,10,2,4,865,2025-09-22 21:44:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1eneTkWEAAnknc.jpg,https://pbs.twimg.com/media/G1enfDLWMAAHExl.jpg"
'1970195520237732329',Wishing peace and joy to all those celebrating Rosh Hashanah. May the new year be filled with happiness and good health. Shanah Tovah!,en,Tweet,0,9,3,0,647,2025-09-22 19:36:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970138912602661263',"Rochester is at the core of optics in America. 

I joined @AmericomUSA today to discuss how we can keep our community and our country at the forefront of this industry.

I will continue to fight for strong investment in optics research, manufacturing, and workforce development. https://t.co/pGr0TNqIn6",en,Tweet,0,9,1,3,379,2025-09-22 15:51:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dW3VFW8AAogSK.jpg,https://pbs.twimg.com/media/G1dW3yaWsAAiJBm.jpg"
'1969885289981390888',"We’re fighting for affordable groceries and lower health care costs—real help for our constituents.

Republicans control the House, the Senate, and the White House. They have the power to pass a budget.

If the government shuts down on October 1, the responsibility lies with them—and it shows what they truly value.",en,Tweet,0,9,2,2,425,2025-09-21 23:03:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969784271784009835',"Throughout my career, I have proudly stood alongside unions, and I will continue to support their work to uplift workers and families.

Great to be with familiar faces yesterday at SMART Local 46's annual clambake! https://t.co/rQvv6j67Or",en,Tweet,0,6,2,1,639,2025-09-21 16:22:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1YUWtJW4AIe9RX.jpg
'1969569429261357152',I have no words. https://t.co/6fMgAQXIMX,en,Tweet,0,12,2,10,1143,2025-09-21 02:08:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1VQ9TCWAAAvOAU.jpg
'1969559596952956989',"Asking for a friend: so, I can take $50,000 in cash as long as I don’t agree to do anything in exchange for it? Seems reasonable…https://t.co/LODvTt1SaA",en,Tweet,0,6,4,4,650,2025-09-21 01:29:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nytimes.com/2025/09/20/us/politics/tom-homan-fbi-trump.html?smid=nytcore-ios-share&referringSource=articleShare,,
'1969509495966454142',"When I served in the State Assembly in Albany, people would lose their minds if we finished the state budget late. But here in Washington, Congress has only met its deadline once in the last 25 years.

The federal budget process is broken—and I'm working with my @AppropsDems colleagues to fix it.",en,Tweet,0,5,2,3,618,2025-09-20 22:10:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969509267850870784/vid/avc1/1080x1920/d6rbo-9Z73v0lKXR.mp4?tag=21
'1969427482815176993',"""Chaos"" and ""confusion"" are the last word we should use to describe our public health process.

We need to listen to science and respect the long-standing decisions of public health experts—not put patients' lives at risk. https://t.co/9DiOex8A98",en,Tweet,0,6,1,2,345,2025-09-20 16:44:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nytimes.com/2025/09/19/health/cdc-vaccines-mmrv-hepatitis-b.html,,
