tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970202933007421885',"This morning, I had the honor of meeting five members of the West Virginia National Guard. These young men expressed great pride in being in Washington, D.C. to fulfill their sworn duty. They shared their hope that our nation’s capital is not only seen as a symbol of beauty, but also as a place where all Americans can feel safe.",en,Tweet,1,3,1,2,390,2025-09-22 20:05:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eN3rZWcAAWZzI.jpg
'1968789496683532336',"Today, @HouseCommerce Comm&Tech Subcommittee met to discuss nationwide broadband deployment.

During the hearing, I emphasized the importance of removing unnecessary regulatory barriers to help broadband providers deliver reliable high-speed internet access to all Americans.

You can view my full remarks here:",en,Tweet,0,4,1,2,546,2025-09-18 22:29:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968789359999504384/vid/avc1/640x360/0jyTG7KQz_cmA8N3.mp4?tag=21
'1967975360357675461',"Thanks to the unwavering leadership of @POTUS and his administration, Republicans passed the largest rural health investment in history.

By investing $50 billion in rural communities, we can improve access and outcomes for rural patients, modernize rural hospitals, and ensure that rural hospitals will continue to serve American patients.

You can read more on this historic investment here: https://t.co/whlE4zMWsP",en,Tweet,0,12,11,7,1043,2025-09-16 16:34:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967945371507736930',"It was an honor to join my Colleagues in Statuary Hall for a Vigil held in memory of Charlie Kirk.

As we pray for Charlie, his family, and our nation, I encourage everyone to partake in civil discourse to continue Charlie's incredible legacy of bridging the political divide through conversation, not violence.",en,Tweet,0,9,2,1,334,2025-09-16 14:35:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-L0rBWUAAei_c.jpg
'1966127846121943149',"Today, we honor the 2,977 Americans who lost their lives in the 9/11 terror attacks.

While we mourn their loss, we must never forget the courage of the 40 Passengers and Crew Members of Flight 93.

Their sacrifice saved thousands of lives - may their memory continue to serve as an inspiration for us all.",en,Tweet,0,3,4,0,377,2025-09-11 14:13:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kW1o3XwAAXmh6.jpg
'1965883581513011704',"I join the millions of Americans who mourn the loss of Charlie Kirk after a disgusting act of violence took his life earlier today. 
 
Charlie was a husband, a father, and a proud American who sought to find common ground with his fellow Americans through conversation. 
 
Political violence has no place in our society. I am praying for his wife, Erika, and his two beautiful children. May his memory be a blessing.",en,Tweet,0,17,3,5,2481,2025-09-10 22:02:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0g4bP-WsAAZImL.jpg
'1965149703609200934',"Today, President Trump visited the Museum of the Bible in Washington, D.C., as he continues his work to preserve the Christian values that shaped the founding of our nation. 

President Trump emphasized, ""To have a great nation, you need to have religion— I believe that so strongly."" 

Thank you, @POTUS, for championing such a critical message!

https://t.co/zLNdVdZ9yh",en,Tweet,0,4,0,8,559,2025-09-08 21:26:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1964322370824372632',Great to be with @POTUS last evening at the White House to discuss the Working Family Tax Cuts legislation and its positive impact on America! https://t.co/PedXp8u6xr,en,Tweet,0,15,2,10,922,2025-09-06 14:38:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0KswgeXwAA8WyX.jpg
'1963641594680139813',"Yesterday, NPR falsely claimed that I voted against the censure of Rep. LaMonica McIver for her blatant disregard for Federal law enforcement.  

NPR failing to get this simple detail correct is yet another example that they are undeserving of American taxpayer dollars, as they continue to peddle misinformation to the American people.",en,Tweet,0,18,4,14,902,2025-09-04 17:33:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963363106186293708',"Discussed the potential of AI to transform the delivery of healthcare during today's @HouseCommerce Health Subcommittee hearing. 

View my remarks here: https://t.co/b0OSAMMKzv",en,Tweet,0,7,1,3,746,2025-09-03 23:06:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1963361651366711297/vid/avc1/640x360/K3oWK8xJ30b5IrAB.mp4?tag=21
'1962982748563407150',"Proud to support a Joint Resolution to make September 12th the National Day of the Bible to honor the Good Book’s influence on our nation's values. 

Watch my remarks on the importance of the Bible in our nation’s history: https://t.co/tn41zqsrIJ",en,Tweet,0,6,3,12,463,2025-09-02 21:55:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1962978761332183040/vid/avc1/640x360/xfuQI6bzCDZYOIOX.mp4?tag=21
'1960365847928512586',"Today, we honor the 13 American heroes who gave their lives at Abbey Gate four years ago. 
 
May their memory be a blessing for us all.",en,Tweet,0,5,0,8,751,2025-08-26 16:36:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1958954915411505431',"Enjoyed visiting the Williamsburg Community Farm Show this week with President Jeff Walason! 
 
Thank you to Katie Ross and Katie Webb for showing us their impressive livestock - like Honey the Cow pictured here! 
 
It’s always a pleasure to visit with Pennsylvania’s future farmers!",en,Tweet,0,3,1,8,348,2025-08-22 19:10:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gy-adVxWQAAGrFk.jpg
