tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970609122740723741',"Great to be part of the opening of Campbell County Public Schools’ new STEM Lab. After seeing this remarkable space and the dedicated educators leading it, I know our students will be well prepared for the workforce of the future. Great being there with @WendellWalkerVA and @PeakeforSenate",en,Tweet,0,6,0,4,295,2025-09-23 23:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G1jxG8vWUAAeG91.jpg,https://pbs.twimg.com/media/G1jxHfGXEAAmmE5.jpg,https://pbs.twimg.com/media/G1jxIJxWsAALqqD.jpg,https://pbs.twimg.com/media/G1jxIzuXUAAUQhg.jpg"
'1970579545427218537',The people (and animals!) at Bringing Animal Renovations to Campbell County are some of the kindest you’ll meet. I enjoyed our conversation about the shelter’s needs. https://t.co/OOGk9n1CPz,en,Tweet,0,9,1,1,269,2025-09-23 21:02:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jnpqFWUAACxAu.jpg,https://pbs.twimg.com/media/G1jnpqbXAAATRls.jpg,https://pbs.twimg.com/media/G1jnpqTW4AACxDj.jpg,https://pbs.twimg.com/media/G1jnpqJWYAATTIZ.jpg"
'1970555606890053901',".@POTUS & @HouseGOP are making sure hard working American families keep more of what they earn. Under the Working Families Tax Cut,  your money stays with you, where it belongs! It does this by:  
➡️ Raising the Child Tax Credit
➡️ Removing Tax on Tips & Overtime
➡️ Increasing the Standard Deduction
➡️ Protecting millions of small businesses & farms from the estate tax",en,Tweet,0,3,0,8,242,2025-09-23 19:27:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970508055579103695',Stopped by Granny Bee’s in Appomattox for a quick bite and some great conversation with wonderful constituents. Always a great place to start the day off right! https://t.co/V50kMWa3ul,en,Tweet,0,3,0,2,213,2025-09-23 16:18:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1imoafWgAA-i1S.jpg,https://pbs.twimg.com/media/G1imoaZWUAANEcx.jpg,https://pbs.twimg.com/media/G1imoaXXcAIAH3r.jpg,https://pbs.twimg.com/media/G1imoavW4AAdrYC.jpg"
'1970262836283605416',"My wife Tracy and I attended Charlie Kirk’s celebration of life at State Farm Stadium in Arizona. Charlie loved our Lord Jesus Christ, his family, and the founding principles that made America the greatest country ever. The most powerful moment came when Erika Kirk forgave the assassin. Thank you, President Trump, for being there to support so many people who love our country and its founding principles.",en,Tweet,9,466,49,20,20027,2025-09-23 00:04:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fHkgEW8AANLS8.jpg,https://pbs.twimg.com/media/G1fHkgJWgAAJ37H.jpg,https://pbs.twimg.com/media/G1fHkgGXgAADRko.jpg,https://pbs.twimg.com/media/G1fHkg9XYAAxWPJ.jpg"
'1970246738796573087',"Tomorrow at 8:35 AM, I will be joining the John Fredericks Show to discuss my time at the Charlie Kirk memorial as well as recent happenings in Washington, D.C.
Listen live here 📷
https://t.co/8gf1Ip9uL3",en,Tweet,0,5,1,4,309,2025-09-22 23:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.johnfredericksradio.com/listen-live/,,
'1970215582223212620',"By now it’s very clear we didn’t need a new law but a new President to secure the border. Thank you, @POTUS for loving our country, the American people, and making our country safe again!",en,Tweet,0,11,2,4,480,2025-09-22 20:56:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970162774073639033',"The Peace Through Strength Act:
✅ Renames the Department of Defense → Department of War
✅ Restores historic titles like “Secretary of War”
✅ Projects American strength to friends and foes alike https://t.co/FRm2CKGJQh",en,Tweet,0,4,0,7,180,2025-09-22 17:26:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dsjdlW0AAogZX.jpg
'1969765285696573733',"National security depends on a ready, well-equipped military. 
The #FY26NDAA 

➡️Increases recruitment

➡️Expands training opportunities

➡️Prioritizes innovative capabilities

➡️Improves Servicemembers' 
Quality of Life

@HASCRepublicans and I are making sure those who serve are never forgotten.",en,Tweet,0,11,1,5,769,2025-09-21 15:06:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FY26NDAA,,photo,https://pbs.twimg.com/media/G1YDFamXsAAMmjb.jpg
'1969401162055987627',"Yesterday, I was proud to introduce the Peace Through Strength Act. This bill codifies @POTUS’s Executive Order to rename the Department of Defense to the Department of War. https://t.co/hkhx6Kanf0",en,Tweet,0,9,1,7,375,2025-09-20 15:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1PJQzuWMAAV_rX.jpg
