tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970247990188351688',"Stopped by @FMCCorp’s plant in Wyoming today to learn more about their mission to support our farmers and become a leader in the precision ag sector. 

I enjoyed speaking with their employees about my work to strengthen agriculture and manufacturing in #IL16. https://t.co/1GfJzDE9Re",en,Tweet,0,10,1,8,631,2025-09-22 23:05:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#IL16,,photo,"https://pbs.twimg.com/media/G1e6FzwW4AAu9es.jpg,https://pbs.twimg.com/media/G1e6FzbWYAE40WT.jpg,https://pbs.twimg.com/media/G1e6FzpWEAAwPNP.jpg"
'1969876741142254062',"The Illinois Sheriffs’ Association plays an essential role in upholding the rule of law, supporting our police officers, and protecting our communities.

It was an honor to speak at their annual conference in East Peoria to recognize their dedication and the sacrifices they make to ensure the safety of families across Illinois. 

I will always Back the Blue!",en,Tweet,0,8,0,2,674,2025-09-21 22:29:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1ZocL2XIAA_c0F.jpg,https://pbs.twimg.com/media/G1ZocL5XYAAJvsv.jpg,https://pbs.twimg.com/media/G1ZocLyXIAAO8u3.jpg"
'1969833825367711884',"It was great to meet @CaterpillarInc’s new CEO Joe Creed and present him with a Congressional Record honoring their 100th Anniversary at the Caterpillar Centennial Fest in Peoria this morning! 

I enjoyed visiting with current and former employees who have helped build Caterpillars incredible legacy in #IL16 and around the world.",en,Tweet,0,10,2,3,995,2025-09-21 19:39:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1ZBa0oW0AAkLcW.jpg,https://pbs.twimg.com/media/G1ZBa0tW4AAzsVg.jpg,https://pbs.twimg.com/media/G1ZBa0lXsAAYK3S.jpg,https://pbs.twimg.com/media/G1ZBa0zWsAEpM-D.jpg"
'1969138432778657985',"A TikTok divestment deal that maintains any connection to the CCP or ByteDance is a non-starter.

To protect Americans’ personal data and our national security any deal must comply with the bipartisan law passed by Congress and sever all of TikTok’s ties to Beijing.",en,Tweet,0,14,1,7,1873,2025-09-19 21:36:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969076184873882037',"Truly disgusting for Mayor Brandon Johnson to call the men and women who risk their lives to protect our communities a “sickness.”

This rhetoric vilifying law enforcement, coupled with his soft-on-crime policies, is what really endangers public safety.

Chicago deserves better. https://t.co/SHWTH3ynEL",en,Tweet,2,33,10,11,6157,2025-09-19 17:28:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969076122747850767/vid/avc1/884x484/2UbJnw0tus3YQh8H.mp4?tag=21
'1968778314761298257',"Route 66 fuels economic growth and opportunity in #IL16 and beyond.

I was proud to reintroduce the Route 66 National Historic Trail Designation Act alongside @RepTeresaLF and my colleagues in the Senate to support and preserve the Mother Road.
https://t.co/f2Tty1kFql",en,Tweet,0,2,0,3,499,2025-09-18 21:45:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#IL16,https://lahood.house.gov/2025/9/lahood-reintroduces-bipartisan-bicameral-legislation-to-designate-route-66-as-a-national-historic-trail,,
'1968738570371317873',"For 78 years, the @usairforce has dominated the skies, safeguarded our freedoms, and ensured America’s security. 

Proud to have the brave men and women of @the182AW in Peoria! 

Happy Birthday to the world’s greatest Air Force! https://t.co/Ma0e4kNXuj",en,Tweet,0,11,0,3,592,2025-09-18 19:07:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JdS2EXYAAZkLx.jpg,https://pbs.twimg.com/media/G1JdS2AXQAAK4Am.jpg"
'1968425324816785637',"238 years ago, our Founding Fathers enshrined our rights and liberties in the Constitution. 

Their belief in the American experiment led to the United States becoming the greatest country in history and a beacon of freedom and opportunity around the world. https://t.co/tfk1pQIl9m",en,Tweet,0,11,2,7,757,2025-09-17 22:22:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1FAYcZWEAAZDHL.jpg
'1968358905932660839',"Cancer doesn’t discriminate, and when it comes to treatment, every second matters. 

I was proud to join my @WaysandMeansGOP colleagues to unanimously pass the Nancy Gardner Sewell Medicare Multi-Cancer Early Detection Screening Coverage Act to close gaps in detection for our seniors and save lives.",en,Tweet,0,3,2,4,1081,2025-09-17 17:58:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,"https://video.twimg.com/amplify_video/1968358816459767808/vid/avc1/884x494/G5MEfS6z3xuQCJZ0.mp4?tag=21,"
'1968024544574341148',"Because of his principled leadership and lifelong commitment to service, Governor Jim Edgar remains one of the most revered and respected leaders in Illinois history. 

It was a privilege to honor his life and legacy on the House floor. 

Rest in Peace, Governor Edgar. https://t.co/9OaFznyWwN",en,Tweet,0,14,1,7,880,2025-09-16 19:49:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968024459379408896/vid/avc1/884x488/onRqEv5HOBK2mLKs.mp4?tag=21
