tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970582491908956401',"Visited Shinnecock Coast Guard Station, where high housing costs hurt recruitment &amp; retention. No one in uniform should be priced out of their post. That’s why my NDAA amendment requires DoD &amp; DHS to review housing allowances in high-cost areas like Long Island. https://t.co/xvtfNsS2RO",en,Tweet,0,1,1,4,339,2025-09-23 21:14:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jpHsjWAAAg9xI.jpg
'1970518964129120335',"Don’t fall for the scare tactics 👉 the Big Bill does NOT change Medicaid coverage for seniors, people with disabilities, pregnant women, or children. https://t.co/qAWdzoR7yn",en,Tweet,2,13,8,12,1179,2025-09-23 17:01:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970515004349644800/vid/avc1/1080x1920/VmReCjOyKaQE8d7p.mp4?tag=21
'1970263086977474625',"Shanah Tovah to all celebrating Rosh Hashanah! 
Wishing you and your loved ones a year of health, happiness, and peace. https://t.co/BqfUz3soFU",en,Tweet,0,5,3,2,384,2025-09-23 00:05:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dzGWRW0AAlht5.jpg
'1970197037087117390',"I delivered SALT relief to help Long Island families. Now, Albany needs to do their part: cut taxes and repeal unfunded mandates. Like Rob Base said: It Takes Two! https://t.co/zOobsd0VGt",en,Tweet,0,3,2,7,385,2025-09-22 19:42:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970196093334945792/vid/avc1/1858x1152/OE548riVjaWDiTBR.mp4?tag=21
'1970117961336947075',Socialism has failed everywhere it’s been tried. Kathy Hochul and Zohran Mamdani should know better.,en,Tweet,2,9,2,17,831,2025-09-22 14:28:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969832642477490603',"Securing the border is about fairness. 🇺🇸 

Like a concert line—those who wait their turn get in. Letting people cut disrespects everyone who followed the rules. https://t.co/7rbu6zJX6z",en,Tweet,0,6,1,9,483,2025-09-21 19:34:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Y_-E0WUAAsaGe.jpg
'1969767894776156292',"On Capitol Hill last week, Director Kash Patel spit straight facts about the progress the FBI is making. 🔥 https://t.co/SJ1sHrQ4F3",en,Tweet,1,13,3,21,897,2025-09-21 15:17:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969767019802185728/vid/avc1/1280x720/HYTY6-1iQOgpkh4F.mp4?tag=21
'1969518522339340592',"Proud to deliver a win for LI &amp; America’s scientific edge. 💪 

The Energy &amp; Water bill includes $135M for the Electron-Ion Collider at Brookhaven — $25M above Trump’s request — protecting 970 jobs &amp; keeping us ahead of China. 🇺🇸🔬 https://t.co/CUGlLL4nm5",en,Tweet,0,6,2,11,555,2025-09-20 22:46:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1UiZM9XkAAwYpm.jpg
'1969395545899708799',"Happy Hispanic Heritage Month! 

A time to honor Hispanic Americans’ culture, history, and the countless contributions they’ve made to life here on Long Island. https://t.co/pDqFt6vACB",en,Tweet,0,4,2,8,380,2025-09-20 14:37:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1SyXLKXwAAc_h9.jpg
'1969134735776436563',"Yesterday, I joined colleagues from the bipartisan Problem Solvers &amp; For Country Caucuses to reflect on the political assassination of Charlie Kirk. We urged politicians &amp; the media to lower the temperature &amp; focus on policy debate. At the end of the day, we’re all Americans. https://t.co/1UYuXMitnd",en,Tweet,0,4,1,12,524,2025-09-19 21:21:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1PFGrDWcAAdAl6.jpg
'1969079346854850894',"On National POW/MIA Recognition Day, we honor the heroes who endured captivity and those who never made it home. Their courage and sacrifice in defense of our freedom will never be forgotten. https://t.co/AOH2sgzHSL",en,Tweet,0,7,2,4,500,2025-09-19 17:41:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ORY_QX0AgIwfY.jpg
'1969053905205240173',"Democrats spent years blasting Republicans over shutdowns. Today, those same Dems voted to shut down the government by rejecting a clean, no-strings funding bill.  The hypocrisy is staggering, even for DC.",en,Tweet,1,16,6,13,1300,2025-09-19 16:00:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1N7ufiXoAEqbL0.jpg
'1968766046375977312',Happy 78th Birthday to the United States Air Force and a shout out to my favorite bird in their fleet — the A-10 Warthog… Brrrt!  🇺🇸✈️🐗 https://t.co/9mxVqVpRk3,en,Tweet,0,9,5,4,644,2025-09-18 20:56:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1J2SNMXEAA2Cf5.jpg
'1968429593205031245',"NY needs an all-of-the-above energy strategy — not the natural gas–hostile agenda of Albany’s most radical lawmakers. To lower energy costs & strengthen national security, the Public Service Commission must tune out the extremists & move quickly to approve the NESE natural gas pipeline.
https://t.co/RHzLUdMVoZ",en,Tweet,0,13,6,7,1433,2025-09-17 22:39:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968330805509345783',"Free Speech is integral to our great nation’s Constitution.

Last week, a strong proponent of that right was assassinated for his views. On Constitution Day, all Americans — regardless of politics — must come together to reject political violence and its root causes.

Commentators and online trolls have the right to speak, but branding President Trump and those on the Right as “Nazis,” “Threats to Democracy,” or “Fascists” is not only false — it fuels the very political violence we should all condemn.

Free Speech comes with responsibility. 🇺🇸",en,Tweet,0,8,4,16,616,2025-09-17 16:06:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Dp8UpWsAAyKOw.jpg
'1968297190721572917',"America’s trade deficit isn’t just numbers — it’s lost jobs, weaker industries &amp; more reliance on hostile nations. We must rebuild our industrial base and reduce dependence on China. 🇺🇸",en,Tweet,1,12,2,14,1149,2025-09-17 13:53:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968017430422360226',"While the salt shaker in my picture with President Trump is small, the quadrupled SALT cap in the Working Families Tax Cut Act is huge for Long Island taxpayers! https://t.co/mCuJC9ykz3",en,Tweet,0,7,3,15,740,2025-09-16 19:21:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_NZEaXsAA30P8.jpg
'1967961351222907192',"Don’t buy the scare tactics. The Working Families Tax Cut protects kids, seniors, people w/ disabilities & pregnant women. ✅ Only able-bodied adults who refuse to work lose coverage. Seeing is believing!",en,Tweet,0,4,4,8,560,2025-09-16 15:38:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-Z9PDWQAA_ENx.jpg
'1967707095748448559',"The Working Families Tax Cut is a big win for Long Island. 💪 

It quadruples the SALT deduction and cut taxes on tips, overtime &amp; Social Security. Life here is expensive — I’m working to help families make ends meet. 🏡",en,Tweet,0,2,0,10,433,2025-09-15 22:48:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967681026479755539',"At a Small Business Committee hearing I hosted, Rao Anumolu shared how red tape blocks small businesses like his Hauppauge firm from scoring federal contracts. That’s why I’m leading the Plain Language in Contracting Act: to cut bureaucracy, open doors for small firms, and ensure taxpayers get the innovation and value they deserve.",en,Tweet,0,2,1,5,612,2025-09-15 21:04:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G06bPIiWwAAB4Yn.jpg,https://pbs.twimg.com/media/G06bQVoXMAE6uKK.jpg,https://pbs.twimg.com/media/G06bREvWAAA947a.jpg"
'1967584568527253706',"If you live in Suffolk County, you likely benefit from the new $40K SALT cap. 

👉 A family earning $150K w/ $10K in property taxes saves $1,839. Life’s pricey on LI — now Albany must rein in spending! https://t.co/47mspLt7eh",en,Tweet,0,6,1,5,498,2025-09-15 14:41:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G05DSOIW8AAzHq7.jpg
'1967359090423726297',"For the third year in a row, I visited the leadership of the Shinnecock Indian Nation on their land. The Shinnecocks are a proud and resilient people whose sovereignty is guaranteed under federal law.

We spoke about their commitment to self-sufficiency and their federally protected right to use their land—rights I strongly support. When controversy arose years ago over their plan to build a digital advertising sign along Sunrise Highway, the Shinnecock leaders worked with state and local officials to ensure all requirements were met. Yet objections persisted until the courts rightly affirmed that most state and local zoning rules do not apply to federally recognized tribal land.

Too often, some state and local officials claim to “protect Native American culture” by banning the use of Native names as mascots. If they truly want to respect Native culture, they should instead stop interfering with tribes’ reasonable and federally guaranteed use of their own land.",en,Tweet,0,5,0,8,906,2025-09-14 23:45:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G011H9tXIAEatBU.jpg,https://pbs.twimg.com/media/G011H-NXsAAGwWB.png"
'1967316836329955760',"I’m grateful to have joined a vigil yesterday evening in honor of Charlie Kirk and his family. Over 500 Long Islanders of all ages came together, united in grief and reflection, alongside many across the nation mourning this tragic loss. While the crowd was understandably filled with anger over Charlie’s death, it wasn’t a gathering to loot, riot, or tear down statues. Instead, we came together to honor Charlie’s life, reflect on his work, and pray for his family and our country during this challenging time.",en,Tweet,2,29,4,14,1484,2025-09-14 20:57:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G01EkPsXcAAHBSq.jpg,https://pbs.twimg.com/media/G01ElhIXsAAN3rP.jpg,https://pbs.twimg.com/media/G01EmRIWMAA9JNg.jpg"
'1967225090573299745',"Great to join Catholic Health Pres. Patrick O’Shaughnessy at the opening of their new Ambulatory &amp; Urgent Care in Melville. We discussed the Big Bill I backed—protecting Medicare, strengthening Medicaid, &amp; ensuring Suffolk families get quality care when, where &amp; how they need it. https://t.co/KsQaoA1Fty",en,Tweet,1,10,2,9,845,2025-09-14 14:53:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0z8Zl6WwAA3odk.jpg,https://pbs.twimg.com/media/G0z8ZlfXUAA8TqI.png"
