tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970628621502194021',May Charlie’s legacy spark a revival that ignites millions of hearts for generations to come. Amen. https://t.co/ona08TP3IU,en,Tweet,327,17972,1940,445,170994,2025-09-24 00:17:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970627613157908480/vid/avc1/1080x1920/MJpVXmg7GablWTLN.mp4?tag=21
'1970214731240894471',"Scott Bessent and the IRS have moved forward with implementing NO TAX ON TIPS, ensuring that tipped occupations become eligible to take the $25,000 deduction every year🔥 

THIS IS HUGE FOR THE ENTIRE COUNTRY ESPECIALLY PINELLAS COUNTY!",en,Tweet,5,908,129,107,23295,2025-09-22 20:52:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969969249436455270',@JarvisForceOne 🕊️🙏🏼,qme,Reply,0,8,1,0,303,2025-09-22 04:37:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969965605299388816',@IMAO_ Correct.,en,Reply,5,700,24,17,17210,2025-09-22 04:22:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969926339810709870',Will you? https://t.co/PYjuMPwAn3,en,Tweet,135,4643,542,161,65026,2025-09-22 01:46:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969926282541740032/vid/avc1/720x1280/-edvxLHNpk3Hjtjw.mp4?tag=21
'1969924458778677679',https://t.co/kKnBIz0f7e,zxx,Tweet,184,13535,1211,284,98789,2025-09-22 01:39:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1aT2teaYAA9mF2.jpg
'1969924364817911819',"7 years ago I answered a call from Charlie Kirk that changed my life forever. 

Today, countless of you are being called to rise up. The time is now. 

Will you answer the call?",en,Tweet,38,5224,428,131,62997,2025-09-22 01:39:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969855745035563334',There would be no Congresswoman Luna without Charlie Kirk. https://t.co/9X67yqZIjn,en,Tweet,328,20420,1896,413,154884,2025-09-21 21:06:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969855561861906432/vid/avc1/1660x1080/UUOsITdAEtD8XDGz.mp4?tag=21
'1969828058564845806',God is in this place. Packed house for Charlie. https://t.co/sPEtcFg7H1,en,Tweet,800,44214,3413,818,866996,2025-09-21 19:16:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969827903744671744/vid/avc1/2160x3840/ZUkTKwaFg4AQsDT_.mp4?tag=21
'1969794259655262469',"Isaiah 6:8 🕊️
Rest easy brother. https://t.co/ONeMwWoWJc",en,Tweet,69,7136,489,156,98456,2025-09-21 17:02:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1YdcFvasAAZRFd.jpg
'1969589032322810300',Well done @geressy187,en,Tweet,2,215,24,5,31215,2025-09-21 03:26:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969588533867528661',"The best night ever. Obama had just dropped a robocall on me. @charliekirk11, @tylerbowyer, @bennyjohnson, @AndrewKolvet were all there. I was elected to congress about day or so later 🙏🏼",en,Tweet,17,752,101,42,59943,2025-09-21 03:24:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969485302147264763',.@jimmykimmel https://t.co/IfyzfKIq4F,und,Tweet,28,627,161,46,18575,2025-09-20 20:34:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969150497043931136/vid/avc1/576x1024/9lmfv6XINySxACJ2.mp4?tag=14
'1969172787957846139',"Thank you @SteaknShake, if we didn’t already love you enough. https://t.co/QLDsL6z9if",en,Tweet,106,14202,1693,230,178423,2025-09-19 23:52:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PoNtLWgAAtL4q.jpg
'1968869559047205217',https://t.co/igFqiemNZf,zxx,Tweet,38,1116,238,91,25923,2025-09-19 03:47:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968840136378007552/vid/avc1/1920x1080/hUH0u9G97NQftCSC.mp4?tag=21
'1968755113780285909',"From here on out, Pinellas County will forever recognize September 10th as A Day of Remembrance for Charlie Kirk. 

Today, my staff had the privilege of accepting this proclamation from the Pinellas County Board of Commissioners. 

Charlie’s voice, leadership, and unwavering dedication to this country have inspired countless lives, including my own. It is truly humbling to see his legacy honored in such a meaningful way, right here in our community.",en,Tweet,10,767,127,68,21915,2025-09-18 20:12:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JsVvsXoAE7UzS.jpg,https://pbs.twimg.com/media/G1JsVv8XEAAW95B.jpg"
