tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970591263612080447',"I appreciated the chance to meet with Van Buren County Hospital staff and hear how the Community Project Funding I secured for medical equipment is improving care. We also discussed my Medicaid Program Improvement Act and the $50 billion Rural Health Transformation Program, both signed into law as part of the Working Families Tax Cuts. 

I also heard about the importance of telehealth and closed by taking questions on how we can continue delivering for rural Iowa.",en,Tweet,0,6,2,4,686,2025-09-23 21:49:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jyTp_WgAE5NC7.jpg,https://pbs.twimg.com/media/G1jyTqAXwAAgJnk.jpg"
'1970551712227434506',"Thank you to the Keosauqua Rotary for the warm welcome today. I shared an update on the appropriations process and my commitment to keeping the government open and responsibly funded. We also discussed preventing Medicaid from going to illegal immigrants, the Farm Bill, and the $50 billion Rural Health Transformation Program.",en,Tweet,0,6,1,1,644,2025-09-23 19:11:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jOVkPXkAA-_BR.jpg,https://pbs.twimg.com/media/G1jOVkKWAAAu6lC.jpg"
'1970504695308284335',"The $50 billion Rural Hospital Transformation Program is the largest investment in rural healthcare in history.

But just two months after @POTUS signed it into law, Democrats are already trying to gut it.

I proudly voted to pass this historic fund and will fight to protect this lifeline for rural America.",en,Tweet,7,96,40,31,8805,2025-09-23 16:05:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970204126593327318',"Wishing a sweet and joyous Rosh Hashanah to all who celebrate. May this new year bring peace, health, and blessings to you and your families. https://t.co/tQJKHgOdRD",en,Tweet,0,7,1,5,602,2025-09-22 20:10:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eSMe4WsAAg43h.jpg
'1970173231970574349',"The winningest coach in Big Ten Football history: Iowa’s very own, Coach Kirk Ferentz! 🏆 https://t.co/qmPMkCwPrx",en,Tweet,0,6,3,3,654,2025-09-22 18:07:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970171597731295232/vid/avc1/1280x720/NAWQr5NzRoKneYp7.mp4?tag=21
'1970146081536389335',"Thanks to the Working Families Tax Cut, seniors living on fixed incomes will now get a $6,000 deduction, helping them keep more of what they earned. After a lifetime of hard work, they deserve real peace of mind.",en,Tweet,1,14,5,3,1634,2025-09-22 16:20:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969760564265324546',"As a mother, I know how expensive it is to raise a family.

That’s why I fought to increase the Child Tax Credit in the Working Families Tax Cut, after Democrats voted to cut it in half.

Now it’s signed into law and will deliver real relief to Iowa families.",en,Tweet,0,9,1,6,676,2025-09-21 14:48:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969053717967016241',"Charlie Kirk was a husband, father, son, brother, and an inspiration to millions. I wish he were still with us and that a resolution honoring his life wasn’t necessary. But I was proud to vote for it, ensuring his legacy is permanently remembered in the history of Congress. https://t.co/DGbQZa6jjM",en,Tweet,1,23,5,10,14081,2025-09-19 15:59:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N768sWYAAVjff.jpg
'1969024374578491571',"Democrats are once again playing politics with a shutdown, putting veterans, our military, seniors, farmers, and families at risk.

House Republicans are doing our job: moving the remaining 9 appropriations bills to responsibly fund the government and advance @POTUS’s America First agenda. With 3 already approved by the Senate, we can’t finish the job with a shutdown government.

It’s time Democrats stop the games and keep the government open for the American people.",en,Tweet,0,16,5,6,691,2025-09-19 14:02:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968733917634048336',"Far too many lives are lost because cancer isn’t caught early enough. 

Early detection saves lives, which is why I’m proud to cosponsor H.R. 842, the Nancy Gardner Sewell Multi-Cancer Early Detection Screening Coverage Act, to expand access to screenings and give more Americans a fighting chance.",en,Tweet,1,14,5,8,1025,2025-09-18 18:48:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968733839674449920/vid/avc1/1280x720/GLEeGen-fgKWmZLI.mp4?tag=21
