tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970124573166453236',Weekend CLE crime updates courtesy of the @CLEMayorsOffice Crime Dashboard. https://t.co/w4MFoOTPdr,en,Tweet,0,6,0,3,580,2025-09-22 14:54:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dJzE4XgAEQCut.jpg
'1969071693139227025',"Cleveland crime snapshot. 100 homicides and over 17,000 assaults in a year??? It doesn't have to be this way.

https://t.co/YyU2zQrVmI https://t.co/SKcjDOfKQx",en,Tweet,2,16,2,8,1223,2025-09-19 17:10:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://data.clevelandohio.gov/apps/ClevelandGIS::cleveland-division-of-police-crime-dashboard/explore,photo,https://pbs.twimg.com/media/G1OLpcvX0AIPtn2.jpg
'1969032133663445265',"Cleveland families deserve to feel safe again.

https://t.co/UwNq8pPQNR",en,Tweet,0,6,0,4,499,2025-09-19 14:33:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.foxnews.com/video/6379791580112,,
'1968813182035603889',It has worked in DC. It can work in Cleveland. https://t.co/6gB4RQayo9,en,Tweet,0,18,1,6,578,2025-09-19 00:03:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968813096257925120/vid/avc1/1920x1080/59ALMrgyxpTTfBRu.mp4?tag=21
'1968347465066709175',"The Working Families Tax Cuts reduce taxes for working families by an average of 15 percent and will increase take-home pay, grow the economy, and create millions of jobs.",en,Tweet,0,10,2,7,515,2025-09-17 17:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968288074518974714',"House Republicans have delivered the single largest investment in rural healthcare in history.

The Big, Beautiful Working Families Tax Cuts provided $50 billion in funding for rural healthcare.",en,Tweet,0,7,1,4,459,2025-09-17 13:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967970061362102430',"One of my top priorities since coming to Congress has been to empower individuals, regardless of their background, with the skills and access to workplace opportunities to build a fulfilling future. During a joint Social Security and Work & Welfare Subcommittee Hearing, we heard about SSA’s Ticket to Work program, which allows eligible Disability Insurance and Social Security Income beneficiaries to do just that.",en,Tweet,0,5,1,2,554,2025-09-16 16:13:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967969621681549312/vid/avc1/1920x1080/CWfKN64-yLZ_wWtg.mp4?tag=21
'1966615137155960848',"Happy to see NASA Glenn get what it deserves! Thank you to @SecDuffy and all who helped accomplish this. 

https://t.co/S6iHcG2Fiq",en,Tweet,1,15,0,3,804,2025-09-12 22:29:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.news5cleveland.com/news/local-news/nasa-glenn/nasa-glenn-picked-to-help-develop-nuclear-power-for-the-moon,,
'1966228501935034679',"Had the pleasure of speaking to constituents from Strongsville.

If you plan to visit DC, reach out to my office, and we’ll set you up with a tour! https://t.co/GYgHVEbZzc",en,Tweet,0,8,0,1,696,2025-09-11 20:53:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0gojPLXIAAjVPj.jpg,https://pbs.twimg.com/media/G0goxO5WQAAL9eJ.jpg,https://pbs.twimg.com/media/G0go2E6W4AAXR_v.jpg"
'1966113746327318773',"Today, we remember the nearly 3,000 lives lost on September 11, 2001. We honor the courage of first responders, the resilience of survivors, and the strength of families forever changed.

May we pause to remember the unity that carried us through that dark day. Never Forget. https://t.co/NDtz8Ll82n",en,Tweet,0,28,4,6,1377,2025-09-11 13:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0gZlk6XYAAx02d.jpg
'1965489964923445586',Thank you for your incredible work. Please keep it up!,en,Tweet,0,6,0,3,1009,2025-09-09 19:58:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964322014300180551',Had a great night with @POTUS at the inaugural dinner of the Rose Garden Club last night! Honored to be a part of this special group. https://t.co/AWZsiCvz1h,en,Tweet,44,1335,259,429,30974,2025-09-06 14:37:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0KsdWYWUAAdnc_.jpg,https://pbs.twimg.com/media/G0KsdWOWIAANHqj.jpg,https://pbs.twimg.com/media/G0KsdWSWYAAtxLO.jpg"
'1963313125773775108',"I know I don’t have all the answers, that’s why I created the Health Advisory Council. This group of healthcare professionals from Northeast Ohio provides a collaborative forum to share insights on the key healthcare challenges facing our region. Their expertise helps shape solutions that inform federal policy and advance the priorities that matter most to patients and providers in OH-07.",en,Tweet,1,21,2,10,1109,2025-09-03 19:48:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gz8WbmEXkAAt6LS.jpg
'1962509874429861952',"Wishing everyone a Happy Labor Day!

Today we recognize the incredible contributions of America’s workforce—the men and women whose skills and determination have shaped our nation and will lead us into the future.",en,Tweet,0,13,0,10,790,2025-09-01 14:36:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1960361132486508712',"Four years ago, 13 service members lost their lives at Abbey Gate in Afghanistan. These men and women embodied the values of America: Bravery, Selflessness, Dedication, and Service. As a Marine, I know the sacred responsibility we carry to honor the memory of the fallen, not just in words, but in action. Today, I introduced a resolution to designate August 26 as the official National Day of Remembrance for the victims of the bombings at Abbey Gate. A grateful nation must never forget their sacrifice.

https://t.co/NaM7SJc43g",en,Tweet,0,78,21,20,6489,2025-08-26 16:18:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1958503349944508536',"The One Big Beautiful Bill delivers for Ohio farmers—making the first major farm safety net investment in 20+ years, cutting the death tax, expanding trade, protecting livestock, and strengthening risk management tools.",en,Tweet,1,20,5,15,1896,2025-08-21 13:16:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1958246157848838213',"Comrod Inc. designs and manufactures tactical antennas, tactical support masts, power supplies, and battery chargers for several DOD contracts. Comrod products are a staple of NATO communication systems. I was happy to visit with their employees in Westlake to learn more about their business.",en,Tweet,0,12,1,6,899,2025-08-20 20:14:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/GypH6wPXYAA23xN.jpg,https://pbs.twimg.com/media/GypH6wRWQAEZ-YK.jpg"
