tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970554658155348178',"The president’s speech to the UN was a powerful reminder that strong American leadership is back on the global stage! I urge our European friends to heed President Trump’s call to unite with the U.S. to impose crippling sanctions on Russia and those who support them. When NATO works together, we are an unstoppable force for good in the world.",en,Tweet,0,6,1,6,1179,2025-09-23 19:23:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969138341959340036',"I am also proud to announce that @HouseCommerce passed my Give Kids a Chance Act, which will expand drug development and give kids every possible chance to fight this heartbreaking disease. 

https://t.co/ZYAC9dWL5a",en,Reply,0,2,0,1,738,2025-09-19 21:35:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://myemail.constantcontact.com/My-16th-Annual-Childhood-Cancer-Summit.html?soid=1135849712533&aid=ukbegEg2TH0,,
'1969138337693737309',"It was an honor to host my 16th Annual Childhood Cancer Summit — a time when members of Congress, advocates, and many courageous children gather together to celebrate these kids’ lives, raise awareness about pediatric cancer, and spread hope. Our caucus has achieved so much over the years, and we will not stop fighting until pediatric cancer is eliminated once and for all.",en,Tweet,0,10,1,2,1344,2025-09-19 21:35:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1PI3q3WMAAVcKR.jpg,https://pbs.twimg.com/media/G1PI3q6XAAAyfPR.jpg,https://pbs.twimg.com/media/G1PI3rLXEAAZJdw.jpg"
'1969125671197646919',"Congratulations to my good friend @michaelgwaltz on his confirmation as the U.S. Ambassador to the United Nations! Mike has dedicated his life to serving our nation, first on the battlefield, then in the halls of Congress, and now as a top diplomat for the United States - and our country is safer and stronger because of his service. I look forward to continuing to work with him in this new role.",en,Tweet,0,14,1,2,1145,2025-09-19 20:45:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969082779909701665',"In less than two weeks, Putin has invaded NATO airspace twice – a significant escalation and clear provocation meant to test NATO’s resolve. Putin is certainly using these incursions to collect intel on how quickly NATO can take action, the capabilities of our kinetic response, and, importantly, what kind of consequences he will face. We cannot let this go unpunished. Now is the time to act to make it clear to Putin and our adversaries around the world that NATO will not stand for this proactive and dangerous behavior.",en,Tweet,4,20,10,11,1675,2025-09-19 17:54:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968384695353118724',"The @FIFAWorldCup &amp; @LA28 Summer Olympics present huge opportunities to showcase what makes America great. 

As chair of @HomelandGOP's Special Events Task Force, I held a roundtable with FIFA &amp; LA28 reps to bolster security preparations for these mass events. My opening remarks: https://t.co/jllxI4zHwR",en,Tweet,1,5,3,1,1576,2025-09-17 19:40:56,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968383445400162304/vid/avc1/1548x886/qxacxOod81At8wSk.mp4?tag=21
'1967970451780755476',"Tune in now 🚨

I’m joining @WolfBlitzer on @CNNSitRoom to discuss the latest on Ukraine, the Middle East, and more.",en,Tweet,0,6,1,8,1200,2025-09-16 16:14:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967270779516748095',"@HouseForeignGOP @RepBrianMast 🫡 Thank you, Mr. Chairman! It’s an honor to serve with you, and I look forward to our continued work together this Congress.",en,Reply,0,5,0,1,233,2025-09-14 17:54:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967232294558880135',"@RepJoeCourtney Thank you, @RepJoeCourtney! It has been an honor to chair the caucus with you, and I look forward to our continued work throughout the remainder of this Congress.",en,Reply,0,3,0,0,149,2025-09-14 15:21:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967214481198457182',"It has been the honor of a lifetime to represent the people of central Texas and to chair the prestigious Homeland Security and Foreign Affairs Committees. My father’s service in World War II inspired me to pursue a life of public service, with a focus on defending our great nation against global threats, and I have been proud to carry out that mission in Congress for more than two decades. I am ready for a new challenge in 2027 and look forward to continuing to serve my country in the national security and foreign policy realm.",en,Tweet,12,216,47,64,86937,2025-09-14 14:10:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
