tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970557107477881275',"Republican leadership jammed a partisan funding bill through the House last week, then canceled votes for the rest of the month. Senate Republicans couldn’t get enough of their members to vote for the bill, and rejected a Democratic alternative to address the health care crisis they created. And now President Trump won’t meet with Democrats to find a solution.

Republicans are leading us towards a government shutdown.",en,Tweet,0,3,3,2,1356,2025-09-23 19:33:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970505151371694209',"Watch my full remarks here:

https://t.co/CeweNWfkWU",en,Reply,0,1,1,0,227,2025-09-23 16:06:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://youtu.be/H9HTjuGbNmw?si=81r0k5WkqP8GrE12,,
'1970505148578332728',"Serving alongside @EnergyCommerce Democrats, I’ve witnessed the deep disconnect between what The Trump Administration and Congressional Republicans say they want to do to make America healthy again and the actions they’ve taken that do just the opposite. 

I joined @ProtectCareVA, @BobbyScott, @RepDonBeyer, @RepSuhas and @Rep_Walkinshaw to outline what Medicaid cuts and rising ACA premiums mean for Virginians.",en,Tweet,0,9,5,2,452,2025-09-23 16:06:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970505074741850112/vid/avc1/1280x720/8H88qqzNv6ypCTaZ.mp4?tag=21
'1970261949817442729',Happy Rosh Hashanah to our friends and neighbors celebrating! May the new year bring renewal and joy. L’Shana Tova. https://t.co/wNB2h7BcEP,en,Tweet,0,3,3,2,309,2025-09-23 00:00:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fGzG0WoAAGGbc.jpg
'1969526664137765258',"The Nottoway Indian Tribe of Virginia represents a crucial part of our culture and history, and its legacy deserves recognition at every level of government. Yet the Tribe still hasn’t received federal recognition of its sovereignty, despite receiving state recognition 15 years ago.

Today, I joined the Nottoway Indian Tribe at their annual Powwow announcing my bill to correct this longstanding negligence.",en,Tweet,2,29,8,3,1252,2025-09-20 23:18:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1UpIBKXsAI4XSr.jpg,https://pbs.twimg.com/media/G1UpIBSXsAAIPZt.jpg,https://pbs.twimg.com/media/G1UpIBMW8AI0OJM.jpg,https://pbs.twimg.com/media/G1UpIBTXkAAhneF.jpg"
'1969123434618556852',"House Republicans seem content to rip health care from the sick, food from the hungry and assistance from those in need. House Democrats stand unified in demanding a funding bill that does better by the American people. This bill is not that.",en,Reply,0,2,0,1,184,2025-09-19 20:36:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969123432206942533',"Now, Republicans doubled down on cuts made in the Big Ugly Law. Today’s funding bill does nothing to address a nationwide crisis caused by the Big Ugly Law.

As hospitals close, premiums rise and people lose access to health care, we can’t afford to sit by and do nothing. Yet House Republicans neglect this reality as the deadline to extend the Affordable Care Act tax credits draws near. If we don’t extend them by the end of the year, 4 million more Americans will lose their health insurance.",en,Reply,0,2,0,1,207,2025-09-19 20:36:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969123429967413643',"House Republicans insisted they did not want or need our help and have repeatedly rammed through harmful funding bills, from their March extension, to the Big Ugly Bill, and now this Continuing Resolution (CR).

The consequences have already been disastrous. During the reconciliation process, they simultaneously cut us out of the process while cutting over $1 trillion in funding for Medicaid, food assistance and other critical services supported by millions of Americans.",en,Reply,0,1,0,1,46,2025-09-19 20:36:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969123427190554695',"From day one, House Democrats stood together in our willingness to work across the aisle to fully fund the government and ensure all agencies, programs and departments have the resources and employees they need to continue serving the American people.

From day one, House Republicans denied us a seat at the table.",en,Tweet,0,3,1,3,266,2025-09-19 20:36:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968794770592969038',Happy 78th birthday to the U.S. Air Force! https://t.co/4kMjkr6wPn,en,Tweet,0,4,3,0,323,2025-09-18 22:50:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1KQaMmWAAE-1hw.jpg
