tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970585617047400845',"Agreed, Mr. President. Vladimir Putin is not our friend - he’s a vile dictator and thug.

We must stand with Ukraine and our European allies in their time of need.

Russia, be warned. Stop fucking around, or you’ll find out.",en,Tweet,0,33,12,19,2668,2025-09-23 21:26:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970564505823498492',"“To whom much is given, much is required. You’ve been given a lot of skills and talents. Use them to do God’s work and always keep your moral compass about you,” is what my father told me on his deathbed. 

Over the past two weeks, I can’t help but think that was Charlie Kirk to a T. He did what he loved, he did God’s work, he was out there promoting freedom,  democracy, freedom of speech, and the right to engage in a robust and civil debate.",en,Tweet,0,7,2,13,945,2025-09-23 20:02:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970564354325053440/vid/avc1/1280x720/wiuEIXU2DOmzqHGR.mp4?tag=21
'1970547848182706357',"Read my joint statement with my Moldova Caucus co-chair, @RepDeborahRoss, as we call for the election integrity and transparency ahead of Moldova’s September 28 elections.",en,Tweet,0,4,1,4,801,2025-09-23 18:56:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970546329177989569',https://t.co/65aJqMUf7U,zxx,Tweet,0,1,2,2,1146,2025-09-23 18:50:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://x.com/i/article/1970545908548018176,,
'1970516062249562546',"Congenital CMV is the most common infectious cause of birth defects in America, yet too often it goes undetected. The StopCMV Act will help ensure families get answers early, doctors have the tools they need, and children have the best chance at a healthy start in life. I’m proud to introduce this bipartisan legislation because protecting the health of our youngest and most vulnerable is something we can all agree on.",en,Tweet,0,6,3,8,713,2025-09-23 16:50:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1it6ivXUAAJbng.jpg
'1970486356229911032',"Congratulations to Julia Scott, a star basketball player for Albertus Magnus High School, on her commitment to the University of Clemson.

Julia is a top 2026 recruit from Nanuet. The 6'3"" forward chose the Clemson Tigers over Michigan and Notre Dame. The Albertus Magnus High School girls' basketball team is coached by Pat Buckley and has won the state championship two years in a row.",en,Tweet,0,2,1,6,827,2025-09-23 14:52:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iS5WaXYAAaxNG.jpg
'1970213966644224300',"Proud to honor the life and legacy of Larry Brissing, a lifelong North Rockland resident who passed away on September 13th, surrounded by his loving family. From helping at his family’s restaurant to founding LRB Excavating to serving 19 years as Stony Point’s Highway Superintendent, Larry dedicated his life to building and serving his community. His devotion to faith, family, and neighbors was unmatched. A proud husband, father, and grandfather, his legacy of service and kindness will continue to inspire North Rockland for generations. May his memory be a blessing.",en,Tweet,1,7,3,7,954,2025-09-22 20:49:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970213050406850560/vid/avc1/1280x720/n6ssgk8VvwGCBZ1o.mp4?tag=21
'1970180227784421680',"Shanah Tovah to all in NY-17 and across the country celebrating Rosh Hashanah. May this New Year bring health, happiness, and peace for you and your loved ones. https://t.co/ENPN7CrFPE",en,Tweet,0,16,4,10,796,2025-09-22 18:35:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970180152144367616/vid/avc1/1280x720/zviG3jXzcGOVlZx5.mp4?tag=21
'1970141038393336129',"Congratulations to the NYPD on their win at the FDNY v NYPD Gaelic football game at the Rockland GAA!  A fantastic match in Pearl River, with so many who came out to support both teams. Thank you again to our heroic cops and firefighters for all you do! https://t.co/vBhr4ITX2u",en,Tweet,0,8,4,3,1210,2025-09-22 16:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dUxnLXQAAk6dc.jpg,https://pbs.twimg.com/media/G1dUydYWkAAOgky.jpg,https://pbs.twimg.com/media/G1dUzO6WoAAJXWS.jpg,https://pbs.twimg.com/media/G1dU0RXXEAAYrSO.jpg"
'1970128972643004533',"Staff was on hand Friday at Fieldstone Middle School where 15 year old Kenny Bermudez made such a huge impact in his short life. The unveiling of a bench in his memory was an event shared by his family, friends, school staff, and electeds from throughout the district. May Kenny rest in peace.",en,Tweet,0,4,1,3,815,2025-09-22 15:12:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1dN2vDXQAEeEaV.jpg,https://pbs.twimg.com/media/G1dN2u8XMAAmdMf.jpg,https://pbs.twimg.com/media/G1dN2vIXIAAfN9A.jpg"
