tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969133109397635211',"Yesterday, during the @HouseScience Energy Subcommittee hearing on Fusion, I expressed strong support for the advancement of fusion power, continued investment in traditional energy sources, and highlighted the imperative to maintain leadership in this critical area of energy development.

The AI race will likely be won by the nation with the most abundant, reliable, low cost power. It’s a race the U.S. cannot afford to lose.",en,Tweet,0,18,4,8,949,2025-09-19 21:14:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1PDlABXsAAO9h3.jpg
'1968778869793591298',"78 years of strength and resolve. 

Happy Birthday to our United States Air Force!",en,Tweet,0,17,3,2,938,2025-09-18 21:47:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968412608194629906',"I couldn’t be more excited about this technology opportunity for Alaska High School and Middle School students! 
 
If you have an app idea that you want to make a reality, the Congressional App Challenge is your chance to showcase your coding skills. 
 
You can learn more & register at: https://t.co/S2262iX4lt",en,Tweet,1,12,3,1,741,2025-09-17 21:31:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EzlRNXAAA_tus.jpg
'1968356970957787351',"This is why America must lead the way in resource development.

Alaska does development right with effective protections for communities and the environment. 

We must continue to unleash our abundant resource potential, and there is no greater jurisdiction to do that than Alaska. 
https://t.co/6BrNeDJuBU",en,Tweet,1,59,12,10,2468,2025-09-17 17:50:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968111037372121474',"Today before the @NatResources  Subcommittee on Oversight and Investigations, we discussed unleashing Alaska’s resource potential with a phenomenal line up of Alaskans who traveled from the Last Frontier to testify before the committee.
 
Alaska stands ready to meet the nation’s resource needs but more work must be done to expedite permitting and increase domestic production so America can compete on a global scale in resource production.",en,Tweet,0,18,5,7,1836,2025-09-17 01:33:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968107549216899072/vid/avc1/884x494/g5oO--a2Uuq41O1U.mp4?tag=21
'1966652831978401877',"Renewable energy is Chinese energy. Why? China controls critical portions of the supply chain for producing that energy. 

Congress has the responsibility to unlock America’s full potential.

The United States must once again mine, build, and develop its own resources and end China’s chokehold on critical minerals once and for all.",en,Tweet,2,22,4,10,1076,2025-09-13 00:59:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966652084100505600/vid/avc1/884x472/Ix_-Z9s5rA2ULq_S.mp4?tag=21
'1966144797510353233',"Today, we honor the men and women who tragically lost their lives on 9/11. 

On this 24th Anniversary of one of the most harrowing moments in American history, we are reminded that there is power in people coming together in remembrance of those who have fallen. 

In the wake of recent unspeakable tragedies, there has never been a more critical time to stand unified as Americans. 

May God bless and continue to heal our nation.",en,Tweet,0,22,5,4,913,2025-09-11 15:20:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kk0SiXIAA_xvM.jpg
'1965889247963131943',"Charlie Kirk was a bold leader. He helped shape a generation of young people who fearlessly love America.
 
Charlie was a true American hero, and the movement he helped build will only grow after his passing.
 
The left is playing a dangerous game in selling a continuous stream of lies to the American public about the America First movement, about the nature of bills being passed in Washington, and about the conservative policies that they oppose. As they lose the battle of ideas, the left has reverted to violence and slander when faced with a difference of opinions. We must get back to a place of civil discourse in this country. 
 
My wife Dharna and I are praying for Charlie’s family and for healing within our nation.",en,Tweet,11,395,69,42,22816,2025-09-10 22:24:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965857889811349568',Please join me in praying for Charlie Kirk and his family.,en,Tweet,1,249,32,20,6010,2025-09-10 20:20:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1964479321625809051',"Alaska’s abundant resource potential provides the pathway for a stronger, more secure America!",en,Tweet,1,98,14,20,5045,2025-09-07 01:02:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
