tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970274743346471000',"The #Trump Administration's actions are actively weakening our public health infrastructure. 

From firings of HHS staff and replacing science with personal beliefs.

This dangerous, evidence-free approach not only fails to address urgent issues like rising autism rates, but also strips resources for expectant mamas in the #FightingFifth and across the country who already have limited options for pain management during pregnancy.

https://t.co/lGtfxBhbT1",en,Tweet,0,7,2,1,471,2025-09-23 00:51:19,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",#Trump,,,
'1970255642288885982',Wishing everyone in the #FightingFifth and beyond a happy and peaceful #RoshHashanah and a joyous New Year from my family to yours. https://t.co/jqmzXeKvKy,en,Tweet,0,2,2,1,306,2025-09-22 23:35:25,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","#FightingFifth,#RoshHashanah",,photo,https://pbs.twimg.com/media/G1fBEMIWQAAG42b.jpg
'1969876811044552900',"I voted NO on Republicans' spending bill that does nothing to address the growing healthcare crisis. At a time when families are already struggling with rising costs, increasing health care premiums will only harm #FightingFifth families. Catch up on the rest of my week in #NikemasNotes!",en,Tweet,0,6,0,2,353,2025-09-21 22:30:04,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",#FightingFifth,,photo,"https://pbs.twimg.com/media/G1ZohQyXQAACHTP.jpg,https://pbs.twimg.com/media/G1ZohR8WcAAeJ_i.jpg,https://pbs.twimg.com/media/G1ZohQzWEAAZwA1.jpg,https://pbs.twimg.com/media/G1ZohRoXkAE-e0V.jpg"
'1969860626433339515',"We must be clear-eyed about the intent behind the coordinated threats to HBCU campuses. I am urging the FBI to fully investigate these threats to student safety.

With the DOJ reporting that over half of hate crimes in 2024 were race-motivated, we cannot and will not tolerate threats that endanger Black students and institutions in the #FightingFifth or nationwide.

Black students already face significant challenges on college campuses. The added burden of feeling unsafe in environments where they are meant to feel seen, heard, and valued is unacceptable and must be addressed.",en,Tweet,0,11,3,1,479,2025-09-21 21:25:46,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,"https://pbs.twimg.com/media/G1ZZzL-XcAAKxYB.jpg,https://pbs.twimg.com/media/G1ZZzOXWQAE3GVz.jpg"
'1969835281458094317',"Great to spend time with @Teamsters during their Hill Day of Advocacy. 

I’ll always fight for fair wages and the right to organize, both in the #FightingFifth and across the country. https://t.co/Sv1eKlrrR7",en,Tweet,0,5,1,1,425,2025-09-21 19:45:03,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",#FightingFifth,,photo,https://pbs.twimg.com/media/G1ZCv7fWsAAP8_x.jpg
'1969793771568005405',"Football season is back! But before kickoff, I had the chance to spend some time with the @GeorgiaTech student body government for Government Leaders Day! 

It’s always inspiring to see young people in the #FightingFifth who are passionate about making a difference. 

These students are the next generation of difference makers, both here at home and across the country.",en,Tweet,0,5,2,2,583,2025-09-21 17:00:06,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",#FightingFifth,,photo,"https://pbs.twimg.com/media/G1Yc_kFWwAAmBao.jpg,https://pbs.twimg.com/media/G1Yc_qIXcAAyxjX.jpg,https://pbs.twimg.com/media/G1Yc_swXcAAAQ9Y.jpg,https://pbs.twimg.com/media/G1Yc_qqXMAItXtS.jpg"
'1969538052801642996',"Honored to join the @OutstandingAtl ceremony as an alum, celebrating professionals in the #FightingFifth. 

Proud to induct my friend Yterenickia S. Bell into the Class of 2025, a true trailblazer for justice, equity, and democracy. 

It was also a treat to see the one-of-a-kind Ann Cramer OA ‘75 lifetime achievement award and Mayor Shirley Franklin inducted as an honorary member. 

Congratulations to everyone on this well-deserved honor!",en,Tweet,0,1,2,0,351,2025-09-21 00:03:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FightingFifth,,photo,"https://pbs.twimg.com/media/G1U0WMVXoAALEGh.jpg,https://pbs.twimg.com/media/G1U0WL8W8AAnwJj.jpg,https://pbs.twimg.com/media/G1U0WL8WgAEMpE9.jpg,https://pbs.twimg.com/media/G1U0WMWWkAATkye.jpg"
'1969484948974551251',"It’s been a packed Saturday, with 2025 Service Academy Day keeping it going! 

Our Service Academies offer more than just an education; they provide teamwork, discipline, and perseverance—all virtues that help our #FightingFifth students succeed.

I truly enjoyed spending the morning with #FightingFifth students, celebrating them and cheering them on as they explore new opportunities.",en,Tweet,0,8,2,0,430,2025-09-20 20:32:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FightingFifth,,photo,"https://pbs.twimg.com/media/G1UEHkaW0AA6VjX.jpg,https://pbs.twimg.com/media/G1UEHkiWMAA7a3z.jpg,https://pbs.twimg.com/media/G1UEHkpWAAAxU0R.jpg,https://pbs.twimg.com/media/G1UEHkeW4AEUjcu.jpg"
'1969426673096384940',"Another Mayors 5k on the 5th Runway in the #FightingFifth! 

Happy to join @andreforatlanta 5K in support of youth education for the Youth Scholarship Program and United Way of Greater Atlanta. 👟 https://t.co/KV7Dx6H8ge",en,Tweet,0,9,2,2,311,2025-09-20 16:41:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FightingFifth,,photo,"https://pbs.twimg.com/media/G1TPGG3WsAAmHEF.jpg,https://pbs.twimg.com/media/G1TPGGyWIAAHMYO.jpg,https://pbs.twimg.com/media/G1TPGHCWkAA00t-.jpg,https://pbs.twimg.com/media/G1TPGG7W0AA089K.jpg"
'1969136819158589796',I voted no on the Republican continuing resolution that does nothing to address the growing healthcare crisis. Read my full statement. https://t.co/s2eyYmPZOk,en,Tweet,0,4,3,2,346,2025-09-19 21:29:37,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,"https://pbs.twimg.com/media/G1PHgFuWQAAu7Gc.jpg,https://pbs.twimg.com/media/G1PHgFjXoAAtb9M.jpg"
