tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970576135273804010',"To the countries that have recognized a Palestinian state: you are choosing to reward terror over peace. Hamas has rejected every reasonable offer to end the conflict. They continue to hold innocent hostages, launch rockets, and glorify the October 7th massacre. By offering recognition now, you are not advancing peace—you are encouraging more violence.

The truth is simple: there is no Palestinian state. What exists is territory controlled by terrorists with no borders, no capital, no currency, no functioning government, and no legitimate leaders. Recognition under these conditions is not diplomacy, it is appeasement. If you truly care about peace, then demand one thing first: release the hostages. Until that happens, every recognition of “Palestine” is nothing more than a reward for Hamas for choosing terror over diplomacy!",en,Tweet,0,17,0,1,466,2025-09-23 20:48:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970559969528606732',"Reminder: @HouseGOP passed the bill to keep the government open, and the Senate needs 60 votes to move anything.

If the government shuts down, it WILL be because of @SenateDems.",en,Tweet,13,1415,542,191,27040,2025-09-23 19:44:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970551884567261321',"Trump is correct, and about time someone said it. If Russian aircraft cross into NATO airspace they must be shot down, because defending sovereign skies is the foundation of deterrence. 

The longer NATO tolerates these violations, the bolder Moscow becomes and the greater the risk of a much wider war.",en,Reply,1,11,3,0,951,2025-09-23 19:12:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970551791784792454',"Trump is correct, and about time someone said it. If Russian aircraft cross into NATO airspace they must be shot down, because defending sovereign skies is the foundation of deterrence. 

The longer NATO tolerates these violations, the bolder Moscow becomes and the greater the risk of a much wider war.",en,Tweet,0,21,5,2,1199,2025-09-23 19:12:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970523458661687328',"Twitter, Facebook, and Google have now admitted they censored Americans at the request of the Biden White House. That is government-directed censorship. It is unconstitutional. It is un-American.

Democrats have forfeited the right to ever lecture anyone about “fascism” again. 

Great oversight @Jim_Jordan @JudiciaryGOP!",en,Tweet,1,12,5,4,829,2025-09-23 17:19:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970517831172399268',"@JessicaTarlov 🇰🇭 Cambodia – 🇹🇭 Thailand
🇽🇰 Kosovo – 🇷🇸 Serbia
🇨🇩 Congo – 🇷🇼 Rwanda
🇵🇰 Pakistan – 🇮🇳 India
🇮🇱 Israel – 🇮🇷 Iran
🇪🇬 Egypt – 🇪🇹 Ethiopia
🇦🇲 Armenia – 🇦🇿 Azerbaijan",fi,Reply,6,104,12,12,8644,2025-09-23 16:57:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970517800155558284',"🇰🇭 Cambodia – 🇹🇭 Thailand
🇽🇰 Kosovo – 🇷🇸 Serbia
🇨🇩 Congo – 🇷🇼 Rwanda
🇵🇰 Pakistan – 🇮🇳 India
🇮🇱 Israel – 🇮🇷 Iran
🇪🇬 Egypt – 🇪🇹 Ethiopia
🇦🇲 Armenia – 🇦🇿 Azerbaijan",fi,Tweet,0,5,0,0,513,2025-09-23 16:57:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970508103876550927',https://t.co/j2hUEHr2Ff,zxx,Tweet,1,7,1,1,568,2025-09-23 16:18:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,animated_gif,https://pbs.twimg.com/tweet_video_thumb/G1imq_YXIAAwSB8.jpg
'1970505022078099943',"Shutdown Schumer and Senate Democrats are threatening to close the government unless they get billions for illegal immigrants, taxpayer-funded transgender surgeries, bailouts for insurance companies, and more money for NPR.

They’re not fighting to protect seniors. They’re not fighting to lower costs for families. They’re not fighting to secure the border. They’re fighting for radical pet projects that nobody outside of the far Left even wants.

@HouseGOP already passed a common-sense bill to keep the government open, freeze spending for 50 days, and force debate on real appropriations.

But Schumer and the Democrats would rather shut the government down than give up a single dollar of their failed agenda. They want to gut the $50 billion rural health fund. They want to strip protections from patients and taxpayers. And they want to send your hard-earned dollars to criminals and illegal immigrants instead of to law-abiding Americans.

We’re not going to cave to that. We’re not going to trade away the future of this country just so the radical Left can keep their pet projects alive.

This is Schumer’s shutdown, and it makes clear they care more about power than the people they swore to serve.",en,Tweet,0,9,1,2,724,2025-09-23 16:06:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970498220372697411',"This is exactly what I’ve been hammering. Every euro Europe sends to Moscow fuels the same bombs raining down on Ukraine. 

The hypocrisy has to end! https://t.co/SZdBl5Rywr",en,Tweet,0,8,2,3,1565,2025-09-23 15:39:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970498159815069696/vid/avc1/1560x856/UDwntJlJR7kr6DPU.mp4?tag=21
