tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969923821961392529',"We appreciate Dr. Battacharya’s willingness to meet with @HouseIntel about our investigation into the IC’s mishandling of AHIs. 

The IC generated and utilized the NIH study’s invalid results to prop up the highly flawed intelligence community assessment. Amongst the many issues involved, the withholding of medical care to force participation in this human subject research study, as directed by personnel in the IC, betrayed those desperately seeking help.
 
I am grateful for @RepRonnyJackson’s continued leadership on this @HouseIntel investigation to uncover the truth for those victims.",en,Tweet,7,81,19,0,13202,2025-09-22 01:36:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969153189967773725',"Congratulations to Director Street on his confirmation as NCSC Director. With his U.S. Army background, he brings the skills necessary to usher NCSC into a new era. I look forward to working with Director Street as we look to address the disjointed U.S. counterspy apparatus and build a more unified, strategic effort to proactively disable, disrupt, and neutralize the foreign intelligence threat in the homeland.",en,Tweet,0,24,7,0,2220,2025-09-19 22:34:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969112479771828307',"Today, I voted in favor of the @HouseGOP  CR to keep our government running beyond Sept. 30th. This plan prevents a harmful shutdown, prioritizes fiscal responsibility, and serves the American people. I look forward to seeing my colleagues in the Senate pass this legislation so that the government can remain open and we can continue delivering wins for our constituents back at home #AR01",en,Tweet,0,5,0,12,485,2025-09-19 19:52:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969069289576489227',"Yesterday, my staff and I had the privilege to put together care packages for our brave servicemembers out in the field. Thank you @The_USO  for hosting such a special event https://t.co/mrBAGtoSwD",en,Tweet,0,10,4,3,461,2025-09-19 17:01:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OI1ZkXEAAR1Gf.jpg,https://pbs.twimg.com/media/G1OI5z1XoAA0rKw.jpg"
'1968671646488658084',"I want to wish a happy 78th Birthday to the @USAirForce! I'm proud to honor the servicemembers who defend our skies, protect American interests, and secure our nation. Your courage & innovation are crucial to our warfighting ability. Thank you for your service! 🇺🇸✈️ #AirForceBirthday #AR01",en,Tweet,1,8,1,5,422,2025-09-18 14:41:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968408783404593413',"I was honored to join my House colleagues to remember the life and legacy of Charlie Kirk. Charlie was a bold champion of conservative principles and free speech, and a great American who loved this country. His legacy will continue to inspire and shape future generations. https://t.co/qhsPaDOnku",en,Tweet,1,9,2,1,539,2025-09-17 21:16:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EwvgCW0AAt27h.jpg
'1968039133156348031',"Honored to announce this @HouseIntel review of the 9/11 Commission's intelligence recommendations. While the threats look different today, the mission remains the same: we can never allow a failure to connect the dots to result in catastrophe ever again. 

More from @RobyBrock here: https://t.co/ViALIeTdl8",en,Tweet,1,5,1,0,550,2025-09-16 20:47:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966510952238768529',"Thank you to all the local, state, and federal law enforcement who didn’t rest until this terrorist was apprehended. Under Director Patel and AG Bondi’s leadership, I am confident justice for Charlie will be served and I strongly encourage them to make an example of this cowardly scumbag.",en,Tweet,0,11,2,0,990,2025-09-12 15:35:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966145136246612304',"Today, we remember and honor those lives lost in the September 11th terrorist attacks on the United States. We remember the first responders who ran toward danger without hesitation and the heroes who sacrificed their lives to save others. The words “Never Forget” continue to serve as a commitment to always honor those lives lost.",en,Tweet,0,7,2,0,558,2025-09-11 15:21:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kmgtPWYAA3GM9.png
'1965893736908398955',"I am devastated by the assassination of Charlie Kirk, and I am praying for his family and loved ones. He will always be the voice that shaped a generation of conservatism, and that will live on. I have complete confidence in FBI Director Patel to carry out a robust and rapid investigation to bring the assassin to justice. Today was nothing short of an act of terrorism. Our nation is at a turning point—a critical vector—and it’s time to decide what we want the United States to stand for going forward. Because if history has shown us anything, the path of political violence we are on is a dangerous one.",en,Tweet,3,31,9,0,23516,2025-09-10 22:42:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
