tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970499358962413780',"""America is for the American people.""

President Trump is giving a barnburner speech at the UN. Tune in!",en,Tweet,0,15,0,7,909,2025-09-23 15:43:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970295912841756912',"I’m a father of two daughters, and this is hugely important to me. I don’t want males competing with my daughters in sports, particularly as they start to get older.

That’s why I filed an amicus brief with SCOTUS to defend West Virginia’s law keeping men out of women’s sports.

Hear more from my interview w/ @wtaptelevision 📺 ⬇️",en,Tweet,3,39,3,8,3721,2025-09-23 02:15:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970228478298726624',Great to be back in Parkersburg today! https://t.co/tQs0e1sFmu,en,Tweet,0,7,1,2,510,2025-09-22 21:47:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1el8huWgAEXtCG.jpg
'1970194475151667405',"Thank you to all who gathered last night at the Martinsburg vigil to remember the life and legacy of Charlie Kirk.

His strong faith in Christ, love of country, and defense of the truth will never be forgotten. 

Eternal rest grant unto him, O Lord, and let perpetual light shine upon him.",en,Tweet,0,11,1,0,587,2025-09-22 19:32:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1eJbsuW0AArAq6.jpg,https://pbs.twimg.com/media/G1eJbsyXMAAP2aS.jpg,https://pbs.twimg.com/media/G1eJbsnXEAAr9pJ.jpg"
'1969836208038797770',"Well done, good and faithful servant.

Today we remember the life and legacy of Charlie Kirk. May he eternally rest in peace.",en,Tweet,4,84,6,7,2876,2025-09-21 19:48:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969186579894632658',"The H-1B visa program has been disastrous for the American worker. Enough is enough. 

Listen to my interview with @AuronMacintyre discussing this, the left's response to the assassination of Charlie Kirk, and why we need to give Pat Buchanan the Medal of Freedom.",en,Tweet,3,26,7,6,2800,2025-09-20 00:47:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969055343125643568',🚨 BREAKING: Less than half of House Democrats voted to condemn murder https://t.co/B2sb0DyWh6,en,Tweet,15,316,70,52,41884,2025-09-19 16:05:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N9ZgMX0AALNZp.jpg
'1969020008190693579',"If it was up to Senate Dems, they would obstruct and hold up every single one of @POTUS’ nominees. We can’t afford to keep these positions vacant while Dems play politics.

That’s why @SenateGOP had to trigger the nuclear option to get 48 nominees across the finish line yesterday. @POTUS needs his team. It’s that simple.

Hear more of my conversation with @MorningsMaria ⬇️",en,Tweet,0,24,4,4,740,2025-09-19 13:45:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969019922836504577/vid/avc1/960x540/JLlNONRmk2k9QB_i.mp4?tag=21
'1969014023329870216',"No one wants what’s in the Democrats’ CR. It is a train wreck. @SenSchumer stuffs in $1.4 TRILLION in spending on COVID era health subsidies and gives subsidies and benefits back to illegal immigrants! The Dems are playing games and holding the American people hostage. It’s disgraceful.

Hear more of my conversation with @MorningsMaria ⬇️",en,Tweet,1,18,5,5,808,2025-09-19 13:21:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969013940987289600/vid/avc1/568x320/fpVjG9TUSJTYWC44.mp4?tag=21
'1969011592638468342',"We are trying to bring back regular order, while @SenSchumer and the democrats are playing games.

We must pass this clean and straightforward short-term CR bill to ensure @POTUS can continue delivering for the American people.

Hear more of my conversation with @MorningsMaria ⬇️ https://t.co/w0epjE5faZ",en,Tweet,0,8,4,1,881,2025-09-19 13:12:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969011512418197504/vid/avc1/568x320/GggIvykKLhfVObnO.mp4?tag=21
