tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970557855951470930',"It was great to spend my afternoon with Habitat for Humanity of St. Joseph County and hear about their latest efforts to provide quality, attainable housing throughout our region. https://t.co/jV1BQYm7PH",en,Tweet,0,0,0,0,309,2025-09-23 19:36:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jT6y0WoAE7FyB.jpg
'1970232080769462407',Shanah Tovah to all those celebrating Rosh Hashanah! https://t.co/k0qSKRACNp,en,Tweet,1,2,0,1,297,2025-09-22 22:01:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1erdnaWIAEV9ki.jpg
'1969122153271333075',"The Ensuring Patient Access to Critical Breakthrough Products Act cuts red tape to deliver life-changing medical devices to seniors faster. 
https://t.co/XAQAPhQftm",en,Tweet,2,2,1,3,428,2025-09-19 20:31:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://wibc.com/734221/indiana-representative-rudy-yakym-says-new-bill-will-improve-patient-healthcare/,,
'1968991802330919130',My team will be available in La Porte and Nappanee today for mobile office hours. https://t.co/HLgd5H5Mp9,en,Tweet,0,3,0,5,388,2025-09-19 11:53:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1NDm9uWIAA-sfG.jpg
'1968769051129237552',It is just basic common sense to want safe streets and crime-free communities.,en,Tweet,0,5,0,9,552,2025-09-18 21:08:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968734050773803031',"BIG NEWS: Our office has officially returned over $78 million to Hoosiers! Whether it’s help with the IRS, Social Security, VA benefits, or Medicare — we're here to serve YOU. Proud to deliver results for Indiana! https://t.co/VdXVmFaqTx",en,Tweet,0,2,0,6,343,2025-09-18 18:49:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1JZLv6XcAA2WNV.jpg
'1968464261157462120',"Please join Sallyann and me in keeping these brave police officers and their families in your prayers. We are deeply grateful for the courage and sacrifice of our law enforcement officers who put their lives on the line to keep our communities safe. 
https://t.co/3yvHTxbwnr",en,Tweet,0,14,2,3,713,2025-09-18 00:57:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/us/5-police-officers-shot-3-dead-pennsylvania-fbi-investigating,,
'1968391008552689670',"When a medical device is proven safe and effective, seniors shouldn't have to wait years to access it. This bill cuts red tape so Medicare patients can receive breakthrough treatments, because timely access means hope for those facing serious illness. https://t.co/vv5XlRp1xB",en,Tweet,0,10,2,1,902,2025-09-17 20:06:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968390687243505664/vid/avc1/1280x720/Ybp_u2bVw4BSEjgo.mp4?tag=21
'1968322119282110845',"On Constitution Day, we honor the vision of our Founders and renew our commitment to safeguard the liberties they entrusted to us🇺🇸 https://t.co/tgDKqpolh6",en,Tweet,0,4,0,2,296,2025-09-17 15:32:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DhCodXsAA597W.jpg
'1968059337110327339',Need federal casework assistance? My team will be available in Argos and Walton tomorrow. https://t.co/BLwBcVruTM,en,Tweet,0,0,0,1,293,2025-09-16 22:08:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_ziQ9XsAAOd3g.jpg
'1968046839309258807',"Non-profit hospitals play a vital role in patient care, sometimes as the only source of care for patients. We must protect hospitals that honor their tax-exempt status and hold accountable those that abuse it. https://t.co/tFn4Cr40Tm",en,Tweet,4,12,4,4,2201,2025-09-16 21:18:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968046777484853248/vid/avc1/1280x720/BFhJZ-njUhmHek9H.mp4?tag=21
