tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970228567608062141',"Spent time with the Montana Association of Counties conference in Great Falls today. One of my top priorities in Congress is making sure our counties aren’t left behind on infrastructure. Our Commissioners are on the front lines, working hard to take care of small and often overlooked communities’ water, road and bridge needs. They can count on me to have their back in Congress.",en,Tweet,0,6,1,2,429,2025-09-22 21:47:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1eob51aoAQTf8v.jpg,https://pbs.twimg.com/media/G1eob6FbsAAjMhE.jpg"
'1969120811173794077',"The Rural Health Transformation Program is the single largest investment in rural healthcare in history. It is designed to put states in charge of implementation, which means no D.C. bureaucrats who don't know what it's like to live miles away from a hospital, no middlemen. Funds go directly to our most vulnerable hospitals. $50 billion, distributed by Montanans, for Montanans.",en,Tweet,0,11,1,4,460,2025-09-19 20:26:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1969069977765310824',"America runs on truckers. During National Truck Driver Appreciation Week, I want to thank the men and women who keep goods moving and shelves stocked. We wouldn't have an economy without our truck drivers, simple as that. 🚛",en,Tweet,2,12,3,1,679,2025-09-19 17:04:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1969051464489169353',"I voted for today’s 51-day continuing resolution because it gives Congress a set amount of time to tackle the remaining departmental funding bills while keeping our borders secure, our veterans healthy, and government working for the American people. 

For too long, Democrat-led megabills have allowed Congress to duck its responsibility to be good stewards of tax dollars. As a result, we saw runaway spending and woke government programs run out of control. Republicans are committed to getting the job done the right way. Senate Democrats are obstructing the process and threatening to shut down the government over politics. 

All twelve House appropriations bills have passed out of committee, three have passed the floor, and now we have a month and a half to finish the job. It’s time to step up and govern responsibly.",en,Tweet,1,12,2,3,1188,2025-09-19 15:50:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969047327030804908',"On #POWMIA Recognition Day, we send a clear message: You are not forgotten. https://t.co/FbhmRZgPVx",en,Tweet,0,11,0,2,351,2025-09-19 15:34:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#POWMIA,,photo,https://pbs.twimg.com/media/G1J8xaJXkAElryF.png
'1968762528449658921',If you are celebrating the political assassination of a father… a husband… I don’t want you on my SEAL Team. https://t.co/HmgXLRluja,en,Tweet,1,48,5,6,1760,2025-09-18 20:42:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968761816382631936/vid/avc1/1080x1920/ZwavTKVbGOw8SNDb.mp4?tag=21
'1968690703086612862',"Happy #AirForceDay to the airmen at @malmstromafb  and beyond! From homeland defense to global missions, the U.S. Air Force stands watch over our nation. Today we thank every Airman for their service and unwavering commitment to keeping America safe. I always enjoyed hitching a ride. Fly-Fight-Win!",en,Tweet,0,11,1,2,440,2025-09-18 15:56:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#AirForceDay,,photo,https://pbs.twimg.com/media/G1IxlH2WAAAcO92.jpg
'1968389690714918980',The bears have recovered. It’s time to delist. https://t.co/52wklBw0aD,en,Tweet,0,15,3,7,764,2025-09-17 20:00:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EfuosXoAAKVHw.jpg
'1968376463893422413',Don’t miss it! Next Wednesday from 9–10 am I’ll be live with Peter Christian on @Newstalk_KGVO for another radio town hall. Phone lines will be open to everyone. Call in Montana! https://t.co/jH6mybUmlv,en,Tweet,1,6,1,2,378,2025-09-17 19:08:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ET81GWYAA06zW.jpg
'1968333537574047870',"Marathon Day for the @HouseForeignGOP as we mark up State Department Reauthorization. For too long, the State Department has been bureaucratic, ineffective, and even misaligned with our nation’s defense. Fixing it won’t be easy, but the result will be a stronger America and better support for our armed forces. Let’s get to work.",en,Tweet,1,16,4,3,1781,2025-09-17 16:17:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968319989020000300',"MT Coffee with special guest, former Senator Max Baucus",en,Tweet,0,8,0,1,334,2025-09-17 15:23:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1DgVp9WcAAoeA7.jpg,https://pbs.twimg.com/media/G1DgW7DWAAEGs43.jpg,https://pbs.twimg.com/media/G1DgX5JWgAAuHNP.jpg"
'1968046241838952610',"Explaining the appropriations process with
Congressman Ryan Zinke https://t.co/jsfT6hpFOx",en,Tweet,0,4,2,1,575,2025-09-16 21:16:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968046163723956224/vid/avc1/1080x1920/x0dR0aGv0Q5FCZLs.mp4?tag=21
'1967981059959820732',"A map of Whitefish from 1922! Amazing to see the town in its railroad and lumber days. I even found the lot where my grandma built her house in 1938, still home to me and my family today. Thank you @librarycongress https://t.co/YwErNMP2zW",en,Tweet,0,8,0,1,441,2025-09-16 16:57:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0-r2V4WMAEMMzR.png,https://pbs.twimg.com/media/G0-r276W4AAo8rU.png"
