tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969822120315064321',"Charlie Kirk was a man of incredible faith and an exemplary father and husband, who worked tirelessly to give a voice to the younger generation and the conservative movement by engaging in dialogue with opposing viewpoints. He was doing exactly that when he was senselessly assassinated. Family, friends, and leaders from across the country will join today to mourn his passing. I was proud to support the resolution we passed this week in the House that honored the life and legacy of Charlie and offering our condolences to his family, while condemning his assassination and all political violence.",en,Tweet,6,238,29,25,11469,2025-09-21 18:52:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Y2xykWkAAvQx1.jpg
'1969043570087583835',"It’s National Truck Driver Appreciation Week. Thank you to the 3.6 million truck drivers—and all who work in the industry—who make sure that groceries, household goods, building materials, and everything else gets where it needs to go. We depend on you! #thankatrucker",en,Tweet,0,11,2,2,837,2025-09-19 15:19:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#thankatrucker,,,
'1968791974565048546',"The brutal murder of Irina Zarutska should be a wakeup call for us all. We have to stop the violent crime plaguing our nation’s transit systems.

I invited Kansas City Chief of Police Stacey Graves to the Transportation and Infrastructure Committee’s roundtable today to share her experience with crime on our transit systems and how to combat it.

I appreciate her willingness to share her insight with the Committee today.",en,Tweet,0,13,2,4,1436,2025-09-18 22:39:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1KNtURWQAAooHy.jpg,https://pbs.twimg.com/media/G1KNu3SXcAAi-Md.jpg,https://pbs.twimg.com/media/G1KNvxVX0AAOTkF.jpg,https://pbs.twimg.com/media/G1KNwgGWgAEtwJW.jpg"
'1968408903391072437',"In our tech-driven world, the odds are good you’re reading this post on an app right now. Today is National App Challenge Day. Every year, I host the Congressional App Challenge for any student in North Missouri who is interested in coding and creating apps. It’s never too early to create the next big app. Any interested middle or high schooler should apply today at https://t.co/LeFEKgfnzx. #NationalAppChallengeDay #Code4Congress",en,Tweet,0,4,1,2,495,2025-09-17 21:17:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966192295000088656',"It's been 24 years, but we don't forget where we were that day. Today, we pause and remember those we lost, the families and friends who still grieve, and the heroes who sacrificed everything to save the lives of their fellow Americans.

Shortly after the attacks, I did an interview with KMA Radio. You can listen to that interview here - https://t.co/P0ymjWAFyz",en,Tweet,0,9,1,1,1012,2025-09-11 18:29:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0lRKpQXAAAUu79.jpg
'1965895607740186629',"Charlie Kirk wasn’t just an inspiration to millions of Americans, he was a son, a husband, and a father.

Because of the vile and hateful actions of a cowardly assassin today, he was taken from his young family far too soon.

No American should be afraid to speak up for what they believe in. Join me in praying for his family and friends as they grieve this loss and pray for our nation.",en,Tweet,0,28,5,6,3442,2025-09-10 22:50:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965861270865031402',"Join me in praying for Charlie Kirk, who was shot at an event at a university today. Keep his family and all affected in your prayers as well.",en,Tweet,1,50,8,5,4317,2025-09-10 20:33:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965851673324368201',"Great job by the Coast Guard keeping these drugs off our shores. This is why I worked with President Trump to make a major investment in the USCG, giving them the tools they need to keep our maritime borders secure.",en,Tweet,0,2,0,1,831,2025-09-10 19:55:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965800633178509349',The murder of Iryna Zarutska in Charlotte is horrific. No one should fear for their life on a public transit system. This is what happens when the left allows criminals to run loose in our cities.  I commend @SecDuffy for targeting crime on our transit systems and I’ll work with him to ensure safety is a priority.,en,Tweet,0,8,3,4,1020,2025-09-10 16:32:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963386130918768786',"Great to get my bill to dramatically reform FEMA through the Transportation Committee today. Communities across North Missouri have faced countless tornados and floods over the years. Yet, FEMA never seems to get the job done when it comes to recovery efforts. The FEMA Act will help disaster survivors access aid quicker, by cutting the bureaucracy and red tape. This bill ensures FEMA will help, not hurt, communities in the wake of a disaster and I look forward to it going to the House floor. https://t.co/0JBd8WDGLr",en,Tweet,0,15,4,19,1454,2025-09-04 00:38:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1960735883306455515',"This morning’s shooting at Annunciation Catholic School in Minneapolis is heartbreaking. My prayers are with the children, their families, the teachers, and the entire community impacted by this heinous act of violence.
https://t.co/Sv43VvkD9P",en,Tweet,1,7,1,5,1021,2025-08-27 17:07:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/us/minnesota-governor-says-shooting-has-taken-place-minneapolis-catholic-school,,
'1958991056177176715',"It’s National Aviation Week! I had the opportunity to speak this week at the 4 States Airport Conference in Kansas City about the critical funding that the One Big Beautiful Bill puts towards modernizing our nation’s air traffic control system.

We also discussed the importance of the FAA Reauthorization Act that was signed into law and the future of aviation.

Thanks to all who attended and to the 4 States Airport Conference for hosting me!",en,Tweet,1,43,9,23,10814,2025-08-22 21:33:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gy-7-4-XgAAa8L2.jpg,https://pbs.twimg.com/media/Gy-7-5DXAAAnUVb.jpg,https://pbs.twimg.com/media/Gy-7-47XQAEn-vG.jpg"
'1957826312782914014',Congratulations to my good friend Catherine Hanaway on her appointment as the next Attorney General for Missouri. She is committed to the rule of law and has a long history of public service to our great state. She’s a great choice by @GovMikeKehoe and will do an excellent job ensuring that law and order is a priority for Missouri.,en,Tweet,0,15,3,4,1947,2025-08-19 16:25:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1957600541770391957',"Congratulations to Missouri Attorney General Andrew Bailey on being named Co-Deputy Director of the FBI.

He's been an incredible asset to our state and his oversight and leadership will help restore law and order across the country. 

https://t.co/F32STbgYQw",en,Tweet,0,16,3,4,1146,2025-08-19 01:28:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/politics/bondi-patel-tap-missouri-ag-additional-fbi-co-deputy-director-alongside-bongino,,
'1956123804456927420',"I've been saying the St. Louis Processing and Delivery Center was a black hole and mail went there to die, but it turns out that was an understatement. 
 
Following repeated calls for an investigation into the mail issues there from me and my colleagues in Missouri and Illinois, the USPS Office of Inspector General released their findings from the audit they conducted over the last 3 months at the St. Louis facility.
 
In just two days in June, almost 2.6 million pieces of mail were delayed. If that wasn’t bad enough, they only reported around 1.5 million pieces as delayed. They weren't even reporting the missed mail correctly! On top of that, over 50% of all outbound mail trips from the STL processing facility from May 2024 - April 2025 were late or canceled. Local carriers can’t deliver the mail if it doesn’t get to them. That’s completely unacceptable.
 
Management acknowledges that there were issues and promised to fix them. That’s not gonna cut it. It’s time for management to go and the Postal Service needs to overhaul this facility completely so Northeast Missouri can start getting their mail on time once again. 
 
You can view the full audit here >>> https://t.co/LnUkbFYczO",en,Tweet,7,116,23,16,8986,2025-08-14 23:40:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
