tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970576434037973447',GUILTY.,en,Tweet,0,24,3,8,2099,2025-09-23 20:50:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970567274038751370',Globalism is even worse for America than “global warming.”  And “green energy” is a recipe for disaster.,en,Tweet,2,103,23,17,4973,2025-09-23 20:13:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970533823281586583',"The PENNSYLVANIA MARCH FOR LIFE began yesterday with a beautiful (and packed!) Mass at Saint Patrick Cathedral, followed by throngs of people who believe in protecting the most sacrosanct of the unalienable rights given to us by God:  LIFE. Does the heart good to see all of this - but especially the tons of young people who are joining the effort more and more.",en,Tweet,0,41,11,9,1816,2025-09-23 18:00:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1i-EV1WoAAzpPK.jpg,https://pbs.twimg.com/media/G1i-EVrX0AApyPB.jpg,https://pbs.twimg.com/media/G1i-EV1XkAA_fK2.jpg,https://pbs.twimg.com/media/G1i-EV_XwAMinQz.jpg"
'1970522943068479618',"The radical Left is trying to shut down the government unless we provide or allow:

❌ “free” healthcare for illegals;

❌ continued fraud within Medicaid;

❌ trans surgeries for minors; and 

❌ open borders - 

to name a few. 

The American People did not ask for this.  Hold the line.",en,Tweet,11,408,225,171,10345,2025-09-23 17:17:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1i0LGfXEAAVmdd.jpg
'1970493373611143658',"For some reason, the “Trust the Science” crowd is the greatest apologist for profit-driven Big Pharma. Thank you, @SecKennedy for standing strong on this health crisis.",en,Tweet,2,88,18,15,2793,2025-09-23 15:20:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970491139456475619',"THANK YOU, @SecretService. Well done.",en,Tweet,1,78,22,5,2937,2025-09-23 15:11:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970258230006948084',"The leader of Hamas said that the “fruits” of October 7th would be recognition by Western nations of a Palestinian state. Sadly, Canada and other nations are choosing to side with terrorists instead of Israel.",en,Tweet,1,27,10,18,2935,2025-09-22 23:45:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970222837127356919',Congress must investigate these Soros-linked prosecutors.,en,Tweet,5,236,89,74,9363,2025-09-22 21:25:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970220526552723527',"POTUS knows how to make a deal for the American People.

Promises Made, Promises Kept 🇺🇸",en,Tweet,0,19,4,8,2537,2025-09-22 21:15:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970179859348697396',"Warm wishes of joy, health, and renewal to our Jewish friends as you celebrate New Year! God bless. https://t.co/IZzs8HTaHv",en,Tweet,0,18,6,6,1488,2025-09-22 18:34:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1d8JAKWAAARclT.jpg
'1969133799339373005',"I’m shocked to learn of the tragic death of Messiah University senior, Brendan Heisey (Elizabethtown), who was struck by a train this morning near the south entrance of the campus. I extend my heartfelt sympathies and ask you to join me with prayers for him, his family, friends, and college community.

https://t.co/fO753KfEu2",en,Tweet,0,31,2,6,1712,2025-09-19 21:17:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
