tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970583601726046700',"The only American that Republicans' partisan funding bill serves is Donald Trump.

@HouseDemocrats are united in the fight to protect health care and the wellbeing of the American people. https://t.co/jkeXKRcPvQ",en,Tweet,0,6,4,1,907,2025-09-23 21:18:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jqqqGXEAAUiyK.jpg
'1970539020338782522',"I joined members of the Maryland Delegation to visit the Beltsville Agricultural Research Center, which has led innovation in agricultural research for decades.

We will continue fighting the Trump Admin's efforts to shutter the facility and working to protect BARC, its experts, & the health and safety of the American people.

https://t.co/7ukodP0RYJ",en,Tweet,0,9,4,3,1541,2025-09-23 18:21:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1jAh-FWgAAk7tB.jpg,https://pbs.twimg.com/media/G1jAjohWQAADjXH.jpg,https://pbs.twimg.com/media/G1jAk0zXUAAnA9R.jpg,https://pbs.twimg.com/media/G1jAl5NXAAADIuo.jpg"
'1970268806040952964',"As Jews across America, in Israel, &amp; around the world gather with their families to observe Rosh Hashanah, I pray that this new year is one of joy &amp; new beginnings.

Let us all strive to find moments of sweetness in this season of renewal. Shana Tova.",en,Tweet,0,5,2,0,991,2025-09-23 00:27:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969170646706929801',"The Key Bridge was a vital transportation artery & gateway to the Port of Baltimore, & the federal government's commitment to fund the rebuild was enacted in law.

Team Maryland will keep working with @USDOT to deliver on this national priority & commitment.

https://t.co/jIATtnLq9Y",en,Tweet,0,5,4,1,1197,2025-09-19 23:44:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969151565748466109',"This week, Republicans advanced four bills that undermine Washington D.C.’s autonomy &amp; disregard the will of Washingtonians and their elected officials.

The people of our nation's capital deserve better. They deserve statehood.

https://t.co/zAzCEOZVUy",en,Tweet,0,12,4,3,914,2025-09-19 22:28:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://hoyer.house.gov/media/press-releases/hoyer-statement-house-republicans-latest-attempts-undermine-dcs-home-rule,,
'1969112587301175308',"House Republicans may have successfully jammed through their partisan funding bill today, but they failed to challenge Trump's cuts, lower costs, &amp; protect health care.

Democrats will continue working to ensure the government functions for all Americans.

https://t.co/Dxt8klzmRk",en,Tweet,0,5,0,1,796,2025-09-19 19:53:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://hoyer.house.gov/media/press-releases/hoyer-statement-republicans-partisan-funding-bill,,
'1968717943253921883',"It is always great to see my dear friend Melanie Lundquist & the @PartnershipLASchools team, whose investments in public schools have supported over 13,500 students across Los Angeles.

Their work is an example for all of us: when we invest in our teachers, students, and families, we all have the chance to thrive.",en,Tweet,0,2,2,3,1080,2025-09-18 17:45:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JIDN4XQAk45Ia.jpg
'1968682668603633924',"The science is clear: carbon pollution endangers the health & welfare of Marylanders and Americans across the country.

Team Maryland will keep working to ensure @EPA continues to uphold scientific consensus & combat the impact of climate change in our communities.

https://t.co/W6RUGdZ16S",en,Tweet,0,5,2,2,785,2025-09-18 15:24:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968467295228891203',"Great to meet with #MD05 @Teamsters to discuss action to combat efforts to undermine their right to organize and collectively bargain.

I commend their staunch advocacy and look forward to our continued work together to ensure fair contracts, safe conditions, and good wages for all American workers.",en,Tweet,0,2,0,1,1020,2025-09-18 01:09:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#MD05,,photo,https://pbs.twimg.com/media/G1FmkGKXUAAL2Zg.jpg
'1968305789938118773',"My full statement regarding Russia's recent and unprecedented military drone incursions and the escalating war in Ukraine:

https://t.co/ZGgO7IUyev https://t.co/cWApBTuW8L",en,Tweet,0,4,4,2,885,2025-09-17 14:27:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://hoyer.house.gov/media/press-releases/hoyer-statement-russian-drone-incursions-continued-attacks-ukraine,photo,https://pbs.twimg.com/media/G1DR_0hWgAAQjeR.jpg
