tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970620246957654143',"Thanks to the @HouseGOP, Washington’s healthcare premiums are going up.

Visit https://t.co/SR0hTnz43D to see what this means for you and your family. https://t.co/0EBL2nGSDE",en,Tweet,0,11,11,11,1287,2025-09-23 23:44:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://healthcare.gov,video,https://video.twimg.com/amplify_video/1970620147560779776/vid/avc1/720x1280/sa0rf5o3uYAifihM.mp4?tag=21
'1970276928641999148',"Right now, millions across our nation and the world are celebrating #RoshHashanah. May this occasion serve as a time for hope and renewal for all.

Shana Tova. https://t.co/lpXxvQ9KVF",en,Tweet,0,1,1,0,260,2025-09-23 01:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#RoshHashanah,,photo,https://pbs.twimg.com/media/G1e_RImWQAAvAuu.jpg
'1969850193991639055',"Thank you, @NLBCLACEY, for inviting me to join your community in celebrating 50 successful years.

New Life Baptist was the first Black church in Thurston County and has become the largest. https://t.co/D5liCoak4d",en,Tweet,0,5,2,1,341,2025-09-21 20:44:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1ZNGqEXYAARZrl.jpg,https://pbs.twimg.com/media/G1ZNH0QW4AIwCK9.jpg,https://pbs.twimg.com/media/G1ZNIo9WoAA4YTp.jpg,https://pbs.twimg.com/media/G1ZNJrCWIAAX06v.jpg"
'1969491755507564834',"It was good to be back with the OURCHURCH community. 

OURCHURCH continues to serve the #SouthSound, including making hundreds of cards this past Valentine’s Day for our servicemembers. https://t.co/8OjPFvElR3",en,Tweet,0,0,2,0,184,2025-09-20 21:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#SouthSound,,photo,"https://pbs.twimg.com/media/G1TnleXWQAADCmQ.jpg,https://pbs.twimg.com/media/G1TnleoWsAAPeOb.jpg,https://pbs.twimg.com/media/G1TnlfBXsAA0z0q.jpg"
'1969159973574717853',"As a nation, we need to be smart about how we accommodate our growing grid demands.

Thank you, @NEMAupdates and GridWise Alliance, for supporting innovation, reliability, and security for our nation’s grid infrastructure. https://t.co/RJnd7UwwLU",en,Tweet,0,1,1,2,288,2025-09-19 23:01:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1PbfrmWoAAotnD.jpg,https://pbs.twimg.com/media/G1PbjBgXQAAUQoi.jpg,https://pbs.twimg.com/media/G1Pbk0KWEAEPuKC.jpg,https://pbs.twimg.com/media/G1Pbl_wXEAEaw-T.jpg"
'1968823458248196538',".@POTUS and the @HouseGOP are using working families to pay for their billionaire buddies.

Ridiculous, selfish, and out of touch with what Americans need.",en,Tweet,0,3,2,3,518,2025-09-19 00:44:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968778831365378289',"Farmers provide the everyday essentials that we depend on. That's why I introduced my Capital for Beginning Farmers and Ranchers Act with @SenPeterWelch and @RepAdams that will help new farmers and ranchers address early financial challenges.
 
Read: https://t.co/TBlmVGFTIu https://t.co/IeQHqliYoq",en,Tweet,0,3,0,1,392,2025-09-18 21:47:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://strickland.house.gov/2025/09/15/strickland-gives-new-farmers-ranchers-early-financing-opportunities/,photo,https://pbs.twimg.com/media/G1KB6AhWIAAQy7g.jpg
'1968412337859154118',"It's #CitizenshipDay and as the daughter of an immigrant, I understand just how meaningful gaining citizenship is.
 
That's why I was proud to join @TCH1910 and 45 students as they continue on their own journeys to citizenship. https://t.co/YiiQN1eGbb",en,Tweet,0,4,1,0,256,2025-09-17 21:30:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CitizenshipDay,,photo,https://pbs.twimg.com/media/G1EzRk8WoAA9KDj.jpg
'1968001075384029474',.@SecWar and @POTUS want to honor traitors who fought for slavery at our military bases. We can't let that happen.,en,Tweet,0,2,1,0,317,2025-09-16 18:16:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967593519759184072',"Today, we begin the celebration of #HispanicHeritageMonth, a time where we uplift the culture, voices, and history of the Hispanic community in the #SouthSound and across the nation. https://t.co/RpZL0iBGvJ",en,Tweet,0,1,0,0,273,2025-09-15 15:17:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#HispanicHeritageMonth,#SouthSound",,photo,https://pbs.twimg.com/media/G05Lvi7XkAAWmTl.jpg
'1967317430499221847',"Joined @WSCarpenters to celebrate their graduating class! Over 50 highly skilled carpenters are entering the workforce, strengthening our local economy and building up the #SouthSound. https://t.co/wq451NMdMP",en,Tweet,0,3,2,1,359,2025-09-14 21:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#SouthSound,,photo,https://pbs.twimg.com/media/G00waUuWAAAMbMM.jpg
'1966956496391962675',https://t.co/ioguvBDinp,zxx,Tweet,0,1,1,1,327,2025-09-13 21:05:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,"https://video.twimg.com/amplify_video/1966956396072644608/vid/avc1/720x1280/2REASXvKauoYXFqN.mp4?tag=21,https://video.twimg.com/amplify_video/1966956396085227520/vid/avc1/494x878/GS4gUNPip5fx4A9x.mp4?tag=21"
'1966955044806209628',"Congratulations to @AlaskaAir on bringing direct service between the #PNW and Korea, further connecting our two countries. Now more than ever, we must remember the strength, resilience, and importance of the shared history between the United States and South Korea. https://t.co/IH88cjQeD3",en,Tweet,0,5,2,0,686,2025-09-13 21:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#PNW,,photo,"https://pbs.twimg.com/media/G0v_fOnXkAA8IL4.jpg,https://pbs.twimg.com/media/G0v_gpFWQAAc4_w.jpg,https://pbs.twimg.com/media/G0v_gpjXQAAbegI.jpg,https://pbs.twimg.com/media/G0v_wJ3WEAAU0kK.jpg"
'1966592654566642093',"I joined @fife_washington at Sheffield Trail, cutting the ribbon on renovations!

Our communities must be safe and accessible - that's why I #deliveredfortheSouthSound, securing $800K to widen the path, restore local vegetation, increase visibility, and make our home more connected.",en,Tweet,0,3,3,0,256,2025-09-12 21:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#deliveredfortheSouthSound,,photo,"https://pbs.twimg.com/media/G0qgdMoXQAAGtmI.jpg,https://pbs.twimg.com/media/G0qgeVVWkAAO6hw.jpg"
'1966124710132961751',"Today, we mourn the lives lost during the 2001 attacks on our nation. We can never forget our heroic first responders and fallen loved ones. 
 
#NeverForget https://t.co/tgGIO9mDUU",en,Tweet,0,2,2,0,254,2025-09-11 14:00:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NeverForget,,photo,https://pbs.twimg.com/media/G0kUANIW4AAOQx3.jpg
'1965921615214235703',"Once again the @HouseGOP and Speaker Johnson poisoned a bipartisan defense bill that had a 55-2 vote out of committee.

Their hyper-partisanship will hurt servicemembers, their families, and military readiness.",en,Tweet,0,1,0,2,340,2025-09-11 00:33:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
